Otrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Otrad_Otu_00001	2447714	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_arabidopsidis;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_arabidopsidis
Otrad_Otu_00002	675538	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo;g__Albugo_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Albuginales	f__Albuginaceae	g__Albugo	g__Albugo_unclassified
Otrad_Otu_00003	119151	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00004	41622	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Diasporangium;s__Diasporangium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Diasporangium	s__Diasporangium_sp
Otrad_Otu_00005	39229	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00006	35363	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_arabidopsidis;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_arabidopsidis
Otrad_Otu_00008	31975	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00010	31653	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_brassicae;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_brassicae
Otrad_Otu_00011	29155	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00012	20470	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_sp
Otrad_Otu_00019	14872	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_ultimum;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_ultimum
Otrad_Otu_00024	10975	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;g__Hyaloperonospora_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	g__Hyaloperonospora_unclassified
Otrad_Otu_00025	10397	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Hymenochaetales;f__Hymenochaetales_fam_Incertae_sedis;g__Trichaptum;s__Trichaptum_laricinum;	k__Fungi	p__Basidiomycota	c__Agaricomycetes	o__Hymenochaetales	f__Hymenochaetales_fam_Incertae_sedis	g__Trichaptum	s__Trichaptum_laricinum
Otrad_Otu_00027	8556	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Spongiococcum;s__Spongiococcum_tetrasporum;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Chlorococcaceae	g__Spongiococcum	s__Spongiococcum_tetrasporum
Otrad_Otu_00029	7322	k__Viridiplantae;p__Chlorophyta;c__Incertae_sedis;o__Incertae_sedis;f__Incertae_sedis;g__Chlamydomonas;s__Chlamydomonas_dorsoventralis;	k__Viridiplantae	p__Chlorophyta	c__Incertae_sedis	o__Incertae_sedis	f__Incertae_sedis	g__Chlamydomonas	s__Chlamydomonas_dorsoventralis
Otrad_Otu_00030	6734	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00033	6212	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00034	5831	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_lamii;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_lamii
Otrad_Otu_00036	5519	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Chlorococcaceae;g__Spongiococcum;s__Spongiococcum_sp;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Chlorococcaceae	g__Spongiococcum	s__Spongiococcum_sp
Otrad_Otu_00041	4064	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00042	3556	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00043	3491	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Albuginales;f__Albuginaceae;g__Albugo;g__Albugo_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Albuginales	f__Albuginaceae	g__Albugo	g__Albugo_unclassified
Otrad_Otu_00045	2894	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;f__Pythiaceae_unclassified;f__Pythiaceae_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	f__Pythiaceae_unclassified	f__Pythiaceae_unclassified
Otrad_Otu_00047	2694	k__Fungi;p__Chytridiomycota;c__Rhizophydiomycetes;o__Rhizophydiales;f__unclassified_Rhizophydiales;g__unclassified_Rhizophydiales;s__Rhizophydiales_sp;	k__Fungi	p__Chytridiomycota	c__Rhizophydiomycetes	o__Rhizophydiales	f__unclassified_Rhizophydiales	g__unclassified_Rhizophydiales	s__Rhizophydiales_sp
Otrad_Otu_00048	2501	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;o__Chlamydomonadales_unclassified;o__Chlamydomonadales_unclassified;o__Chlamydomonadales_unclassified;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	o__Chlamydomonadales_unclassified	o__Chlamydomonadales_unclassified	o__Chlamydomonadales_unclassified
Otrad_Otu_00049	2412	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;o__Tremellales_unclassified;o__Tremellales_unclassified;o__Tremellales_unclassified;	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	o__Tremellales_unclassified	o__Tremellales_unclassified	o__Tremellales_unclassified
Otrad_Otu_00051	2108	k__Fungi;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Otrad_Otu_00054	2056	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;o__Pythiales_unclassified;o__Pythiales_unclassified;o__Pythiales_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	o__Pythiales_unclassified	o__Pythiales_unclassified	o__Pythiales_unclassified
Otrad_Otu_00055	2056	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Pythium;s__Pythium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Pythium	s__Pythium_sp
Otrad_Otu_00056	2042	k__Viridiplantae;p__Chlorophyta;c__Chlorophyceae;o__Chlamydomonadales;f__Actinochloridaceae;g__Deasonia;s__Deasonia_granata;	k__Viridiplantae	p__Chlorophyta	c__Chlorophyceae	o__Chlamydomonadales	f__Actinochloridaceae	g__Deasonia	s__Deasonia_granata
Otrad_Otu_00058	1970	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Hyaloperonospora;s__Hyaloperonospora_parasitica;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Hyaloperonospora	s__Hyaloperonospora_parasitica
Otrad_Otu_00059	1949	k__Fungi;p__Basidiomycota;c__Exobasidiomycetes;o__Entylomatales;f__unclassified_Entylomatales;g__unclassified_Entylomatales;s__Entylomatales_sp;	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Entylomatales	f__unclassified_Entylomatales	g__unclassified_Entylomatales	s__Entylomatales_sp
Otrad_Otu_00060	1895	k__Fungi;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;k__Fungi_unclassified;	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Otrad_Otu_00061	1890	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Peronosporales;f__Peronosporaceae;g__Peronospora;s__Peronospora_arvensis;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Peronosporales	f__Peronosporaceae	g__Peronospora	s__Peronospora_arvensis
Otrad_Otu_00064	1820	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;f__Pythiaceae_unclassified;f__Pythiaceae_unclassified;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	f__Pythiaceae_unclassified	f__Pythiaceae_unclassified
Otrad_Otu_00067	1763	k__Stramenopila;p__Oomycota;c__Oomycetes;o__Pythiales;f__Pythiaceae;g__Globisporangium;s__Globisporangium_sp;	k__Stramenopila	p__Oomycota	c__Oomycetes	o__Pythiales	f__Pythiaceae	g__Globisporangium	s__Globisporangium_sp
Otrad_Otu_00068	1744	k__Stramenopila;p__Oomycota;p__Oomycota_unclassified;p__Oomycota_unclassified;p__Oomycota_unclassified;p__Oomycota_unclassified;p__Oomycota_unclassified;	k__Stramenopila	p__Oomycota	p__Oomycota_unclassified	p__Oomycota_unclassified	p__Oomycota_unclassified	p__Oomycota_unclassified	p__Oomycota_unclassified
