"SUID","0.001_ 1_corsparcc.txt_Cor","0.001_ 1_corsparcc.txt_name","0.001_ 1_corsparcc.txt_present","0.001_ 1_corsparcc.txt_Pvalue","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"51928",,,"false",,"0.454813167424","Otrad_Otu_00042 (interacts with) Otrad_Otu_00011","true","0.0","0.5","interacts with","Otrad_Otu_00042 (interacts with) Otrad_Otu_00011","false","interacts with","Otrad_Otu_00042 (interacts with) Otrad_Otu_00011"
"51929",,,"false",,"0.453452560302","Otrad_Otu_00042 (interacts with) Otrad_Otu_00030","true","0.0","0.5","interacts with","Otrad_Otu_00042 (interacts with) Otrad_Otu_00030","false","interacts with","Otrad_Otu_00042 (interacts with) Otrad_Otu_00030"
"51930",,,"false",,"0.444069949347","Otrad_Otu_00004 (interacts with) Otrad_Otu_00003","true","0.0","0.5","interacts with","Otrad_Otu_00004 (interacts with) Otrad_Otu_00003","false","interacts with","Otrad_Otu_00004 (interacts with) Otrad_Otu_00003"
"51931",,,"false",,"0.602679674154","Ftrad_Otu_00219 (interacts with) Ftrad_Otu_00017","true","0.0","0.5","interacts with","Ftrad_Otu_00219 (interacts with) Ftrad_Otu_00017","false","interacts with","Ftrad_Otu_00219 (interacts with) Ftrad_Otu_00017"
"51932",,,"false",,"0.647521181094","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00011","true","0.0","0.5","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00011","false","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00011"
"51933",,,"false",,"-0.368753596938","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00027","true","0.001","0.5","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00027","false","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00027"
"51934",,,"false",,"-0.388072963055","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00041","true","0.001","0.5","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00041","false","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00041"
"51935",,,"false",,"0.394590124995","Ftrad_Otu_00287 (interacts with) Ftrad_Otu_00006","true","0.0","0.5","interacts with","Ftrad_Otu_00287 (interacts with) Ftrad_Otu_00006","false","interacts with","Ftrad_Otu_00287 (interacts with) Ftrad_Otu_00006"
"51936",,,"false",,"-0.406766318143","Ftrad_Otu_00157 (interacts with) BacV5_Otu_000203","true","0.001","0.5","interacts with","Ftrad_Otu_00157 (interacts with) BacV5_Otu_000203","false","interacts with","Ftrad_Otu_00157 (interacts with) BacV5_Otu_000203"
"51937",,,"false",,"-0.471969604554","Ftrad_Otu_00232 (interacts with) BacV5_Otu_000202","true","0.0","0.5","interacts with","Ftrad_Otu_00232 (interacts with) BacV5_Otu_000202","false","interacts with","Ftrad_Otu_00232 (interacts with) BacV5_Otu_000202"
