"SUID","0.001_ 11_corsparcc.txt_present","0.001_ 12_corsparcc.txt(1)_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"143639","true","true","0.4880239520958083","81.49999999999999","167","BacV5_Otu_000003","false","BacV5_Otu_000003"
"143640","true","true","0.46086956521739136","53.00000000000001","115","BacV5_Otu_000002","false","BacV5_Otu_000002"
"143641","true","true","0.4504950495049505","91.0","202","BacV5_Otu_000004","false","BacV5_Otu_000004"
"143642","true","true","0.49635036496350365","68.0","137","BacV5_Otu_000005","false","BacV5_Otu_000005"
"143643","true","true","0.48571428571428565","50.99999999999999","105","BacV5_Otu_000007","false","BacV5_Otu_000007"
"143644","true","true","0.4675925925925926","50.5","108","BacV5_Otu_000008","false","BacV5_Otu_000008"
"143645","true","true","0.456896551724138","53.00000000000001","116","BacV5_Otu_000010","false","BacV5_Otu_000010"
"143646","true","true","0.44497607655502386","92.99999999999999","209","BacV5_Otu_000011","false","BacV5_Otu_000011"
"143647","true","true","0.4391634980988593","115.5","263","BacV5_Otu_000012","false","BacV5_Otu_000012"
"143648","true","true","0.49999999999999994","44.49999999999999","89","BacV5_Otu_000014","false","BacV5_Otu_000014"
"143649","true","true","0.4831932773109243","57.49999999999999","119","BacV5_Otu_000015","false","BacV5_Otu_000015"
"143650","true","true","0.4841269841269842","61.00000000000001","126","BacV5_Otu_000016","false","BacV5_Otu_000016"
"143651","true","true","0.44827586206896547","51.99999999999999","116","BacV5_Otu_000025","false","BacV5_Otu_000025"
"143652","true","true","0.4891304347826087","45.0","92","BacV5_Otu_000028","false","BacV5_Otu_000028"
"143653","true","true","0.48214285714285715","27.0","56","BacV5_Otu_000031","false","BacV5_Otu_000031"
"143654","true","true","0.48823529411764705","41.5","85","BacV5_Otu_000036","false","BacV5_Otu_000036"
"143655","true","true","0.4842105263157894","45.99999999999999","95","BacV5_Otu_000037","false","BacV5_Otu_000037"
"143656","true","true","0.4603658536585366","75.5","164","BacV5_Otu_000040","false","BacV5_Otu_000040"
"143657","true","true","0.4407407407407407","59.49999999999999","135","BacV5_Otu_000042","false","BacV5_Otu_000042"
"143658","true","true","0.45806451612903226","71.0","155","BacV5_Otu_000046","false","BacV5_Otu_000046"
"143659","true","true","0.4918032786885246","60.0","122","BacV5_Otu_000053","false","BacV5_Otu_000053"
"143660","true","true","0.47988505747126436","83.5","174","BacV5_Otu_000058","false","BacV5_Otu_000058"
"143661","true","true","0.4928571428571429","34.5","70","BacV5_Otu_000060","false","BacV5_Otu_000060"
"143662","true","true","0.492063492063492","61.99999999999999","126","BacV5_Otu_000066","false","BacV5_Otu_000066"
"143663","true","false","0.5000000000000001","29.000000000000004","58","BacV5_Otu_000067","false","BacV5_Otu_000067"
"143664","true","true","0.46969696969696967","61.99999999999999","132","BacV5_Otu_000069","false","BacV5_Otu_000069"
"143665","true","true","0.48507462686567165","65.0","134","BacV5_Otu_000072","false","BacV5_Otu_000072"
"143666","true","true","0.45038167938931295","59.0","131","BacV5_Otu_000074","false","BacV5_Otu_000074"
"143667","true","true","0.45121951219512196","37.0","82","BacV5_Otu_000075","false","BacV5_Otu_000075"
"143668","true","true","0.49206349206349204","31.0","63","BacV5_Otu_000077","false","BacV5_Otu_000077"
"143669","true","true","0.5000000000000001","20.000000000000004","40","BacV5_Otu_000081","false","BacV5_Otu_000081"
"143670","true","true","0.45642201834862384","99.5","218","BacV5_Otu_000085","false","BacV5_Otu_000085"
"143671","true","true","0.4702970297029702","47.49999999999999","101","BacV5_Otu_000086","false","BacV5_Otu_000086"
"143672","true","true","0.44534412955465585","110.0","247","BacV5_Otu_000088","false","BacV5_Otu_000088"
"143673","true","true","0.45518867924528295","96.49999999999999","212","BacV5_Otu_000094","false","BacV5_Otu_000094"
"143674","true","true","0.47058823529411764","72.0","153","BacV5_Otu_000107","false","BacV5_Otu_000107"
"143675","true","true","0.4393063583815028","75.99999999999999","173","BacV5_Otu_000112","false","BacV5_Otu_000112"
"143676","true","true","0.4945054945054945","45.0","91","BacV5_Otu_000114","false","BacV5_Otu_000114"
"143677","true","true","0.4539877300613496","73.99999999999999","163","BacV5_Otu_000116","false","BacV5_Otu_000116"
"143678","true","true","0.43849206349206354","110.50000000000001","252","BacV5_Otu_000118","false","BacV5_Otu_000118"
"143679","true","false","0.5","42.5","85","BacV5_Otu_000125","false","BacV5_Otu_000125"
"143680","true","true","0.44509803921568625","113.5","255","BacV5_Otu_000126","false","BacV5_Otu_000126"
"143681","true","true","0.48046875000000006","61.50000000000001","128","BacV5_Otu_000127","false","BacV5_Otu_000127"
"143682","true","true","0.46808510638297873","44.0","94","BacV5_Otu_000137","false","BacV5_Otu_000137"
"143683","true","true","0.46067415730337086","41.00000000000001","89","BacV5_Otu_000139","false","BacV5_Otu_000139"
"143684","true","true","0.5","16.5","33","BacV5_Otu_000146","false","BacV5_Otu_000146"
"143685","true","true","0.4625","37.0","80","BacV5_Otu_000154","false","BacV5_Otu_000154"
"143686","true","true","0.44761904761904764","94.0","210","BacV5_Otu_000159","false","BacV5_Otu_000159"
"143687","true","true","0.4873949579831932","57.99999999999999","119","BacV5_Otu_000173","false","BacV5_Otu_000173"
"143688","true","false","0.49999999999999994","55.49999999999999","111","BacV5_Otu_000181","false","BacV5_Otu_000181"
"143689","true","true","0.4425531914893616","103.99999999999999","235","BacV5_Otu_000182","false","BacV5_Otu_000182"
"143690","true","true","0.4689922480620155","60.5","129","BacV5_Otu_000185","false","BacV5_Otu_000185"
"143691","true","true","0.4823008849557523","54.50000000000001","113","BacV5_Otu_000186","false","BacV5_Otu_000186"
"143692","true","true","0.46448087431693996","85.00000000000001","183","BacV5_Otu_000196","false","BacV5_Otu_000196"
