"SUID","0.001_ 12_corsparcc.txt(1)_present","0.001_ 1_corsparcc.txt_present","Dn-Score (degree corrected)","DyNet Rewiring (Dn-score)","Edge Count","name","selected","shared name"
"103191","true","true","0.42227979274611394","81.49999999999999","193","BacV5_Otu_000006","false","BacV5_Otu_000006"
"103192","true","true","0.4494382022471911","40.00000000000001","89","BacV5_Otu_000002","false","BacV5_Otu_000002"
"103193","true","true","0.44491525423728806","52.49999999999999","118","BacV5_Otu_000009","false","BacV5_Otu_000009"
"103194","true","true","0.3846153846153847","5.000000000000001","13","BacV5_Otu_000015","false","BacV5_Otu_000015"
"103195","true","true","0.44936708860759494","71.0","158","BacV5_Otu_000022","false","BacV5_Otu_000022"
"103196","true","true","0.409090909090909","8.999999999999998","22","BacV5_Otu_000025","false","BacV5_Otu_000025"
"103197","true","true","0.49047619047619045","51.5","105","BacV5_Otu_000031","false","BacV5_Otu_000031"
"103198","true","true","0.4761904761904763","10.000000000000002","21","BacV5_Otu_000036","false","BacV5_Otu_000036"
"103199","true","true","0.42452830188679247","45.0","106","BacV5_Otu_000042","false","BacV5_Otu_000042"
"103200","true","false","0.5000000000000001","29.000000000000004","58","BacV5_Otu_000044","false","BacV5_Otu_000044"
"103201","true","true","0.45","13.5","30","BacV5_Otu_000075","false","BacV5_Otu_000075"
"103202","true","true","0.4878048780487806","20.000000000000004","41","BacV5_Otu_000077","false","BacV5_Otu_000077"
"103203","true","true","0.4435483870967742","27.5","62","BacV5_Otu_000086","false","BacV5_Otu_000086"
"103204","true","true","0.5000000000000001","9.500000000000002","19","BacV5_Otu_000151","false","BacV5_Otu_000151"
"103205","true","true","0.4483695652173913","82.5","184","BacV5_Otu_000157","false","BacV5_Otu_000157"
"103206","true","true","0.4254807692307692","88.5","208","BacV5_Otu_000179","false","BacV5_Otu_000179"
"103207","true","true","0.42857142857142855","87.0","203","BacV5_Otu_000191","false","BacV5_Otu_000191"
"103208","true","false","0.5","43.0","86","BacV5_Otu_000208","false","BacV5_Otu_000208"
"103209","true","true","0.49615384615384617","64.5","130","BacV5_Otu_000328","false","BacV5_Otu_000328"
"103210","true","false","0.49999999999999994","47.99999999999999","96","BacV5_Otu_000385","false","BacV5_Otu_000385"
"103211","true","true","0.4388489208633094","61.00000000000001","139","Ftrad_Otu_00001","false","Ftrad_Otu_00001"
"103212","true","true","0.4385026737967914","82.0","187","Ftrad_Otu_00006","false","Ftrad_Otu_00006"
"103213","true","true","0.4241573033707865","75.5","178","Ftrad_Otu_00008","false","Ftrad_Otu_00008"
"103214","true","true","0.43506493506493504","33.5","77","Ftrad_Otu_00028","false","Ftrad_Otu_00028"
"103215","true","true","0.45454545454545464","85.00000000000001","187","Ftrad_Otu_00062","false","Ftrad_Otu_00062"
"103216","true","true","0.4125","49.5","120","Ftrad_Otu_00098","false","Ftrad_Otu_00098"
"103217","true","true","0.4950980392156863","50.5","102","Ftrad_Otu_00106","false","Ftrad_Otu_00106"
"103218","true","false","0.5000000000000001","39.00000000000001","78","Ftrad_Otu_00123","false","Ftrad_Otu_00123"
