"SUID","0.001_ 2_corsparcc.txt(1)_Cor","0.001_ 2_corsparcc.txt(1)_name","0.001_ 2_corsparcc.txt(1)_present","0.001_ 2_corsparcc.txt(1)_Pvalue","0.001_ 3_corsparcc.txt(1)_Cor","0.001_ 3_corsparcc.txt(1)_name","0.001_ 3_corsparcc.txt(1)_present","0.001_ 3_corsparcc.txt(1)_Pvalue","DyNet Variance","interaction","name","selected","shared interaction","shared name"
"45619","0.453452560302","Otrad_Otu_00042 (interacts with) Otrad_Otu_00030","true","0.0",,,"false",,"0.5","interacts with","Otrad_Otu_00042 (interacts with) Otrad_Otu_00030","false","interacts with","Otrad_Otu_00042 (interacts with) Otrad_Otu_00030"
"45620","0.454813167424","Otrad_Otu_00042 (interacts with) Otrad_Otu_00011","true","0.0","0.628368192639","Otrad_Otu_00042 (interacts with) Otrad_Otu_00011","true","0.0","0.0","interacts with","Otrad_Otu_00042 (interacts with) Otrad_Otu_00011","false","interacts with","Otrad_Otu_00042 (interacts with) Otrad_Otu_00011"
"45621","0.444069949347","Otrad_Otu_00004 (interacts with) Otrad_Otu_00003","true","0.0",,,"false",,"0.5","interacts with","Otrad_Otu_00004 (interacts with) Otrad_Otu_00003","false","interacts with","Otrad_Otu_00004 (interacts with) Otrad_Otu_00003"
"45622","-0.328298284044","Ftrad_Otu_00187 (interacts with) Ftrad_Otu_00066","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00187 (interacts with) Ftrad_Otu_00066","false","interacts with","Ftrad_Otu_00187 (interacts with) Ftrad_Otu_00066"
"45623","0.45445998516","Ftrad_Otu_00101 (interacts with) Ftrad_Otu_00071","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00101 (interacts with) Ftrad_Otu_00071","false","interacts with","Ftrad_Otu_00101 (interacts with) Ftrad_Otu_00071"
"45624","0.503961045646","Ftrad_Otu_00101 (interacts with) Ftrad_Otu_00058","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00101 (interacts with) Ftrad_Otu_00058","false","interacts with","Ftrad_Otu_00101 (interacts with) Ftrad_Otu_00058"
"45625","-0.363292621566","Ftrad_Otu_00080 (interacts with) Ftrad_Otu_00041","true","0.0",,,"false",,"0.5","interacts with","Ftrad_Otu_00080 (interacts with) Ftrad_Otu_00041","false","interacts with","Ftrad_Otu_00080 (interacts with) Ftrad_Otu_00041"
"45626","0.602679674154","Ftrad_Otu_00219 (interacts with) Ftrad_Otu_00017","true","0.0","0.793918046171","Ftrad_Otu_00219 (interacts with) Ftrad_Otu_00017","true","0.0","0.0","interacts with","Ftrad_Otu_00219 (interacts with) Ftrad_Otu_00017","false","interacts with","Ftrad_Otu_00219 (interacts with) Ftrad_Otu_00017"
"45627","-0.388072963055","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00041","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00041","false","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00041"
"45628","-0.368753596938","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00027","true","0.001",,,"false",,"0.5","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00027","false","interacts with","Ftrad_Otu_00234 (interacts with) Ftrad_Otu_00027"
