"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"12705","3.14723926","0.0","c__Actinobacteria","0.31773879","0.0","no","1","5","f__Micrococcaceae","g__Arthrobacter","false","k__Bacteria","BacV5","BacV5_Otu_000174","52.0","1","0","0.671875","0.528571429","0.847222222","o__Actinomycetales","0","p__Actinobacteria","0.69325153","4.22628E-4","1.64189E-4","0.001125785","false","0","BacV5_Otu_000174","1630","g__Arthrobacter_unclassified","0","""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Micrococcaceae(100);g__Arthrobacter(100);g__Arthrobacter_unclassified(73);""","0.0","0.684466019","5.80573E-4"
"202","2.91411043","2.6752E-4","c__Actinobacteria","0.34315789","0.5","yes","5","5","f__Microbacteriaceae","g__Rathayibacter","false","k__Bacteria","BacV5","BacV5_Otu_000005","18.4","5","0","0.984375","1.0","1.0","o__Actinomycetales","0","p__Actinobacteria","0.72655565","0.054096378","0.046318833","0.061139769","false","0","BacV5_Otu_000005","145740","s__caricis","426","""k__Bacteria(100);p__Actinobacteria(100);c__Actinobacteria(100);o__Actinomycetales(100);f__Microbacteriaceae(100);g__Rathayibacter(70);s__caricis(70);""","0.25915493","0.995145631","0.053915291"
"12720","3.19018405","0.0","c__Alphaproteobacteria","0.31346154","1.0","no","2","6","f__Rhizobiaceae","g__Agrobacterium","false","k__Bacteria","BacV5","BacV5_Otu_000133","20.0","2","0","0.796875","0.614285714","0.583333333","o__Rhizobiales","0","p__Proteobacteria","0.68711656","0.001599282","0.001024388","5.05952E-4","false","0","BacV5_Otu_000133","2399","g__Agrobacterium_unclassified","0","""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);f__Rhizobiaceae(100);g__Agrobacterium(66);g__Agrobacterium_unclassified(66);""","0.60606061","0.660194175","0.001021795"
"12752","2.0398773","0.00310968","c__Alphaproteobacteria","0.49022556","0.57838661","no","73","5","o__Rhizobiales_unclassified","o__Rhizobiales_unclassified","false","k__Bacteria","BacV5","BacV5_Otu_000177","69.76712329","73","0","0.78125","0.742857143","0.791666667","o__Rhizobiales","0","p__Proteobacteria","0.8514461","7.85154E-4","2.76924E-4","4.74916E-4","false","0","BacV5_Otu_000177","1558","o__Rhizobiales_unclassified","12812","""k__Bacteria(100);p__Proteobacteria(100);c__Alphaproteobacteria(100);o__Rhizobiales(100);o__Rhizobiales_unclassified(100);o__Rhizobiales_unclassified(100);o__Rhizobiales_unclassified(100);""","0.27795667","0.77184466","5.04021E-4"
"205","2.42638037","0.00352403","c__Chytridiomycetes","0.41213654","0.38461538","no","14","5","f__Chytridiaceae","g__unclassified_Chytridiaceae","false","k__Fungi","Ftrad","Ftrad_Otu_00235","42.42857143","14","0","0.3125","0.185714286","0.0","o__Chytridiales","0","p__Chytridiomycota","0.79623138","0.003214419","0.00198693","0.0","false","0","Ftrad_Otu_00235","745","s__Chytridiaceae_sp","6130","""k__Fungi(100);p__Chytridiomycota(100);c__Chytridiomycetes(100);o__Chytridiales(100);f__Chytridiaceae(100);g__unclassified_Chytridiaceae(100);s__Chytridiaceae_sp(100);""","0.22255639","0.160194175","0.001673825"
"88","2.14723926","0.00205725","c__Betaproteobacteria","0.46571429","0.60808081","no","55","5","f__Comamonadaceae","g__Methylibium","false","k__Bacteria","BacV5","BacV5_Otu_000130","71.98181818","55","0","0.828125","0.814285714","0.930555556","o__Burkholderiales","0","p__Proteobacteria","0.83610868","7.64156E-4","5.27766E-4","0.001142539","false","0","BacV5_Otu_000130","2458","g__Methylibium_unclassified","9128","""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__Burkholderiales(100);f__Comamonadaceae(100);g__Methylibium(59);g__Methylibium_unclassified(59);""","0.30372075","0.859223301","8.1608E-4"
"207","2.04601227","0.00845871","c__Agaricomycetes","0.48875562","0.52515091","no","71","5","f__Coriolaceae","g__Trametes","false","k__Fungi","Ftrad","Ftrad_Otu_00213","65.29577465","71","0","0.53125","0.585714286","0.430555556","o__Polyporales","0","p__Basidiomycota","0.85056968","2.20507E-4","1.81354E-4","1.26246E-4","false","0","Ftrad_Otu_00213","853","s__Trametes_versicolor","27416","""k__Fungi(100);p__Basidiomycota(100);c__Agaricomycetes(100);o__Polyporales(100);f__Coriolaceae(100);g__Trametes(100);s__Trametes_versicolor(89);""","0.25911022","0.514563107","1.74257E-4"
"10278","1.88343558","0.01102578","c__Tremellomycetes","0.53094463","0.4502193","no","96","5","f__Bulleraceae","g__Bullera","false","k__Fungi","Ftrad","Ftrad_Otu_00234","63.79166667","96","0","0.296875","0.614285714","0.611111111","o__Tremellales","0","p__Basidiomycota","0.87379492","8.12E-5","1.9372E-4","1.70993E-4","false","0","Ftrad_Otu_00234","748","s__Bullera_crocea","39496","""k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(85);g__Bullera(85);s__Bullera_crocea(85);""","0.23452819","0.514563107","1.50827E-4"
"12721","2.14110429","0.00337756","c__Tremellomycetes","0.46704871","0.52804878","no","41","4","f__Bulleribasidiaceae","g__Dioszegia","false","k__Fungi","Ftrad","Ftrad_Otu_00170","68.12195122","41","0","0.265625","0.485714286","0.361111111","o__Tremellales","0","p__Basidiomycota","0.8369851","1.92526E-4","3.18208E-4","1.4632E-4","false","0","Ftrad_Otu_00170","1283","s__Dioszegia_butyracea","11180","""k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Dioszegia(100);s__Dioszegia_butyracea(100);""","0.27569863","0.373786408","2.19084E-4"
"109","1.95398773","0.0047608","c__Betaproteobacteria","0.51177394","0.52495697","no","84","5","o__SC-I-84_unclassified","o__SC-I-84_unclassified","false","k__Bacteria","BacV5","BacV5_Otu_000131","69.22619048","84","0","0.921875","0.857142857","0.972222222","o__SC-I-84","0","p__Proteobacteria","0.86371604","9.9078E-4","7.00469E-4","9.51636E-4","false","0","BacV5_Otu_000131","2433","o__SC-I-84_unclassified","21930","""k__Bacteria(100);p__Proteobacteria(100);c__Betaproteobacteria(100);o__SC-I-84(100);o__SC-I-84_unclassified(100);o__SC-I-84_unclassified(100);o__SC-I-84_unclassified(100);""","0.26321745","0.917475728","8.78449E-4"
