"Genus_Otu"	"BetweennessCentrality"	"ClosenessCentrality"	"Core"	"Degree"	"Genus"	"name"	"TotalRelativeabundance"	"TotalOcurrence"	"Month"	"Hub"	"Method"
"BacV5_Otu_000002 _ g__Methylobacterium"	0.00833845	0.50355619	"yes"	90	"g__Methylobacterium"	"BacV5_Otu_000002"	0.099482087	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000003 _ g__Sphingomonas"	0.00434677	0.53881279	"yes"	120	"g__Sphingomonas"	"BacV5_Otu_000003"	0.103233575	1	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000004 _ f__Oxalobacteraceae_unclassified"	0.004795	0.472	"yes"	58	"f__Oxalobacteraceae_unclassified"	"BacV5_Otu_000004"	0.066307139	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000005 _ g__Rathayibacter"	0.0106534	0.5462963	"yes"	133	"g__Rathayibacter"	"BacV5_Otu_000005"	0.053915291	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000007 _ g__Sphingomonas"	0.00445693	0.50716332	"yes"	103	"g__Sphingomonas"	"BacV5_Otu_000007"	0.039307984	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000008 _ g__Pseudomonas"	0.00028637	0.44416562	"yes"	50	"g__Pseudomonas"	"BacV5_Otu_000008"	0.026232262	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000010 _ g__Variovorax"	0.00269326	0.50862069	"yes"	108	"g__Variovorax"	"BacV5_Otu_000010"	0.030679377	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000011 _ f__Oxalobacteraceae_unclassified"	0.00690671	0.49649369	"yes"	96	"f__Oxalobacteraceae_unclassified"	"BacV5_Otu_000011"	0.020365568	1	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000012 _ g__Bacillus"	0.01006507	0.54211332	"yes"	123	"g__Bacillus"	"BacV5_Otu_000012"	0.012348518	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000013 _ g__Marmoricola"	0.00065316	0.28921569	"yes"	3	"g__Marmoricola"	"BacV5_Otu_000013"	0.01363068	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000015 _ g__Aeromicrobium"	0.0074604	0.52914798	"yes"	113	"g__Aeromicrobium"	"BacV5_Otu_000015"	0.013264801	0.995145631	"Nov"	"No"	"Sparcc"
"BacV5_Otu_000033 _ g__Arthrobacter"	0.0052841	0.41893491	"yes"	22	"g__Arthrobacter"	"BacV5_Otu_000033"	0.004529802	0.990291262	"Nov"	"No"	"Sparcc"
"Ftrad_Otu_00001 _ g__Udeniomyces"	0.00492871	0.52835821	"yes"	111	"g__Udeniomyces"	"Ftrad_Otu_00001"	0.231509524	0.995145631	"Nov"	"No"	"Sparcc"
"Ftrad_Otu_00002 _ g__Sporidiobolus"	0.0082424	0.56012658	"yes"	135	"g__Sporidiobolus"	"Ftrad_Otu_00002"	0.068536618	0.990291262	"Nov"	"No"	"Sparcc"
"Ftrad_Otu_00004 _ g__Cladosporium"	0.01053589	0.56279809	"yes"	132	"g__Cladosporium"	"Ftrad_Otu_00004"	0.042426218	1	"Nov"	"No"	"Sparcc"
"Ftrad_Otu_00005 _ g__Itersonilia"	0.00734493	0.49719101	"yes"	75	"g__Itersonilia"	"Ftrad_Otu_00005"	0.031716998	0.980582524	"Nov"	"No"	"Sparcc"
"Ftrad_Otu_00012 _ g__Cladosporium"	0.00334661	0.52444444	"yes"	111	"g__Cladosporium"	"Ftrad_Otu_00012"	0.019290094	0.990291262	"Nov"	"No"	"Sparcc"
"Ftrad_Otu_00013 _ g__Dioszegia"	0.00659	0.54714065	"yes"	120	"g__Dioszegia"	"Ftrad_Otu_00013"	0.016210627	0.980582524	"Nov"	"No"	"Sparcc"
