""	"Df"	"SumsOfSqs"	"MeanSqs"	"F.Model"	"R2"	"Pr..F."	"Taxa"
"sampleinfo$Experiment"	2	5.5809648277577	2.79048241387885	21.6023826133053	0.120452810878742	9.99900009999e-05	"Bacteria"
"sampleinfo$Month"	4	5.1700652198038	1.29251630495095	10.005951521004	0.111584449530027	9.99900009999e-05	"Bacteria"
"sampleinfo$Ecotype"	3	1.11180993017384	0.370603310057946	2.86900733070765	0.0239959640287041	9.99900009999e-05	"Bacteria"
"sampleinfo$Experiment:sampleinfo$Month"	8	7.75410556238876	0.969263195298595	7.50350344216295	0.167355258394537	9.99900009999e-05	"Bacteria"
"sampleinfo$Experiment:sampleinfo$Ecotype"	6	1.31358823156452	0.21893137192742	1.69484646773241	0.0283509034212554	0.0008999100089991	"Bacteria"
"sampleinfo$Month:sampleinfo$Ecotype"	12	2.18991268614601	0.1824927238455	1.41275846249642	0.047264433080343	0.0024997500249975	"Bacteria"
"sampleinfo$Experiment:sampleinfo$Month:sampleinfo$Ecotype"	24	4.35324517165329	0.181385215485554	1.40418474089903	0.0939551911816338	0.0001999800019998	"Bacteria"
"Residuals"	146	18.8595137730493	0.129174751870201	NA	0.407040989484758	NA	"Bacteria"
"Total"	205	46.3332054025372	NA	NA	1	NA	"Bacteria"
"sampleinfo$Experiment1"	2	6.67798663845585	3.33899331922793	22.1338176531085	0.127847153696724	9.99900009999e-05	"Fungi"
"sampleinfo$Month1"	4	7.65142388765876	1.91285597191469	12.6801108092092	0.146483187032924	9.99900009999e-05	"Fungi"
"sampleinfo$Ecotype1"	3	0.883453131430064	0.294484377143355	1.95210438662615	0.0169133264848683	0.0023997600239976	"Fungi"
"sampleinfo$Experiment:sampleinfo$Month1"	8	6.29873748330987	0.787342185413734	5.21920432191134	0.120586593343385	9.99900009999e-05	"Fungi"
"sampleinfo$Experiment:sampleinfo$Ecotype1"	6	1.49195452468199	0.248659087446999	1.64833360631367	0.0285628213640223	0.0021997800219978	"Fungi"
"sampleinfo$Month:sampleinfo$Ecotype1"	12	1.92564831557545	0.160470692964621	1.06374248678286	0.0368657006214285	0.284071592840716	"Fungi"
"sampleinfo$Experiment:sampleinfo$Month:sampleinfo$Ecotype1"	24	5.28013472527255	0.220005613553023	1.4583928949486	0.101085885957601	9.99900009999e-05	"Fungi"
"Residuals1"	146	22.024805311379	0.150854830899856	NA	0.421655331499046	NA	"Fungi"
"Total1"	205	52.2341440177635	NA	NA	1	NA	"Fungi"
"sampleinfo$Experiment2"	2	1.56887191865534	0.784435959327669	6.3487237824294	0.0384541477765889	9.99900009999e-05	"Oomycete"
"sampleinfo$Month2"	4	4.78085230196025	1.19521307549006	9.67329147421799	0.117182032982779	9.99900009999e-05	"Oomycete"
"sampleinfo$Ecotype2"	3	1.46685778864368	0.48895259621456	3.95727011128935	0.0359537101155396	9.99900009999e-05	"Oomycete"
"sampleinfo$Experiment:sampleinfo$Month2"	8	6.67758030181369	0.834697537726711	6.75550890533215	0.163672162566379	9.99900009999e-05	"Oomycete"
"sampleinfo$Experiment:sampleinfo$Ecotype2"	6	1.89255241575082	0.315425402625137	2.55285180570373	0.0463877830974235	0.0003999600039996	"Oomycete"
"sampleinfo$Month:sampleinfo$Ecotype2"	12	2.09397181972648	0.174497651643873	1.4122725734285	0.0513247135335237	0.0298970102989701	"Oomycete"
"sampleinfo$Experiment:sampleinfo$Month:sampleinfo$Ecotype2"	24	4.2783471288042	0.178264463700175	1.44275874505465	0.104865279806646	0.0038996100389961	"Oomycete"
"Residuals2"	146	18.039475961894	0.12355805453352	NA	0.442160170121121	NA	"Oomycete"
"Total2"	205	40.7985096372484	NA	NA	1	NA	"Oomycete"
