"Replicate"	"Flowcell"	"Run"	"Locus"	"X.SampleID"	"Ecotype"	"Year"	"mon"	"Day"	"Experiment"	"Month"	"Combi"	"label"	"Group"	"numBacV5_Otu_s"	"reads"	"c__ABS-6_unclassified"	"c__Acidobacteria-5_unclassified"	"c__Actinobacteria_unclassified"	"c__Alphaproteobacteria_unclassified"	"c__Bacilli_unclassified"	"c__Betaproteobacteria_unclassified"	"c__C0119_unclassified"	"c__Chloroflexi_unclassified"	"c__Deltaproteobacteria_unclassified"	"c__Gammaproteobacteria_unclassified"	"c__Gemm-1_unclassified"	"c__Gemm-3_unclassified"	"c__Gemmatimonadetes_unclassified"	"c__ML635J-21_unclassified"	"c__OPB56_unclassified"	"c__PAUC37f_unclassified"	"c__Pla4_unclassified"	"c__RB25_unclassified"	"c__S085_unclassified"	"c__SJA-28_unclassified"	"c__SJA-4_unclassified"	"c__Thermoleophilia_unclassified"	"c__TK10_unclassified"	"c__TK17_unclassified"	"c__TM7-3_unclassified"	"k__Bacteria_unclassified"	"o__[Chthoniobacterales]"	"o__[Entotheonellales]"	"o__[Fimbriimonadales]"	"o__[Pedosphaerales]"	"o__[Roseiflexales]"	"o__[Saprospirales]"	"o__0319-7L14"	"o__258ds10"	"o__A21b"	"o__Acidimicrobiales"	"o__Acidobacteriales"	"o__Actinomycetales"	"o__Aeromonadales"	"o__AKIW781"	"o__AKYG885"	"o__Alteromonadales"	"o__Armatimonadales"	"o__B07_WMSP1"	"o__Bacillales"	"o__Bacteroidales"	"o__Bdellovibrionales"	"o__Burkholderiales"	"o__Cardiobacteriales"	"o__Caulobacterales"	"o__Chlamydiales"	"o__Chloroflexales"	"o__Clostridiales"	"o__Cytophagales"	"o__Deinococcales"	"o__Desulfuromonadales"	"o__DH61"	"o__DS-18"	"o__Ellin329"	"o__Ellin5290"	"o__Ellin6067"	"o__Ellin6513"	"o__Enterobacteriales"	"o__Flavobacteriales"	"o__Fusobacteriales"	"o__Gaiellales"	"o__Gallionellales"	"o__Gemellales"	"o__Gemmatimonadales"	"o__Herpetosiphonales"	"o__HTCC2188"	"o__IS-44"	"o__JG30-KF-AS9"	"o__KD8-87"	"o__Lactobacillales"	"o__Legionellales"	"o__Methylococcales"	"o__Methylophilales"	"o__Micrococcales"	"o__MIZ46"	"o__MND1"	"o__Myxococcales"	"o__N1423WL"	"o__NB1-j"	"o__Neisseriales"	"o__Nitrosomonadales"	"o__Nitrospirales"	"o__p04_C01"	"o__Pasteurellales"	"o__Phycisphaerales"	"o__Pseudomonadales"	"o__Rhizobiales"	"o__Rhodobacterales"	"o__Rhodocyclales"	"o__Rhodospirillales"	"o__Rickettsiales"	"o__Rubrobacterales"	"o__SBla14"	"o__SC-I-84"	"o__SHA-20"	"o__SJA-15"	"o__Solibacterales"	"o__Solirubrobacterales"	"o__Sphingobacteriales"	"o__Sphingomonadales"	"o__Spirobacillales"	"o__Sva0725"	"o__Syntrophobacterales"	"o__Thiotrichales"	"o__Xanthomonadales"	"p__Actinobacteria_unclassified"	"p__Bacteroidetes_unclassified"	"p__Chlorobi_unclassified"	"p__Chloroflexi_unclassified"	"p__FBP_unclassified"	"p__Proteobacteria_unclassified"
"S1"	1	"A"	"BacV5"	"A.BacV5.39"	"W"	2015	2	17	1	"Feb"	"Feb1W"	0.03	"A.BacV5.39"	1926	9542	0	0.000104799832320268	0	0.000733598826241878	0	0.000419199329281073	0.000104799832320268	0	0	0	0.00157199748480402	0	0.000733598826241878	0	0	0	0	0.000104799832320268	0	0	0	0.000104799832320268	0	0	0	0.00209599664640537	0	0	0	0.00062879899392161	0.000209599664640537	0	0.00188639698176483	0.000104799832320268	0.000104799832320268	0.0046111926220918	0.000104799832320268	0.111402221756445	0	0	0	0.000104799832320268	0	0.000104799832320268	0.0110039823936282	0	0	0.0581639069377489	0	0.00178159714944456	0.000209599664640537	0	0.00366799413120939	0.000314399496960805	0.00062879899392161	0.000104799832320268	0	0	0	0.00104799832320268	0	0	0	0.0200167679731712	0	0.00953678474114441	0	0	0.000943198490882415	0.000943198490882415	0.000104799832320268	0	0.000104799832320268	0	0.000523999161601341	0	0	0.000943198490882414	0.000523999161601341	0.000419199329281073	0.000314399496960805	0.0102703835673863	0	0	0	0	0	0	0.000104799832320268	0	0.00964158457346468	0.263152378956194	0.00125759798784322	0	0.00241039614336617	0	0	0	0.00178159714944456	0	0	0.000419199329281073	0.00555439111297422	0	0.461748061203102	0.000104799832320268	0	0.000314399496960805	0.000314399496960805	0.00523999161601341	0.000733598826241878	0.000209599664640537	0	0.000209599664640537	0	0
"S10"	1	"A"	"BacV5"	"A.BacV5.48"	"S"	2015	2	17	1	"Feb"	"Feb1S"	0.03	"A.BacV5.48"	1926	3807	0	0.00052534804307854	0	0.00105069608615708	0	0.00105069608615708	0	0	0.000788022064617809	0	0.00105069608615708	0	0.000788022064617809	0	0	0	0	0	0.00026267402153927	0	0	0.00052534804307854	0	0	0	0.0102442868400315	0	0	0	0.000788022064617809	0.00052534804307854	0	0.00105069608615708	0	0.00026267402153927	0.00656685053848174	0.00026267402153927	0.102705542421854	0.00052534804307854	0	0	0.00026267402153927	0	0.000788022064617809	0.013659049120042	0	0.00026267402153927	0.153138954557394	0	0.00052534804307854	0.000788022064617809	0	0.000788022064617809	0.00052534804307854	0.00315208825847124	0	0	0	0.00026267402153927	0.00026267402153927	0.00105069608615708	0	0.00026267402153927	0.00052534804307854	0	0.0086682427107959	0	0	0.00210139217231416	0	0	0.00026267402153927	0	0	0.00026267402153927	0	0	0.00604150249540321	0.000788022064617809	0.00026267402153927	0.00026267402153927	0.0115576569477279	0.00026267402153927	0	0.00105069608615708	0	0.000788022064617809	0	0	0	0.00656685053848174	0.16889939584975	0.00183871815077489	0	0.00341476228001051	0	0	0	0.00367743630154978	0	0	0.00052534804307854	0.00472813238770686	0	0.46414499605989	0.00105069608615708	0	0.00026267402153927	0	0.00656685053848174	0.000788022064617809	0	0	0	0	0
"S103"	3	"C"	"BacV5"	"C.BacV5.41"	"K"	2015	11	18	2	"Nov"	"Nov2K"	0.03	"C.BacV5.41"	1926	4200	0	0.000238095238095238	0	0.0030952380952381	0	0.000238095238095238	0	0	0	0.000714285714285714	0.000476190476190476	0	0.000238095238095238	0	0	0	0	0	0.000238095238095238	0	0	0.000238095238095238	0	0	0	0.00619047619047619	0	0	0	0.000714285714285714	0.00142857142857143	0	0.000714285714285714	0	0.000476190476190476	0.00357142857142857	0	0.276666666666667	0	0	0.00142857142857143	0.000238095238095238	0	0.000476190476190476	0.0121428571428571	0	0.000714285714285714	0.17047619047619	0	0.0154761904761905	0	0	0.000238095238095238	0	0	0	0	0	0	0	0	0	0	0.0297619047619048	0	0.00238095238095238	0	0	0.000238095238095238	0.000476190476190476	0	0	0.000238095238095238	0	0	0	0	0.00880952380952381	0	0	0.000238095238095238	0.00904761904761905	0.000476190476190476	0	0	0	0	0	0	0	0.084047619047619	0.115238095238095	0.00142857142857143	0	0.00285714285714286	0	0	0	0.000952380952380952	0	0	0.000476190476190476	0.00119047619047619	0.015952380952381	0.135952380952381	0	0	0	0.000238095238095238	0.0897619047619048	0.000476190476190476	0.00285714285714286	0	0	0	0.000476190476190476
"S106"	3	"C"	"BacV5"	"C.BacV5.44"	"S"	2015	11	18	2	"Nov"	"Nov2S"	0.03	"C.BacV5.44"	1926	7000	0.000428571428571429	0.000428571428571429	0.000142857142857143	0.00214285714285714	0	0.00214285714285714	0.000285714285714286	0	0.000142857142857143	0.000571428571428571	0.00457142857142857	0	0.000857142857142857	0	0	0.000428571428571429	0	0	0.000857142857142857	0.000142857142857143	0	0.000142857142857143	0.000142857142857143	0	0	0.00728571428571429	0	0.000142857142857143	0.000428571428571429	0.00128571428571429	0.00671428571428571	0	0.00357142857142857	0	0.00114285714285714	0.00542857142857143	0.002	0.0932857142857143	0	0	0.00357142857142857	0.000142857142857143	0	0.001	0.011	0.00114285714285714	0.000285714285714286	0.259428571428571	0	0.00328571428571429	0	0.000571428571428571	0.001	0.000428571428571429	0.00128571428571429	0.000714285714285714	0	0.000428571428571429	0.000714285714285714	0.000571428571428571	0.000857142857142857	0.000285714285714286	0.262142857142857	0.00714285714285714	0	0.011	0.000285714285714286	0	0.00157142857142857	0	0	0.000285714285714286	0.000142857142857143	0.000142857142857143	0.000285714285714286	0	0.000142857142857143	0.0281428571428571	0.000285714285714286	0.000428571428571429	0.00214285714285714	0.0262857142857143	0.001	0	0	0	0.002	0.000142857142857143	0	0	0.00557142857142857	0.032	0.00171428571428571	0	0.00514285714285714	0	0	0	0.00557142857142857	0.000142857142857143	0.000285714285714286	0.00571428571428571	0.0108571428571429	0.00485714285714286	0.0192857142857143	0	0.00157142857142857	0.000428571428571429	0.000142857142857143	0.138	0.00114285714285714	0.00228571428571429	0	0.000285714285714286	0	0
"S107"	3	"C"	"BacV5"	"C.BacV5.45"	"S"	2015	11	18	2	"Nov"	"Nov2S"	0.03	"C.BacV5.45"	1926	6311	0	0	0.00015845349389954	0.000950720963397243	0	0.00126762795119632	0.000316906987799081	0	0	0.00015845349389954	0.00015845349389954	0.000316906987799081	0.000316906987799081	0	0	0	0	0	0.000316906987799081	0	0	0	0	0	0	0.00411979084138805	0	0	0	0.00015845349389954	0.00348597686578989	0	0.000950720963397243	0	0.00015845349389954	0.00110917445729678	0.000475360481698621	0.133893202345112	0	0	0.00110917445729678	0	0	0.000316906987799081	0.0106163840912692	0.00015845349389954	0.000316906987799081	0.344160988749802	0	0.00459515132308667	0.00015845349389954	0	0.000316906987799081	0.000316906987799081	0.000633813975598162	0.000316906987799081	0	0	0	0.000316906987799081	0	0	0.000792267469497702	0.142132784027888	0	0.00459515132308667	0	0	0.00174298843289495	0	0	0	0	0	0	0	0.00015845349389954	0.0104579305973697	0.000316906987799081	0.000316906987799081	0.000475360481698621	0.00285216289019173	0	0	0	0.000633813975598162	0.000316906987799081	0	0	0	0.0305815243226113	0.035176675645698	0.000633813975598162	0	0.0015845349389954	0	0	0.00015845349389954	0.000792267469497702	0	0	0.00142608144509586	0.00253525590239265	0.00364443035968943	0.0307399778165109	0	0	0	0	0.215338298209476	0.00015845349389954	0.000316906987799081	0.00015845349389954	0.00015845349389954	0	0.00015845349389954
"S109"	3	"C"	"BacV5"	"C.BacV5.47"	"W"	2015	12	17	2	"Dec"	"Dec2W"	0.03	"C.BacV5.47"	1926	3597	0	0.000556018904642758	0	0.00305810397553517	0.000278009452321379	0.000278009452321379	0	0	0	0.000278009452321379	0.000834028356964137	0	0	0	0	0	0	0	0.000556018904642758	0	0	0.000556018904642758	0	0	0	0.00889630247428413	0	0.000278009452321379	0	0	0.000556018904642758	0	0.000834028356964137	0	0.000278009452321379	0.00305810397553517	0.000278009452321379	0.408673894912427	0.000278009452321379	0	0	0.000278009452321379	0	0.000278009452321379	0.00472616068946344	0	0	0.0797887128162358	0	0.000834028356964137	0	0	0.000278009452321379	0	0.00695023630803447	0.000556018904642758	0	0	0.000278009452321379	0.000556018904642758	0.000278009452321379	0	0	0.000278009452321379	0	0.00556018904642758	0	0	0.00139004726160689	0	0	0	0	0	0	0	0	0.00194606616624965	0	0	0.000278009452321379	0.00917431192660551	0	0	0	0.000834028356964137	0.000278009452321379	0	0	0	0.00973033083124826	0.0458715596330275	0.00139004726160689	0	0.00139004726160689	0	0	0	0.00222407561857103	0	0	0.000556018904642758	0.00166805671392827	0	0.386989157631359	0.000278009452321379	0	0.000278009452321379	0	0.00472616068946344	0.000834028356964137	0	0	0	0	0
"S110"	3	"C"	"BacV5"	"C.BacV5.48"	"C"	2015	12	17	2	"Dec"	"Dec2C"	0.03	"C.BacV5.48"	1926	10857	0	0	0	9.21064750851985e-05	0	0	9.21064750851985e-05	0	0	0.00746062448190108	9.21064750851985e-05	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000644745325596389	0	0	0	0	0.000368425900340794	0	9.21064750851985e-05	0	0	0.000276319425255595	0	0.0767246937459703	0	0	0.000184212950170397	9.21064750851985e-05	0	9.21064750851985e-05	0.000736851800681588	0	0	0.326977986552455	0	0.00211844892695957	0	0	0	0	0.000276319425255595	0	0	0	0	0	0.000184212950170397	0	0	0.0206318504190845	0	0.000460532375425992	0	0	0.000184212950170397	0.000184212950170397	0	0	0	0	0	0	0	0.00211844892695957	0	0	0	0.000736851800681588	0	0	0	0	9.21064750851985e-05	0	0	0	0.498296030210924	0.0194344662429769	0.000552638850511191	9.21064750851985e-05	0.000921064750851985	0	0	0	0.000368425900340794	0	0	9.21064750851985e-05	0.00138159712627798	0	0.0326056921801603	0.000552638850511191	0	0	0	0.00432900432900433	9.21064750851985e-05	9.21064750851985e-05	0	0	0	0.000276319425255595
"S113"	4	"D"	"BacV5"	"D.BacV5.1"	"S"	2015	2	17	1	"Feb"	"Feb1S"	0.03	"D.BacV5.1"	1926	9436	0	0.000635862653666808	0	0.000953793980500212	0	0.000423908435777872	0.000211954217888936	0.000317931326833404	0	0.000317931326833404	0.000423908435777872	0	0.000105977108944468	0	0	0	0	0	0.000211954217888936	0	0	0	0.000105977108944468	0	0	0.00890207715133531	0	0.000105977108944468	0	0.000317931326833404	0.00201356506994489	0.000105977108944468	0.000423908435777872	0	0.000423908435777872	0.00105977108944468	0.000211954217888936	0.172954641797372	0	0	0.000423908435777872	0.000635862653666808	0.000317931326833404	0.000423908435777872	0.00127172530733362	0	0.00551080966511234	0.323336159389572	0	0.00328529037727851	0	0	0.000105977108944468	0.000635862653666808	0.0716405256464604	0.000105977108944468	0	0	0.000317931326833404	0	0.000105977108944468	0.000211954217888936	0	0.0450402713013989	0	0.00190758796100042	0	0.000105977108944468	0.00105977108944468	0.000105977108944468	0	0	0	0	0.000105977108944468	0.000211954217888936	0	0.00688851208139042	0	0.000741839762611276	0	0.00190758796100042	0.000211954217888936	0	0.000317931326833404	0.000211954217888936	0.000211954217888936	0	0	0.000105977108944468	0.00402713013988978	0.168821534548538	0.000635862653666808	0	0.00137770241627808	0	0	0	0.000741839762611276	0.000105977108944468	0	0.00148367952522255	0.0026494277236117	0	0.156422212802035	0.000317931326833404	0.000211954217888936	0.000423908435777872	0.000105977108944468	0.0026494277236117	0.000317931326833404	0.000635862653666808	0	0.000211954217888936	0.000317931326833404	0.000847816871555744
"S114"	4	"D"	"BacV5"	"D.BacV5.2"	"W"	2016	2	19	2	"Feb"	"Feb2W"	0.03	"D.BacV5.2"	1926	5026	0	0.000198965380023876	0	0.00358137684042977	0	0.000596896140071628	0.000198965380023876	0.000596896140071628	0	0	0.000596896140071628	0	0.000198965380023876	0	0	0	0	0	0.000198965380023876	0	0	0.000198965380023876	0	0	0	0.0133306804615997	0	0	0	0.000397930760047752	0.00417827298050139	0.000198965380023876	0.000198965380023876	0	0.000198965380023876	0.00198965380023876	0.000198965380023876	0.161161957819339	0	0.000198965380023876	0.000397930760047752	0	0	0.000397930760047752	0.0057699960206924	0	0.000198965380023876	0.127337843215281	0	0.00457620374054914	0	0	0.000994826900119379	0.000596896140071628	0.0191006764822921	0	0	0	0.000397930760047752	0	0.000397930760047752	0	0	0.000994826900119379	0	0.00378034222045364	0	0	0.000795861520095503	0	0.000198965380023876	0	0.000198965380023876	0	0.000198965380023876	0	0	0.00119379228014326	0	0	0.000596896140071628	0.00417827298050139	0	0	0.000397930760047752	0	0	0	0	0.000198965380023876	0.00278551532033426	0.459610027855153	0.000397930760047752	0	0.00159172304019101	0	0	0	0.000795861520095503	0	0	0.000397930760047752	0.00775964982093116	0	0.159172304019101	0.000198965380023876	0.000198965380023876	0	0	0.00437723836052527	0.000795861520095503	0	0	0	0.000397930760047752	0.000198965380023876
"S115"	4	"D"	"BacV5"	"D.BacV5.3"	"W"	2016	2	19	2	"Feb"	"Feb2W"	0.03	"D.BacV5.3"	1926	5017	0	0	0	0.00239186764999003	0	0	0	0	0	0	0.000398644608331672	0	0	0	0	0	0	0	0	0	0	0.000199322304165836	0	0	0	0.00279051225832171	0	0	0	0.000199322304165836	0.00159457843332669	0	0	0	0.000199322304165836	0.00139525612916085	0.000199322304165836	0.0805262108829978	0	0	0.000996611520829181	0	0	0.000199322304165836	0.0021925453458242	0	0.000398644608331672	0.218457245365756	0	0.00179390073749253	0	0	0	0.00279051225832171	0.0163444289415986	0	0	0	0	0.000199322304165836	0.000199322304165836	0	0	0.00398644608331672	0	0.00159457843332669	0	0	0.000597966912497508	0	0	0	0	0	0	0	0	0.0021925453458242	0	0	0	0.00378712377915089	0.000199322304165836	0	0	0	0.000199322304165836	0	0	0	0.0043850906916484	0.406617500498306	0.000199322304165836	0	0.000797289216663345	0	0	0	0.00119593382499502	0	0	0	0.00199322304165836	0.000797289216663345	0.233805062786526	0	0	0	0	0.00318915686665338	0	0	0	0.000199322304165836	0.000797289216663345	0
