"Replicate"	"Flowcell"	"Run"	"Locus"	"X.SampleID"	"Ecotype"	"Year"	"mon"	"month_2"	"Day"	"Experiment"	"Month"	"Combi"	"label"	"Group"	"numFtrad_Otu_s"	"c__Agaricomycetes_unclassified"	"c__Agaricostilbomycetes_unclassified"	"c__Arthoniomycetes_unclassified"	"c__Dothideomycetes_unclassified"	"c__Lecanoromycetes_unclassified"	"c__Leotiomycetes_unclassified"	"c__Microbotryomycetes_unclassified"	"c__Sordariomycetes_unclassified"	"c__Tremellomycetes_unclassified"	"k__Fungi_unclassified"	"o__Acrospermales"	"o__Agaricales"	"o__Agaricostilbales"	"o__Amylocorticiales"	"o__Atheliales"	"o__Auriculariales"	"o__Caliciales"	"o__Cantharellales"	"o__Capnodiales"	"o__Chaetosphaeriales"	"o__Chaetothyriales"	"o__Chytridiales"	"o__Corticiales"	"o__Cystobasidiales"	"o__Cystobasidiomycetes_ord_Incertae_sedis"	"o__Cystofilobasidiales"	"o__Diversisporales"	"o__Dothideales"	"o__Entylomatales"	"o__Erysiphales"	"o__Erythrobasidiales"	"o__Eurotiales"	"o__Filobasidiales"	"o__Glomerales"	"o__Glomerellales"	"o__GS08"	"o__Helotiales"	"o__Holtermanniales"	"o__Hymenochaetales"	"o__Hypoceales"	"o__Hypocreales"	"o__Lecanorales"	"o__Lecanoromycetes_ord_Incertae_sedis"	"o__Lepidoptera"	"o__Leucosporidiales"	"o__Lichenostigmatales"	"o__Lulworthiales"	"o__Malasseziales"	"o__Microascales"	"o__Microbotryales"	"o__Microbotryomycetes_ord_Incertae_sedis"	"o__Mortierellales"	"o__Myriangiales"	"o__Myrmecridiales"	"o__Onygenales"	"o__Orbiliales"	"o__Pezizales"	"o__Phacidiales"	"o__Phomatosporales"	"o__Platygloeales"	"o__Pleosporales"	"o__Polyporales"	"o__Rhizophydiales"	"o__Rhytismatales"	"o__Russulales"	"o__Saccharomycetales"	"o__Sebacinales"	"o__Sordariales"	"o__Sporidiobolales"	"o__Taphrinales"	"o__Teloschistales"	"o__Thelebolales"	"o__Trechisporales"	"o__Tremellales"	"o__Tubeufiales"	"o__unclassified_Cercozoa"	"o__unclassified_Chytridiomycetes"	"o__unclassified_Chytridiomycota"	"o__unclassified_Cystobasidiomycetes"	"o__unclassified_Rozellomycota"	"o__unclassified_Taphrinomycetes"	"o__Ustilaginales"	"o__Venturiales"	"o__Xylariales"	"p__Ascomycota_unclassified"	"p__Basidiomycota_unclassified"	"p__Chytridiomycota_unclassified"
"S1"	1	"A"	"Ftrad"	"A.Ftrad.33"	"W"	2015	2	4	17	1	"Feb"	"Feb1W"	0.03	"A.Ftrad.33"	977	0	0	0.000334672021419009	0	0	0	0.00518741633199465	0	0.000167336010709505	0.00284471218206158	0	0.00133868808567604	0.0893574297188755	0	0	0	0	0	0.0317938420348059	0	0.00217536813922356	0	0	0.000167336010709505	0.00836680053547523	0.240796519410977	0	0.000502008032128514	0.00769745649263721	0.00217536813922356	0.000167336010709505	0	0.03714859437751	0	0.000669344042838019	0	0.00635876840696118	0.0230923694779116	0	0	0.000669344042838019	0	0	0	0.0291164658634538	0	0	0	0	0.257028112449799	0.00418340026773762	0	0.000334672021419009	0	0	0.000167336010709505	0	0	0.000167336010709505	0	0.0167336010709505	0.000669344042838019	0	0	0	0	0	0	0.0599062918340027	0.07095046854083	0.000167336010709505	0.00284471218206158	0	0.0937081659973226	0	0	0	0	0.000334672021419009	0	0	0	0.000167336010709505	0	0.00184069611780455	0.000669344042838019	0
"S10"	1	"A"	"Ftrad"	"A.Ftrad.42"	"S"	2015	2	4	17	1	"Feb"	"Feb1S"	0.03	"A.Ftrad.42"	977	0	0	0	0	0	0	0.00171102661596958	0	0	0.17851711026616	0	0.00342205323193916	0.0237642585551331	0	0	0	0	0	0.00874524714828897	0	0.000570342205323194	0	0	0	0.00171102661596958	0.088212927756654	0.000190114068441065	0.000570342205323194	0.00285171102661597	0.0064638783269962	0	0.000190114068441065	0.184030418250951	0	0.000380228136882129	0	0.0249049429657795	0.0889733840304183	0	0	0.00114068441064639	0	0	0	0.0311787072243346	0	0	0	0	0.222433460076046	0.00133079847908745	0.000570342205323194	0	0	0	0	0	0	0	0	0.0142585551330798	0.000950570342205323	0	0	0.000760456273764259	0	0	0	0.0129277566539924	0.0239543726235741	0	0.00475285171102662	0	0.0667300380228137	0.000760456273764259	0	0	0	0	0	0	0.000190114068441065	0.000190114068441065	0	0.0026615969581749	0	0
"S103"	3	"C"	"Ftrad"	"C.Ftrad.41"	"K"	2015	11	1	18	2	"Nov"	"Nov2K"	0.03	"C.Ftrad.41"	977	0	0	0	0.00485436893203883	0	0	0	0	0	0.0339805825242718	0	0.106796116504854	0.0145631067961165	0	0	0	0	0	0.169902912621359	0	0.00485436893203883	0.00242718446601942	0	0	0	0.140776699029126	0	0	0.00242718446601942	0	0	0	0.00242718446601942	0	0	0	0.0631067961165049	0.00242718446601942	0.00242718446601942	0	0.0339805825242718	0	0	0	0.00242718446601942	0	0	0	0	0.0218446601941748	0	0.0461165048543689	0	0	0	0	0	0	0	0	0.0970873786407767	0	0	0	0	0	0	0.00242718446601942	0.179611650485437	0.00242718446601942	0	0	0	0.0558252427184466	0	0	0	0	0	0	0	0	0	0	0.00728155339805825	0	0
"S106"	3	"C"	"Ftrad"	"C.Ftrad.44"	"S"	2015	11	1	18	2	"Nov"	"Nov2S"	0.03	"C.Ftrad.44"	977	0	0	0	0	0	0	0	0	0	0.0226171243941842	0	0.0210016155088853	0	0	0	0	0	0	0.0516962843295638	0	0.00969305331179321	0	0	0	0	0.316639741518578	0.012924071082391	0	0	0.00161550888529887	0	0.0145395799676898	0.00969305331179322	0	0	0	0.116316639741519	0	0.00323101777059774	0	0.135702746365105	0	0	0	0.00807754442649435	0	0	0	0	0.00646203554119548	0.00323101777059774	0.0403877221324717	0	0	0	0	0	0	0	0	0.0791599353796446	0	0	0	0.00161550888529887	0	0	0.00161550888529887	0.0662358642972536	0	0	0	0.00161550888529887	0.0113085621970921	0	0	0	0	0	0	0	0.00969305331179321	0.0226171243941842	0	0.0323101777059774	0	0
"S107"	3	"C"	"Ftrad"	"C.Ftrad.45"	"S"	2015	11	1	18	2	"Nov"	"Nov2S"	0.03	"C.Ftrad.45"	977	0	0	0	0	0	0	0	0	0	0.0136752136752137	0	0.0222222222222222	0.00170940170940171	0	0	0	0	0	0.0871794871794872	0	0.00683760683760684	0	0	0	0	0.00512820512820513	0.0170940170940171	0	0.00170940170940171	0	0	0	0.00854700854700855	0	0.00683760683760684	0	0.377777777777778	0.00341880341880342	0	0	0.147008547008547	0.00170940170940171	0	0	0.00341880341880342	0	0	0	0	0.00341880341880342	0	0.0444444444444444	0	0	0	0	0.00341880341880342	0	0	0	0.0820512820512821	0.00170940170940171	0	0	0	0	0	0	0.0803418803418803	0.00341880341880342	0	0.00170940170940171	0	0.0341880341880342	0.00683760683760684	0	0	0	0	0	0	0.011965811965812	0	0.00341880341880342	0.0188034188034188	0	0
"S109"	3	"C"	"Ftrad"	"C.Ftrad.47"	"W"	2015	12	2	17	2	"Dec"	"Dec2W"	0.03	"C.Ftrad.47"	977	0	0	0	0.0018450184501845	0	0	0	0	0	0.0553505535055351	0	0	0.003690036900369	0	0	0	0	0.0018450184501845	0.0608856088560886	0	0.018450184501845	0.0018450184501845	0	0	0	0.0590405904059041	0	0.0018450184501845	0.011070110701107	0	0	0	0.625461254612546	0	0	0	0.003690036900369	0	0	0	0	0.0129151291512915	0	0	0.018450184501845	0	0	0	0	0.0018450184501845	0.00922509225092251	0.00553505535055351	0	0	0	0	0	0	0	0	0.014760147601476	0	0	0	0.0018450184501845	0	0	0	0.00922509225092251	0.014760147601476	0	0.0018450184501845	0	0.0645756457564576	0	0	0	0	0	0	0	0	0	0	0	0	0
"S110"	3	"C"	"Ftrad"	"C.Ftrad.48"	"C"	2015	12	2	17	2	"Dec"	"Dec2C"	0.03	"C.Ftrad.48"	977	0	0	0	0	0	0	0	0	0	0.0256410256410256	0	0	0.00233100233100233	0	0	0	0	0	0.00466200466200466	0	0.00466200466200466	0.027972027972028	0	0	0	0.834498834498835	0.00233100233100233	0	0	0.00233100233100233	0	0	0.00233100233100233	0	0.00233100233100233	0	0.013986013986014	0.013986013986014	0	0	0.00466200466200466	0	0	0	0.0372960372960373	0	0	0	0	0.00466200466200466	0	0.00233100233100233	0	0	0	0	0	0	0	0	0.00699300699300699	0	0	0	0	0	0	0	0	0	0	0	0	0.00699300699300699	0	0	0	0	0	0	0	0	0	0	0	0	0
"S113"	4	"D"	"Ftrad"	"D.Ftrad.1"	"S"	2015	2	4	17	1	"Feb"	"Feb1S"	0.03	"D.Ftrad.1"	977	0	0	0	0.000218703525500831	0	0	4.37407051001662e-05	0	0	0.0241011285101916	0	0.000874814102003324	0.00258070160090981	0	0	0	0	0	0.012641063773948	8.74814102003324e-05	0.000656110576502493	0	4.37407051001662e-05	0	0.000218703525500831	0.229682442480973	0.000831073396903158	4.37407051001662e-05	0.000874814102003324	0.00118099903770449	0	0.000481147756101828	0.00511766249671945	0	0.000393666345901496	0	0.248272242148543	0.000699851281602659	0	0	0.00153092467850582	0	0	0	0.0901933339165427	0	0	0	0	0.269486484122124	0.000568629166302161	0.00244947948560931	0	0.000262444230600997	0	8.74814102003324e-05	0	0	0	0	0.0225264631265856	0.000393666345901496	0	4.37407051001662e-05	0.000437407051001662	0	0	0.000656110576502493	0.00266818301111014	0.0381418948473449	0.000131222115300499	0.00166214679380632	0	0.0168839121686642	0.0190709474236725	0	0	0.000218703525500831	0	0	0	0	0.000524888461201995	0.000787332691802992	0.00218703525500831	4.37407051001662e-05	0
"S114"	4	"D"	"Ftrad"	"D.Ftrad.2"	"W"	2016	2	4	19	2	"Feb"	"Feb2W"	0.03	"D.Ftrad.2"	977	0	0	0	0.000362351662288251	0	0	0.000181175831144125	0	0	0.036144578313253	0	0.00135881873358094	0.00643174200561645	0	9.05879155720627e-05	0	0	0.000452939577860313	0.0272669625871909	0	0.00244587372044569	0	0.000271763746716188	0	9.05879155720627e-05	0.298487181809947	0.00099646707129269	0	0.00262704955158982	0.00652232992118851	0.000181175831144125	0	0.00235528580487363	0	0.00099646707129269	0	0.0259081438536099	0.000181175831144125	0.000181175831144125	0	0.00597880242775614	0	0	0	0.0157622973095389	0	0	0	0	0.38427393785669	0	0.00199293414258538	0	0	0	9.05879155720627e-05	0	0	9.05879155720627e-05	0	0.0439351390524504	0.000543527493432376	0	0	0.00181175831144125	0	0	0.0258175559380379	0.00670350575233264	0.0230093305553039	0	9.05879155720627e-05	0	0.0682127004257632	0.000362351662288251	0.000181175831144125	0	9.05879155720627e-05	0.000181175831144125	9.05879155720627e-05	0	0	0.000271763746716188	0.00244587372044569	0.00443880786303107	9.05879155720627e-05	0
"S115"	4	"D"	"Ftrad"	"D.Ftrad.3"	"W"	2016	2	4	19	2	"Feb"	"Feb2W"	0.03	"D.Ftrad.3"	977	0	0	0	0.000393545848091303	0	0	0.000590318772136954	0.000196772924045651	0	0.0706414797323888	0	0.00255804801259347	0.00905155450609996	0	0.000196772924045651	0	0	0.00452577725304998	0.038370720188902	0	0.000590318772136954	0	0	0	0.000196772924045651	0.271546635182999	0.00373868555686737	0	0.00295159386068477	0.00550964187327824	0	0.00177095631641086	0.00196772924045651	0	0	0	0.0322707595434868	0.00118063754427391	0.000393545848091303	0	0.00373868555686737	0.00137741046831956	0	0	0.0072805981896891	0	0	0	0	0.284927194018103	0.000393545848091303	0.00354191263282172	0	0	0	0	0	0	0	0	0.0724124360487997	0.000983864620228256	0	0	0.00177095631641086	0	0	0.00216450216450216	0.00354191263282172	0.0769382133018497	0	0	0	0.0848091302636757	0.000787091696182605	0.000393545848091303	0	0.000196772924045651	0	0	0	0	0.000393545848091303	0.000393545848091303	0.00511609602518693	0.000196772924045651	0
