"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"10668","2.13758389","0.00196349","k--Fungi-unclassified","0.4678179","0.77971014","no","46","5","k--Fungi-unclassified","k--Fungi-unclassified","false","k--Fungi","Ftrad","Ftrad-Otu-00256","75.82608696","46","0","0.125","0.0","0.291666667","k--Fungi-unclassified","0","k--Fungi-unclassified","0.83748802","2.56E-5","0.0","2.84578E-4","false","0","Ftrad-Otu-00256","638","k--Fungi-unclassified","5244","""k--Fungi(98);k--Fungi-unclassified(98);k--Fungi-unclassified(98);k--Fungi-unclassified(98);k--Fungi-unclassified(98);k--Fungi-unclassified(98);k--Fungi-unclassified(98);""","0.34466403","0.140776699","1.07408E-4"
"10669","2.17449664","4.4712E-4","c--Dothideomycetes","0.45987654","0.82122449","no","50","6","f--Teratosphaeriaceae","g--Devriesia","false","k--Fungi","Ftrad","Ftrad-Otu-00187","74.8","50","0","0.171875","0.157142857","0.375","o--Capnodiales","0","p--Ascomycota","0.83221477","1.23161E-4","4.63E-5","3.97809E-4","false","0","Ftrad-Otu-00187","1118","s--Devriesia-pseudoamericana","2416","""k--Fungi(100);p--Ascomycota(100);c--Dothideomycetes(100);o--Capnodiales(100);f--Teratosphaeriaceae(100);g--Devriesia(100);s--Devriesia-pseudoamericana(100);""","0.35283019","0.237864078","1.93044E-4"
"10671","2.20134228","0.00941543","c--Actinobacteria","0.45426829","0.43939394","no","45","5","f--Sporichthyaceae","f--Sporichthyaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000180","39.24444444","45","0","0.71875","0.814285714","0.847222222","o--Actinomycetales","0","p--Actinobacteria","0.82837967","1.8685E-4","7.01983E-4","6.06266E-4","false","0","BacV5-Otu-000180","1512","f--Sporichthyaceae-unclassified","18246","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Sporichthyaceae(100);f--Sporichthyaceae-unclassified(100);f--Sporichthyaceae-unclassified(100);""","0.18687831","0.796116505","5.08487E-4"
"10672","2.32214765","0.00160633","c--Tremellomycetes","0.43063584","0.67096774","no","31","5","f--Bulleribasidiaceae","g--Vishniacozyma","false","k--Fungi","Ftrad","Ftrad-Otu-00092","53.58064516","31","0","0.78125","0.657142857","0.763888889","o--Tremellales","0","p--Basidiomycota","0.81112176","0.001469669","3.68949E-4","5.51138E-4","false","0","Ftrad-Otu-00092","3267","s--Vishniacozyma-carnescens","3448","""k--Fungi(100);p--Basidiomycota(100);c--Tremellomycetes(100);o--Tremellales(100);f--Bulleribasidiaceae(100);g--Vishniacozyma(100);s--Vishniacozyma-carnescens(100);""","0.28500343","0.733009709","7.74598E-4"
"10674","1.96644295","0.00574126","c--Actinobacteria","0.50853242","0.6037001","no","79","5","f--Nocardioidaceae","g--Nocardioides","false","k--Bacteria","BacV5","BacV5-Otu-000041","65.37974684","79","0","0.96875","0.928571429","1.0","o--Actinomycetales","0","p--Actinobacteria","0.86193672","0.001791595","0.001831148","0.008072918","false","0","BacV5-Otu-000041","12422","s--jensenii","21288","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Nocardioidaceae(100);g--Nocardioides(98);s--jensenii(96);""","0.27470482","0.966019417","0.00400045"
"10675","1.91275168","0.01671163","c--Betaproteobacteria","0.52280702","0.50543638","no","83","5","f--Oxalobacteraceae","f--Oxalobacteraceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000043","59.74698795","83","0","0.9375","0.942857143","1.0","o--Burkholderiales","0","p--Proteobacteria","0.8696069","0.001922785","0.003028757","0.006537716","false","0","BacV5-Otu-000043","11545","f--Oxalobacteraceae-unclassified","42420","""k--Bacteria(100);p--Proteobacteria(100);c--Betaproteobacteria(100);o--Burkholderiales(100);f--Oxalobacteraceae(100);f--Oxalobacteraceae-unclassified(85);f--Oxalobacteraceae-unclassified(85);""","0.24091527","0.961165049","0.003911586"
"10677","2.12416107","0.00188787","c--Actinobacteria","0.47077409","0.68264173","no","59","5","f--Geodermatophilaceae","f--Geodermatophilaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000153","70.45762712","59","0","0.84375","0.828571429","0.444444444","o--Actinomycetales","0","p--Actinobacteria","0.83940556","0.001157032","0.001152087","1.85955E-4","false","0","BacV5-Otu-000153","1997","f--Geodermatophilaceae-unclassified","6890","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Geodermatophilaceae(100);f--Geodermatophilaceae-unclassified(100);f--Geodermatophilaceae-unclassified(100);""","0.32770989","0.699029126","8.15946E-4"
"10678","1.84899329","0.0083997","k--Fungi-unclassified","0.54083485","0.53102453","no","99","5","k--Fungi-unclassified","k--Fungi-unclassified","false","k--Fungi","Ftrad","Ftrad-Otu-00154","64.05050505","99","0","0.03125","0.057142857","0.666666667","k--Fungi-unclassified","0","k--Fungi-unclassified","0.87871524","3.4E-5","2.0E-6","6.82642E-4","false","0","Ftrad-Otu-00154","1463","k--Fungi-unclassified","36746","""k--Fungi(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);""","0.2551813","0.262135922","2.49826E-4"
"10680","2.26510067","0.01055634","c--Actinobacteria","0.44148148","0.38","no","25","5","f--Nocardioidaceae","g--Nocardioides","false","k--Bacteria","BacV5","BacV5-Otu-000064","43.32","25","0","0.96875","0.942857143","0.902777778","o--Actinomycetales","0","p--Actinobacteria","0.81927133","0.001793457","0.003372207","0.002187426","false","0","BacV5-Otu-000064","7009","s--plantarum","13580","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Nocardioidaceae(100);g--Nocardioides(100);s--plantarum(99);""","0.21215686","0.936893204","0.002467623"
"10682","2.22483221","9.3883E-4","k--Fungi-unclassified","0.4494721","0.75731707","no","41","5","k--Fungi-unclassified","k--Fungi-unclassified","false","k--Fungi","Ftrad","Ftrad-Otu-00338","78.12195122","41","0","0.140625","0.085714286","0.319444444","k--Fungi-unclassified","0","k--Fungi-unclassified","0.82502397","2.21E-5","2.79E-6","2.16752E-4","false","0","Ftrad-Otu-00338","393","k--Fungi-unclassified","4614","""k--Fungi(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);k--Fungi-unclassified(100);""","0.38295074","0.184466019","8.36E-5"
"10683","1.90604027","0.01707479","c--Alphaproteobacteria","0.52464789","0.43998979","no","89","5","c--Alphaproteobacteria-unclassified","c--Alphaproteobacteria-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000689","59.20224719","89","0","0.234375","0.414285714","0.125","c--Alphaproteobacteria-unclassified","0","p--Proteobacteria","0.87056568","6.44E-5","2.39165E-4","2.4E-5","false","0","BacV5-Otu-000689","266","c--Alphaproteobacteria-unclassified","51396","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);c--Alphaproteobacteria-unclassified(60);c--Alphaproteobacteria-unclassified(60);c--Alphaproteobacteria-unclassified(60);c--Alphaproteobacteria-unclassified(60);""","0.24164183","0.257281553","1.09659E-4"
