"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"10735","2.01724138","0.00946468","c--Betaproteobacteria","0.4957265","0.54861111","yes","64","6","f--Oxalobacteraceae","f--Oxalobacteraceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000004","46.609375","64","0","1.0","0.985714286","1.0","o--Burkholderiales","0","p--Proteobacteria","0.88697318","0.043224127","0.038823534","0.113545544","false","0","BacV5-Otu-000004","207303","f--Oxalobacteraceae-unclassified","19104","""k--Bacteria(100);p--Proteobacteria(100);c--Betaproteobacteria(100);o--Burkholderiales(100);f--Oxalobacteraceae(100);f--Oxalobacteraceae-unclassified(72);f--Oxalobacteraceae-unclassified(72);""","0.26482599","0.995145631","0.066307139"
"10738","1.7887931","0.07138843","c--Bacilli","0.55903614","0.36491318","no","89","5","f--Bacillaceae","g--Bacillus","false","k--Bacteria","BacV5","BacV5-Otu-000006","41.11235955","89","0","0.65625","0.528571429","0.986111111","o--Bacillales","0","p--Firmicutes","0.91235632","0.038864447","0.005438825","0.086554751","false","0","BacV5-Otu-000006","128467","g--Bacillus-unclassified","68204","""k--Bacteria(100);p--Firmicutes(100);c--Bacilli(100);o--Bacillales(100);f--Bacillaceae(100);g--Bacillus(99);g--Bacillus-unclassified(88);""","0.20763818","0.72815534","0.044174682"
"10739","1.96982759","0.05582424","c--Betaproteobacteria","0.50765864","0.45083406","yes","68","6","f--Comamonadaceae","g--Variovorax","false","k--Bacteria","BacV5","BacV5-Otu-000010","42.89705882","68","0","1.0","1.0","0.986111111","o--Burkholderiales","0","p--Proteobacteria","0.89224138","0.045051559","0.033067396","0.01558242","false","0","BacV5-Otu-000010","71249","s--paradoxus","43554","""k--Bacteria(100);p--Proteobacteria(100);c--Betaproteobacteria(100);o--Burkholderiales(100);f--Comamonadaceae(100);g--Variovorax(63);s--paradoxus(58);""","0.23700032","0.995145631","0.030679377"
"10741","2.18103448","0.00427589","c--Microbotryomycetes","0.45849802","0.64358974","no","40","6","f--Ustilentylomataceae","g--Ustilentyloma","false","k--Fungi","Ftrad","Ftrad-Otu-00007","50.375","40","0","0.984375","0.971428571","0.847222222","o--Microbotryales","0","p--Basidiomycota","0.86877395","0.045695523","0.072874875","0.009702613","false","0","Ftrad-Otu-00007","188088","g--Ustilentyloma-unclassified","5848","""k--Fungi(100);p--Basidiomycota(100);c--Microbotryomycetes(100);o--Microbotryales(100);f--Ustilentylomataceae(100);g--Ustilentyloma(100);g--Ustilentyloma-unclassified(70);""","0.30904908","0.932038835","0.042351179"
"10743","2.10775862","0.00716662","c--Alphaproteobacteria","0.47443763","0.55218855","no","55","6","o--Rhizobiales-unclassified","o--Rhizobiales-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000115","47.05454545","55","0","0.875","0.785714286","0.986111111","o--Rhizobiales","0","p--Proteobacteria","0.87691571","5.96143E-4","5.75264E-4","0.001572625","false","0","BacV5-Otu-000115","2779","o--Rhizobiales-unclassified","9834","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Rhizobiales(100);o--Rhizobiales-unclassified(86);o--Rhizobiales-unclassified(86);o--Rhizobiales-unclassified(86);""","0.28008658","0.883495146","9.30343E-4"
"11255","2.89224138","6.42E-5","c--Leotiomycetes","0.34575261","0.66666667","no","6","6","f--Helotiales-fam-Incertae-sedis","g--Cadophora","false","k--Fungi","Ftrad","Ftrad-Otu-00132","33.16666667","6","0","0.40625","0.3","0.777777778","o--Helotiales","0","p--Ascomycota","0.78975096","0.001002801","0.001042686","5.61416E-4","false","0","Ftrad-Otu-00132","1888","g--Cadophora-unclassified","68","""k--Fungi(100);p--Ascomycota(100);c--Leotiomycetes(100);o--Helotiales(100);f--Helotiales-fam-Incertae-sedis(100);g--Cadophora(70);g--Cadophora-unclassified(70);""","0.39019608","0.5","8.62083E-4"
"10745","2.12068966","0.02125823","c--Alphaproteobacteria","0.47154472","0.44134727","no","42","5","f--Sphingomonadaceae","g--Sphingomonas","false","k--Bacteria","BacV5","BacV5-Otu-000225","42.23809524","42","0","0.6875","0.671428571","0.180555556","o--Sphingomonadales","0","p--Proteobacteria","0.87547893","6.65267E-4","6.13056E-4","4.54E-5","false","0","BacV5-Otu-000225","1068","g--Sphingomonas-unclassified","20248","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Sphingomonadales(100);f--Sphingomonadaceae(100);g--Sphingomonas(100);g--Sphingomonas-unclassified(93);""","0.24415084","0.504854369","4.30857E-4"
"10748","2.22844828","0.00846792","c--Actinobacteria","0.44874275","0.55113636","no","33","5","f--Microbacteriaceae","f--Microbacteriaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000191","36.09090909","33","0","0.1875","0.914285714","0.236111111","o--Actinomycetales","0","p--Actinobacteria","0.86350575","1.65347E-4","0.001387022","1.82258E-4","false","0","BacV5-Otu-000191","1372","f--Microbacteriaceae-unclassified","11084","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Microbacteriaceae(100);f--Microbacteriaceae-unclassified(89);f--Microbacteriaceae-unclassified(89);""","0.22278339","0.451456311","5.8639E-4"
"10751","2.83189655","0.01765912","c--Dothideomycetes","0.35312024","0.46666667","yes","6","7","f--Cladosporiaceae","g--Cladosporium","false","k--Fungi","Ftrad","Ftrad-Otu-00012","23.83333333","6","0","0.984375","0.985714286","1.0","o--Capnodiales","0","p--Ascomycota","0.79645594","0.014175676","0.013201675","0.029755538","false","0","Ftrad-Otu-00012","97867","g--Cladosporium-unclassified","13418","""k--Fungi(100);p--Ascomycota(100);c--Dothideomycetes(100);o--Capnodiales(100);f--Cladosporiaceae(100);g--Cladosporium(100);g--Cladosporium-unclassified(73);""","0.28861789","0.990291262","0.019290094"
"10753","1.99137931","0.01252173","c--Betaproteobacteria","0.5021645","0.5241972","no","67","6","f--Oxalobacteraceae","f--Oxalobacteraceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000027","45.71641791","67","0","0.984375","0.9","1.0","o--Burkholderiales","0","p--Proteobacteria","0.88984674","0.002541831","0.002371438","0.010523153","false","0","BacV5-Otu-000027","17690","f--Oxalobacteraceae-unclassified","22390","""k--Bacteria(100);p--Proteobacteria(100);c--Betaproteobacteria(100);o--Burkholderiales(100);f--Oxalobacteraceae(100);f--Oxalobacteraceae-unclassified(59);f--Oxalobacteraceae-unclassified(59);""","0.25539898","0.961165049","0.005273519"
