Ftrad_Otu_	Size	Taxonomy	k	p	c	o	f	g	s
Ftrad_Otu_00001	1438297	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Mrakiaceae(100);g__Udeniomyces(61);s__Udeniomyces_pannonicus(61);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Udeniomyces	s__Udeniomyces_pannonicus
Ftrad_Otu_00002	409326	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Sporidiobolales(100);f__Sporidiobolaceae(100);g__Sporidiobolus(99);s__Sporidiobolus_metaroseus(99);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Sporidiobolus	s__Sporidiobolus_metaroseus
Ftrad_Otu_00003	271626	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Cystofilobasidiaceae(100);g__Cystofilobasidium(100);s__Cystofilobasidium_macerans(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__Cystofilobasidium_macerans
Ftrad_Otu_00004	242261	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Cladosporiaceae(100);g__Cladosporium(100);s__Cladosporium_allicinum(95);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	s__Cladosporium_allicinum
Ftrad_Otu_00005	197688	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Mrakiaceae(100);g__Itersonilia(99);s__Itersonilia_perplexans(94);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Mrakiaceae	g__Itersonilia	s__Itersonilia_perplexans
Ftrad_Otu_00006	188927	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Cystofilobasidiaceae(100);g__Cystofilobasidium(100);s__Cystofilobasidium_macerans(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__Cystofilobasidium_macerans
Ftrad_Otu_00007	188088	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Microbotryales(100);f__Ustilentylomataceae(100);g__Ustilentyloma(100);g__Ustilentyloma_unclassified(70);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryales	f__Ustilentylomataceae	g__Ustilentyloma	g__Ustilentyloma_unclassified
Ftrad_Otu_00008	180623	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Sporidiobolales(100);f__Sporidiobolaceae(100);g__Rhodotorula(100);s__Rhodotorula_kratochvilovae(100);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__Rhodotorula_kratochvilovae
Ftrad_Otu_00009	134569	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Microbotryales(100);f__Ustilentylomataceae(100);g__Ustilentyloma(100);s__Ustilentyloma_graminis(100);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryales	f__Ustilentylomataceae	g__Ustilentyloma	s__Ustilentyloma_graminis
Ftrad_Otu_00010	126368	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Microbotryales(100);f__Ustilentylomataceae(100);g__Microbotryozyma(100);s__Microbotryozyma_sp(100);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Microbotryales	f__Ustilentylomataceae	g__Microbotryozyma	s__Microbotryozyma_sp
Ftrad_Otu_00011	108809	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Bullera(100);s__Bullera_crocea(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Bullera	s__Bullera_crocea
Ftrad_Otu_00012	97867	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Capnodiales(100);f__Cladosporiaceae(100);g__Cladosporium(100);g__Cladosporium_unclassified(73);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Capnodiales	f__Cladosporiaceae	g__Cladosporium	g__Cladosporium_unclassified
Ftrad_Otu_00013	92773	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Dioszegia(100);s__Dioszegia_hungarica(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Dioszegia	s__Dioszegia_hungarica
Ftrad_Otu_00014	87504	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Filobasidiaceae(100);g__Filobasidium(100);g__Filobasidium_unclassified(99);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	g__Filobasidium_unclassified
Ftrad_Otu_00015	84857	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Leucosporidiales(100);f__Leucosporidiaceae(100);g__Leucosporidium(98);g__Leucosporidium_unclassified(98);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	g__Leucosporidium_unclassified
Ftrad_Otu_00016	62185	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00017	58553	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleraceae(100);g__Bullera(100);s__Bullera_crocea(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleraceae	g__Bullera	s__Bullera_crocea
Ftrad_Otu_00018	52165	k__Fungi(100);p__Basidiomycota(100);c__Agaricostilbomycetes(100);o__Agaricostilbales(100);f__Kondoaceae(100);g__Bensingtonia(100);s__Bensingtonia_sp(100);	k__Fungi	p__Basidiomycota	c__Agaricostilbomycetes	o__Agaricostilbales	f__Kondoaceae	g__Bensingtonia	s__Bensingtonia_sp
Ftrad_Otu_00019	47543	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Holtermanniales(100);f__Holtermanniales_fam_Incertae_sedis(97);g__Holtermanniella(97);s__Holtermanniella_sp(97);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Holtermanniales	f__Holtermanniales_fam_Incertae_sedis	g__Holtermanniella	s__Holtermanniella_sp
Ftrad_Otu_00020	44845	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Leucosporidiales(100);f__Leucosporidiaceae(100);g__Leucosporidium(100);s__Leucosporidium_golubevii(100);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	s__Leucosporidium_golubevii
Ftrad_Otu_00021	42316	k__Fungi(100);p__Ascomycota(100);c__Taphrinomycetes(100);o__Taphrinales(100);f__Protomycetaceae(100);g__Protomyces(100);s__Protomyces_sp(97);	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Protomycetaceae	g__Protomyces	s__Protomyces_sp
Ftrad_Otu_00022	37603	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Vishniacozyma(100);s__Vishniacozyma_victoriae(98);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Vishniacozyma	s__Vishniacozyma_victoriae
Ftrad_Otu_00023	37200	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Tremellales(100);f__Bulleribasidiaceae(100);g__Dioszegia(100);s__Dioszegia_fristingensis(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Tremellales	f__Bulleribasidiaceae	g__Dioszegia	s__Dioszegia_fristingensis
Ftrad_Otu_00024	34054	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Filobasidiales(100);f__Filobasidiaceae(100);g__Filobasidium(100);s__Filobasidium_oeirense(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Filobasidiales	f__Filobasidiaceae	g__Filobasidium	s__Filobasidium_oeirense
Ftrad_Otu_00025	33472	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Leucosporidiales(100);f__Leucosporidiaceae(100);g__Leucosporidium(100);s__Leucosporidium_sp(95);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	s__Leucosporidium_sp
Ftrad_Otu_00026	32316	k__Fungi(100);p__Basidiomycota(100);c__Exobasidiomycetes(100);o__Entylomatales(100);f__unclassified_Entylomatales(100);g__unclassified_Entylomatales(100);s__Entylomatales_sp(100);	k__Fungi	p__Basidiomycota	c__Exobasidiomycetes	o__Entylomatales	f__unclassified_Entylomatales	g__unclassified_Entylomatales	s__Entylomatales_sp
Ftrad_Otu_00027	29392	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Leucosporidiales(100);f__Leucosporidiaceae(100);g__Leucosporidium(100);s__Leucosporidium_intermedium(100);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Leucosporidiales	f__Leucosporidiaceae	g__Leucosporidium	s__Leucosporidium_intermedium
Ftrad_Otu_00028	26518	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Cystofilobasidiales(100);f__Cystofilobasidiaceae(100);g__Cystofilobasidium(100);s__Cystofilobasidium_macerans(100);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Cystofilobasidiales	f__Cystofilobasidiaceae	g__Cystofilobasidium	s__Cystofilobasidium_macerans
Ftrad_Otu_00029	24221	k__Fungi(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);k__Fungi_unclassified(100);	k__Fungi	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified	k__Fungi_unclassified
Ftrad_Otu_00030	23510	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Didymellaceae(100);g__Epicoccum(97);s__Epicoccum_nigrum(96);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Didymellaceae	g__Epicoccum	s__Epicoccum_nigrum
Ftrad_Otu_00031	22973	k__Fungi(100);p__Ascomycota(100);c__Dothideomycetes(100);o__Pleosporales(100);f__Pleosporaceae(100);g__Alternaria(100);s__Alternaria_infectoria(72);	k__Fungi	p__Ascomycota	c__Dothideomycetes	o__Pleosporales	f__Pleosporaceae	g__Alternaria	s__Alternaria_infectoria
Ftrad_Otu_00032	21282	k__Fungi(100);p__Ascomycota(100);c__Taphrinomycetes(99);o__Taphrinales(99);f__Protomycetaceae(99);g__Protomyces(99);g__Protomyces_unclassified(97);	k__Fungi	p__Ascomycota	c__Taphrinomycetes	o__Taphrinales	f__Protomycetaceae	g__Protomyces	g__Protomyces_unclassified
Ftrad_Otu_00033	20588	k__Fungi(100);p__Basidiomycota(100);c__Tremellomycetes(100);o__Holtermanniales(100);f__Holtermanniales_fam_Incertae_sedis(100);g__Holtermanniella(100);s__Holtermanniella_sp(97);	k__Fungi	p__Basidiomycota	c__Tremellomycetes	o__Holtermanniales	f__Holtermanniales_fam_Incertae_sedis	g__Holtermanniella	s__Holtermanniella_sp
Ftrad_Otu_00034	17590	k__Fungi(100);p__Ascomycota(100);c__Leotiomycetes(100);o__Helotiales(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);o__Helotiales_unclassified(100);	k__Fungi	p__Ascomycota	c__Leotiomycetes	o__Helotiales	o__Helotiales_unclassified	o__Helotiales_unclassified	o__Helotiales_unclassified
Ftrad_Otu_00035	17426	k__Fungi(100);p__Basidiomycota(100);c__Microbotryomycetes(100);o__Sporidiobolales(100);f__Sporidiobolaceae(100);g__Rhodotorula(100);s__Rhodotorula_babjevae(97);	k__Fungi	p__Basidiomycota	c__Microbotryomycetes	o__Sporidiobolales	f__Sporidiobolaceae	g__Rhodotorula	s__Rhodotorula_babjevae
