ID	S54	S56	S109	S110	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S195	S196	S197	S198	S199	S201	S203	S204	S205	S206	S207	S208	S209	S210	S243	S244	S245	S246	S247	S248	S249	S250	S253	S254	S255	S256
BacV5_Otu_000002	847	1399	61	40	20	18	548	106	28	389	127	330	1791	1185	1625	884	276	308	178	1442	510	6974	3214	1160	306	159	580	885	1122	107	143	748	282	2457	765	5552	4191	4639	3044	1990	5472	4409	2181	3551	1569
BacV5_Otu_000003	151	571	835	49	1345	981	1409	1690	1558	1601	783	3007	2362	4399	1877	10592	4388	8658	4025	1015	279	370	784	259	389	1915	1047	1966	1199	270	199	1181	10330	507	1140	217	801	795	155	423	565	532	136	208	543
BacV5_Otu_000004	181	39	17	187	168	327	814	1436	289	178	127	652	365	387	589	2490	620	2070	401	2977	1446	1675	4580	10068	9321	4932	3424	4742	8329	1684	4589	2379	2450	321	546	236	277	198	370	374	391	271	795	315	364
BacV5_Otu_000005	64	316	758	161	124	111	133	237	298	178	271	124	1378	134	1374	6471	964	1621	221	1814	1018	604	271	177	184	281	32	337	371	213	114	1021	231	1103	282	125	1028	83	100	207	251	740	849	442	4077
BacV5_Otu_000006	1	1	0	0	0	1	1	1	1	1	0	1	1	0	0	6	1	8	0	342	2673	151	740	791	613	341	697	545	1310	187	272	406	506	1940	3914	4271	2057	1743	2385	2195	1767	2184	3317	1809	1663
BacV5_Otu_000007	44	481	188	78	35	27	910	158	333	649	107	253	42	99	999	2575	1029	1404	288	119	62	553	719	181	108	44	422	90	7	337	42	1290	218	601	205	2428	2278	939	916	962	317	432	1278	1571	190
BacV5_Otu_000008	2	25	16	5051	37	11	39	46	24	16	29	17	6	28	21	112	52	85	26	311	846	285	115	202	376	94	178	84	364	79	105	121	294	240	439	474	224	266	298	235	199	255	338	213	184
BacV5_Otu_000009	0	0	19	107	0	0	0	0	8	52	20	2	2	2	1	3	3	7	21	18	62	5	8	29	10	8	17	6	11	9	75	8	3	171	409	388	174	171	214	193	151	277	297	185	171
BacV5_Otu_000010	358	151	161	1277	7	17	144	79	76	50	23	361	128	498	643	348	51	167	132	107	184	98	143	130	117	55	49	202	67	43	86	127	131	105	15	202	230	843	248	295	1410	639	506	424	509
BacV5_Otu_000011	42	9	27	249	37	74	290	565	53	51	140	175	99	54	116	578	178	725	97	940	329	222	315	1100	2042	355	139	989	302	239	442	268	275	61	138	114	75	103	389	55	90	86	129	144	88
BacV5_Otu_000012	5	2	4	3	53	27	41	24	30	20	26	19	25	19	22	189	32	142	27	910	4135	345	1020	1989	1637	638	1176	1133	1816	540	632	1178	902	127	95	113	109	107	171	109	102	139	168	79	137
BacV5_Otu_000013	42	13	36	23	34	36	85	63	33	36	40	43	151	84	54	228	80	405	151	557	71	819	566	545	339	237	305	337	297	115	186	244	207	48	35	38	30	28	54	79	44	152	142	84	62
BacV5_Otu_000014	172	34	9	41	156	92	489	386	172	69	13	149	62	261	247	142	103	302	144	248	159	478	352	1747	355	22	32	250	220	5	17	49	127	464	293	515	54	507	253	202	95	601	571	90	1180
BacV5_Otu_000015	372	115	7	72	13	5	248	26	27	32	86	40	149	670	309	71	34	196	19	878	85	716	899	192	162	220	242	200	305	11	20	50	183	13	43	362	92	163	583	89	350	84	77	57	140
BacV5_Otu_000016	6	21	146	16	7	24	112	136	357	974	809	269	790	27	375	75	50	3253	156	3	17	292	34	97	34	55	42	9	18	348	409	360	18	179	9	5	8	13	56	295	3	4	3	8	369
BacV5_Otu_000017	1	0	5	0	3	4	14	52	2	44	18	15	263	25	161	700	213	1036	60	917	68	8	0	147	0	44	0	114	0	0	0	0	11	6	45	0	0	0	8	32	0	24	66	5	32
BacV5_Otu_000022	1	0	2	0	177	161	99	158	71	298	435	181	245	149	230	1529	803	1419	314	39	13	15	60	78	18	5	33	7	40	22	20	117	2	22	46	3	0	2	7	59	15	2	3	6	1
BacV5_Otu_000025	90	28	15	64	5	3	32	8	13	25	4	113	213	210	180	164	8	53	18	78	50	454	75	82	25	24	204	14	51	17	13	71	32	695	33	133	217	224	108	97	146	198	174	270	401
BacV5_Otu_000027	11	4	3	4	11	11	14	42	9	7	6	37	16	15	27	134	24	98	16	209	49	126	176	852	460	256	209	328	230	178	232	201	145	14	20	1	29	23	77	32	57	20	64	38	43
BacV5_Otu_000028	107	148	68	28	0	0	0	0	1	0	0	0	1	0	0	11	0	3	10	0	0	1	0	0	0	4	0	0	1	72	0	425	0	0	0	0	20	23	120	0	0	1	261	496	0
BacV5_Otu_000030	59	6	4	7	70	75	161	135	78	24	37	187	96	86	367	423	85	568	70	170	63	90	63	567	676	287	213	164	119	132	262	170	79	40	9	54	63	94	91	44	109	72	95	103	90
BacV5_Otu_000031	8	120	0	0	4	3	111	10	5	17	12	211	1171	87	86	35	120	35	11	220	19	519	343	120	40	22	49	141	24	12	7	31	23	346	21	31	6	59	67	43	249	118	86	79	15
