ID	S1	S2	S3	S4	S5	S7	S8	S9	S10	S113	S122	S123	S124	S125	S126	S127	S128	S129	S114	S115	S116	S117	S118	S119	S120	S121	S163	S172	S173	S175	S176	S177	S178	S164	S165	S166	S167	S168	S169	S170	S171
BacV5_Otu_000002	1963	21	217	277	192	1269	369	154	461	960	1316	1306	189	2234	186	160	133	1723	1239	1727	1639	1046	2263	1664	1807	2018	1092	722	1916	13	98	35	694	1224	1984	2555	1620	4139	340	109	1125
BacV5_Otu_000003	3614	1563	1951	502	1244	695	3995	788	1570	556	571	1524	828	328	5821	283	432	1766	270	306	759	2030	1168	875	3493	1382	1202	1824	1217	873	709	100	604	1661	2900	2879	1354	2218	3040	1367	1803
BacV5_Otu_000004	35	33	328	54	301	42	20	48	155	1271	92	784	574	173	227	88	235	166	110	58	637	249	438	742	214	102	637	5458	830	960	545	680	546	1324	971	4545	3474	2395	2639	2462	1051
BacV5_Otu_000005	585	38	1042	69	55	135	1503	36	83	710	551	286	48	1479	124	47	227	95	363	165	946	654	579	509	589	1769	3679	4379	3810	120	361	351	79	2316	1814	3825	5267	408	930	170	213
BacV5_Otu_000006	1	5	4	0	0	1	0	1	1	0	1	2	2	0	0	0	2	1	0	0	1	0	2	2	0	0	14	62	7	30	20	19	18	18	120	12	17	21	48	20	22
BacV5_Otu_000007	140	12	844	178	376	414	580	190	36	237	552	411	62	549	76	143	203	372	218	514	761	812	572	423	788	1058	11	293	281	15	158	3	39	532	47	234	547	176	14	851	1368
BacV5_Otu_000008	26	1	3	272	29	1	1	6	8	15	21	24	11	12	3	2042	37	9	7	20	204	48	64	30	12	9	85	140	45	127	85	70	47	82	312	146	89	47	128	41	64
BacV5_Otu_000009	66	0	0	2	1	29	1	0	16	19	1223	16	2	57	68	8	34	10	7	1	278	659	1051	55	5467	3598	0	0	1	1	1	2	0	0	0	0	0	0	0	3	3
BacV5_Otu_000010	350	13	451	191	677	484	2371	345	281	1004	1675	312	411	1020	48	112	72	272	397	844	215	1034	397	384	1284	1032	189	158	140	19	52	24	28	136	38	207	205	58	53	67	225
BacV5_Otu_000011	45	67	60	30	55	7	1	7	16	202	3103	188	120	105	49	655	79	40	24	70	222	552	2037	278	262	238	47	149	48	30	63	43	97	33	74	123	110	105	46	213	39
BacV5_Otu_000012	37	55	69	6	8	9	1	9	18	5	8	40	26	14	19	3	45	13	13	3	49	15	19	19	48	4	95	233	51	194	81	73	73	118	276	100	130	166	139	110	74
BacV5_Otu_000013	32	3	166	16	57	20	28	4	24	174	152	412	40	225	137	44	154	166	66	16	680	480	432	759	46	133	311	1628	150	100	146	187	68	325	263	596	620	402	368	166	305
BacV5_Otu_000014	54	0	287	60	188	174	133	78	31	271	294	1139	63	127	152	53	42	181	100	65	368	261	154	651	373	373	86	121	76	7	44	28	119	155	17	368	646	571	88	685	127
BacV5_Otu_000015	28	2	41	60	186	34	162	1	1	130	163	77	19	308	0	2	11	18	137	89	194	330	163	176	13	99	67	1121	150	4	39	123	4	1724	157	1430	2643	312	694	449	1091
