ID	S22	S23	S24	S25	S26	S27	S28	S15	S16	S61	S18	S21	S63	S72	S73	S75	S76	S64	S65	S66	S67	S68	S69	S70	S71	S227	S228	S229	S230	S231	S232	S234	S235	S236	S237	S238	S239	S240	S241	S242
BacV5_Otu_000002	1847	4618	815	903	4662	1082	6593	1124	1994	1946	448	1822	570	5592	3151	113	1553	1415	1335	414	1753	617	1888	3284	3531	907	60	1445	68	286	168	94	2456	128	173	670	80	80	1193	297
BacV5_Otu_000003	78	197	408	266	369	114	334	77	616	400	275	134	2042	3819	2689	745	195	4058	2132	3687	1635	2351	2059	1750	1606	440	199	835	296	272	137	87	424	1066	937	122	565	96	503	260
BacV5_Otu_000004	446	111	119	384	120	209	261	365	214	89	1029	52	124	440	180	246	45	418	1175	259	568	861	319	186	217	1373	1175	727	539	649	2200	865	2468	847	3747	2780	1851	1016	595	1155
BacV5_Otu_000005	998	164	408	232	414	361	2064	290	300	103	19	285	148	1302	315	62	59	79	480	843	151	427	966	1070	557	1416	420	172	446	743	48	77	584	54	38	100	121	1208	1214	328
BacV5_Otu_000006	1	0	0	0	2	0	1	0	0	0	0	1	2	4	2	0	1	6	0	4	1	0	2	1	0	1078	3877	3608	1506	1982	4401	1432	1524	3154	2892	910	2706	1049	1422	1724
BacV5_Otu_000007	434	230	366	159	99	194	448	233	990	77	148	113	1388	863	277	42	68	1624	807	830	1255	666	192	923	1428	66	14	1831	6	107	15	29	316	36	35	10	13	499	8	7
BacV5_Otu_000008	8	5	14	11	1	5	5	31	2	7	5	0	61	59	31	11	46	58	127	55	72	187	87	74	128	155	441	397	384	205	553	179	240	425	592	115	294	164	236	265
BacV5_Otu_000009	1	0	0	0	0	1	4	0	0	0	0	1	0	2	1	0	1	4	134	4	112	13	6	1	2	90	317	343	111	232	474	126	127	267	261	105	260	113	123	153
BacV5_Otu_000010	530	84	259	304	168	124	451	177	138	66	87	264	69	349	331	175	344	1160	597	356	1139	189	327	1205	760	58	10	443	31	25	19	4	77	43	108	145	34	50	101	19
BacV5_Otu_000011	141	19	51	123	34	69	83	98	73	29	465	13	44	129	83	71	66	150	404	68	217	434	57	46	63	112	51	158	40	58	99	81	284	85	1832	111	278	145	44	122
BacV5_Otu_000012	26	7	18	18	25	14	30	7	14	8	10	2	23	12	6	14	8	207	71	47	55	20	23	18	12	148	261	136	76	331	599	105	253	222	223	244	194	134	260	81
BacV5_Otu_000013	31	23	39	48	16	30	67	20	15	84	54	61	67	170	231	136	41	271	773	244	717	665	297	157	126	414	85	339	124	60	137	195	540	123	262	390	107	160	91	70
BacV5_Otu_000014	540	32	227	102	33	127	115	139	37	57	92	94	369	292	47	369	459	538	426	632	246	303	296	177	441	130	2	15	175	32	25	49	264	103	86	75	13	24	13	2
BacV5_Otu_000015	91	155	463	23	8	25	103	84	9	23	104	364	71	96	33	1	10	71	120	33	143	336	79	267	302	566	27	540	88	124	53	99	208	43	27	98	8	8	65	1
BacV5_Otu_000016	65	4	1	17	1	13	15	2	3	139	4	14	90	213	450	61	11	145	230	287	518	1004	12	208	22	1	42	3	4	350	1	8	23	51	4	1	17	98	150	0
BacV5_Otu_000017	0	1	4	12	1	1	2	0	3	13	2	4	224	512	74	63	46	20	45	2	385	327	70	116	18	12	0	0	9	0	13	47	0	0	0	0	2	3	3	0
