ID	S41	S42	S44	S45	S46	S47	S48	S49	S50	S51	S52	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S257
BacV5_Otu_000002	582	825	2449	1458	408	100	775	308	164	350	196	26	38	714	121	140	5	84	1771	1203	431	50	361	180	2128	769	4121	237	333	27	1228	1024	1482	447	761	180	330	322	152	542	561	3868
BacV5_Otu_000003	333	523	3137	2139	398	102	561	1637	435	1018	687	445	328	897	1134	846	32	521	577	639	689	906	1144	1084	753	3776	1798	1823	361	1847	8026	980	2153	1530	1227	1121	1622	1013	84	471	2439	1658
BacV5_Otu_000004	377	1306	834	1217	2140	6857	449	883	1547	3058	693	28	0	15	48	24	1	62	256	60	50	43	25	2192	41	225	1213	219	69	267	472	114	1493	364	117	97	172	3628	187	718	709	25
BacV5_Otu_000005	37	172	759	2212	359	360	1241	355	864	2033	604	1297	132	205	226	440	13	98	2019	601	327	308	150	1649	1298	5734	3368	2657	708	719	4639	4018	1003	1571	1094	62	1956	299	305	469	1118	600
BacV5_Otu_000006	0	27	1	3	12	6	2	1	6	7	0	0	0	0	0	0	0	0	0	0	2	1	0	4	1	70	71	145	74	34	7	27	34	401	145	373	207	500	123	477	247	5
BacV5_Otu_000007	219	473	359	126	138	57	258	124	69	135	538	43	14	112	490	156	4	145	1188	436	273	179	142	249	1844	834	327	212	436	163	236	714	916	900	602	157	1214	83	25	162	128	147
BacV5_Otu_000008	6	18	19	15	65	120	16	26	224	414	36	728	13	92	5	38	15	283	18	50	2	10	1	13	9	147	139	770	166	63	120	56	64	95	74	76	59	135	36819	70	68	4
BacV5_Otu_000009	6	1076	13	334	77	46	50	6	31	50	10	17009	23328	1553	146	3992	18064	3652	475	205	73	157	10	225	227	21	34	62	42	10	2	3	6	42	4	8	19	52	6	28	15	120
BacV5_Otu_000010	36	169	687	262	167	440	324	237	153	307	131	99	13	202	644	18	4	116	217	833	155	25	129	407	1937	3490	100	153	1205	4705	463	487	61	92	241	141	125	147	18	90	231	432
BacV5_Otu_000011	77	543	199	381	694	1440	128	197	653	1295	271	81	15	44	5	71	5	712	69	16	5	6	38	429	120	79	84	84	37	37	72	176	86	43	28	17	43	347	19	52	151	7
BacV5_Otu_000012	21	5	25	36	70	275	22	29	24	36	17	4	1	8	16	42	0	3	21	4	24	31	13	102	35	269	712	249	129	72	94	59	198	287	185	497	220	795	150	468	308	12
BacV5_Otu_000013	23	164	219	60	311	330	80	36	78	137	69	168	3	15	58	49	1	20	758	89	71	23	43	1109	541	992	1117	283	93	168	465	385	1869	384	154	111	88	1689	121	273	405	310
BacV5_Otu_000014	23	119	169	17	164	119	107	47	54	105	102	33	4	46	73	26	0	18	217	246	70	10	19	727	133	968	317	78	291	89	917	143	1006	66	72	10	129	560	36	364	67	122
BacV5_Otu_000015	10	211	169	11	12	40	48	80	31	80	166	7	1	16	1	8	1	51	87	273	13	2	13	22	168	468	175	167	124	21	87	121	358	356	167	440	119	38	13	200	57	11
BacV5_Otu_000016	170	42	25	33	318	100	5	2	74	155	22	118	9	13	54	333	3	77	67	25	33	55	25	715	24	475	141	53	229	119	197	394	78	7	86	12	16	27	640	1772	40	182
BacV5_Otu_000017	1	23	56	17	1423	136	6	1	14	15	44	446	26	69	2058	121	16	41	3927	665	112	47	1644	711	147	119	274	145	98	50	299	20	167	61	161	59	29	134	62	1459	146	2084
BacV5_Otu_000022	4	66	14	32	16	59	31	31	19	34	13	361	3	66	497	128	6	34	264	43	141	34	120	686	186	29	102	117	3	6	895	77	169	122	3	59	12	248	25	158	121	282
BacV5_Otu_000025	35	13	13	13	13	30	16	12	36	76	43	1	0	0	3	4	0	16	10	59	5	1	6	17	8	302	126	2	161	13	145	470	22	71	10	11	242	18	4	76	23	0
BacV5_Otu_000027	18	44	33	88	160	283	27	39	135	237	25	3	0	0	6	0	0	5	9	5	0	3	0	160	2	36	85	53	36	36	94	30	63	23	9	13	15	317	30	96	90	0
BacV5_Otu_000028	69	70	40	1	2	4	10	65	5	10	7	8	0	72	120	1	0	523	7	78	95	6	42	13	151	0	0	65	1	27	4	814	6	270	4	383	857	9	0	0	0	93
BacV5_Otu_000030	70	137	99	165	265	1395	45	125	195	316	94	1	0	0	1	6	0	6	16	1	0	2	0	231	5	11	29	49	2	6	21	3	98	15	2	8	2	349	8	68	191	3
BacV5_Otu_000031	1	2	214	21	21	10	7	33	13	26	23	0	1	16	14	8	3	4	47	496	62	3	24	5	30	107	99	37	7	0	83	17	577	39	4	12	43	165	11	97	32	396
BacV5_Otu_000033	7	33	136	22	691	113	12	14	31	69	16	15	3	1	5	4	0	9	147	11	3	3	1	196	24	26	56	53	18	31	28	23	75	35	15	16	39	116	40	63	163	2
BacV5_Otu_000034	43	108	82	76	242	613	32	92	138	294	41	4	0	1	3	7	0	5	58	8	3	5	4	281	9	73	189	36	4	18	114	15	302	64	18	36	12	1611	45	143	205	4
BacV5_Otu_000036	0	5	156	8	43	3	14	73	1	17	59	1	0	2	1	0	0	0	1	359	7	5	3	0	3	56	197	56	23	4	11	56	165	19	37	7	28	29	2	22	6	247
BacV5_Otu_000037	14	17	139	5	15	23	11	1	6	15	19	1	1	1	38	1	0	18	2	7	6	0	2	5	11	31	65	39	443	0	2	75	0	1	0	4	3	0	15	12	1	1
BacV5_Otu_000039	0	8	0	27	33	27	0	8	4	18	16	153	10	16	257	209	2	16	17	43	67	65	80	53	46	308	458	41	0	14	73	78	168	5	37	5	3	127	23	182	28	2
BacV5_Otu_000040	9	32	40	30	125	252	9	34	29	57	24	1	0	0	1	1	0	0	17	1	0	1	0	39	0	25	131	27	25	39	42	26	112	32	11	22	33	265	20	43	32	0
BacV5_Otu_000041	10	10	45	28	129	156	18	23	26	53	9	3	0	1	2	2	0	0	65	6	0	0	2	103	9	55	160	30	28	47	62	38	118	104	33	39	41	417	40	61	186	2
BacV5_Otu_000043	22	59	44	62	140	298	20	38	75	177	67	1	0	3	1	2	0	0	9	3	0	13	2	213	4	9	87	13	5	16	37	16	125	37	11	5	16	116	23	64	39	1
BacV5_Otu_000045	4	57	44	36	60	627	7	36	80	128	12	0	0	2	5	0	1	34	3	0	3	0	0	80	4	64	90	87	76	10	10	13	26	15	19	7	2	166	6	33	39	0
BacV5_Otu_000046	1	127	5	2	0	47	1	0	27	34	4	1	0	0	0	1	0	7	2	0	0	0	0	6	0	0	12	22	1	2	2	0	5	1	0	0	0	28	0	0	5	0
BacV5_Otu_000048	72	62	73	48	131	728	60	66	50	117	26	2	0	1	4	2	0	0	7	6	3	15	0	68	1	213	127	74	295	169	322	124	41	401	156	221	43	498	200	250	389	1
BacV5_Otu_000050	9	67	1449	5	22	15	4	3	6	24	33	2	16	104	1	1	1	34	126	21	7	0	2	16	46	114	898	111	47	9	27	60	83	128	27	11	17	0	16	17	6	249
BacV5_Otu_000052	19	26	39	53	108	266	16	37	50	107	21	0	0	0	1	0	0	2	3	1	2	1	1	64	3	4	13	0	2	14	12	7	15	19	4	10	10	38	4	17	39	0
BacV5_Otu_000053	2	53	76	1	40	3	4	9	3	6	19	6	1	6	15	4	0	20	23	43	24	7	4	31	24	79	130	60	22	0	114	93	227	2	4	34	1	26	4	25	8	23
BacV5_Otu_000055	13	9	4	7	87	61	10	4	40	59	7	2	0	1	4	2	0	4	3	25	2	1	2	64	1	24	14	9	4	19	2	4	116	14	0	5	4	145	5	39	5	3
BacV5_Otu_000056	66	123	72	147	314	787	45	89	128	300	68	2	1	5	5	1	0	6	31	1	3	13	1	275	5	2	21	28	15	15	44	9	48	12	4	13	11	323	6	29	56	3
BacV5_Otu_000057	3	25	49	21	96	118	12	9	25	63	11	7	0	0	4	2	0	3	47	0	2	3	1	91	15	30	177	35	7	51	80	47	135	90	31	49	17	289	51	95	141	2
BacV5_Otu_000058	14	8	11	13	40	68	10	7	85	128	7	4	1	0	0	1	8	278	11	4	1	0	0	14	0	13	36	9	14	7	7	6	8	0	7	4	1	30	1	6	18	0
BacV5_Otu_000059	20	35	24	43	51	210	7	21	26	69	9	0	0	0	3	2	0	1	16	4	0	1	1	41	1	64	63	25	28	46	65	32	26	149	32	50	52	193	53	54	89	1
BacV5_Otu_000061	2	0	1	0	60	4	3	0	7	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	19	0	0	0	5	13	20	4	15	0	4	0	0	0	0
BacV5_Otu_000062	4	21	23	17	34	39	6	6	21	39	4	1	0	0	2	3	0	3	34	3	5	1	1	77	4	27	246	10	1	18	30	26	76	44	16	9	12	647	26	98	142	3
