ID	S78	S79	S80	S81	S84	S86	S87	S88	S89	S90	S91	S93	S94	S95	S96	S97	S98	S99	S103	S106	S107	S211	S220	S221	S223	S224	S225	S226	S212	S213	S214	S251	S252	S215	S216	S217	S218	S219
BacV5_Otu_000002	295	558	517	962	2910	579	266	3126	17927	1440	5848	30	46	11	43	27	14	399	6	4	0	10	9	37	3	76	18	43	44	37	31	2769	5099	30	16	35	4	70
BacV5_Otu_000003	1015	110	1903	47	60	678	14	460	1065	3628	2002	370	563	197	1200	115	1162	178	371	9	119	161	61	18	15	119	54	34	34	8	21	53	267	2	6	15	8	15
BacV5_Otu_000004	23	36	149	70	36	16	36	52	55	132	95	1182	700	1753	561	2009	441	280	138	566	999	1031	1696	1125	496	5601	1684	534	1474	1533	799	366	218	983	1028	548	487	1568
BacV5_Otu_000005	423	485	217	260	272	91	130	309	406	851	176	39	219	126	118	112	10	47	12	15	64	86	6	20	2	62	7	8	12	33	22	1537	1065	0	26	6	14	5
BacV5_Otu_000006	0	0	1	0	0	0	1	0	2	1	0	0	0	0	2	11	5	0	0	1	0	951	1724	718	1238	1175	2559	9382	4141	1432	4476	2385	1081	4926	6693	4184	2476	3279
BacV5_Otu_000007	990	1035	1268	656	911	1082	405	2111	3047	3705	2311	29	1253	155	12	22	44	593	10	0	12	25	13	38	11	34	5	119	18	16	32	580	2494	1	8	5	86	11
BacV5_Otu_000008	7	6	114	4	8	12	24	5	20	4	881	1333	1289	1185	910	1294	599	409	348	38	193	3475	1918	1276	928	3420	1445	3218	706	529	1146	523	113	956	1188	1400	929	468
BacV5_Otu_000009	1	0	0	1	0	0	0	1	0	0	1	25	24	2	1	5	5	0	0	0	0	94	135	117	181	143	237	909	381	116	460	260	85	411	563	353	250	248
BacV5_Otu_000010	399	63	204	267	64	395	65	1015	1811	1586	1555	61	139	234	64	186	87	132	21	59	53	50	11	59	8	55	77	1114	44	106	51	805	601	30	39	0	21	94
BacV5_Otu_000011	14	5	16	4	19	8	8	5	13	31	19	235	435	1485	159	322	90	76	37	93	163	3811	775	2779	122	1945	2466	276	1237	567	360	114	41	922	414	781	1344	1012
BacV5_Otu_000012	5	3	19	14	8	7	5	21	18	17	8	34	42	50	53	77	188	8	4	29	27	2458	186	639	295	195	322	195	328	223	445	176	35	429	400	203	723	402
BacV5_Otu_000013	29	5	29	39	12	8	8	30	125	61	29	37	25	32	27	67	41	1	5	23	0	81	42	74	3	58	91	55	169	54	116	90	24	45	71	26	64	260
BacV5_Otu_000014	120	35	79	137	158	23	149	85	132	74	59	2	127	679	1	3	3	40	1	0	0	4	5	8	0	3	1	1	4	2	0	727	61	3	6	7	7	8
BacV5_Otu_000015	76	16	105	36	32	65	41	123	459	104	109	483	78	77	108	132	990	235	400	4	9	11	11	40	3	10	23	22	31	12	24	148	178	15	7	4	14	120
BacV5_Otu_000016	97	41	1230	8	133	36	2	16	71	36	963	3	1498	78	99	32	19	8	8	0	1	3	0	3	1	2	0	1	17	69	8	58	1	0	0	2	2	0
BacV5_Otu_000022	0	5	12	2	1	0	0	1	3	3	0	19	183	403	11	6	5	17	14	23	161	0	2	5	0	2	0	0	7	0	12	21	0	0	3	1	0	2
BacV5_Otu_000025	181	59	934	156	256	282	502	355	569	613	615	8	39	77	33	27	22	22	2	1	47	43	7	17	1	44	41	2	17	10	1	743	185	0	9	0	10	24
BacV5_Otu_000027	6	4	4	17	13	5	5	5	15	21	18	24	47	232	82	394	43	34	4	55	47	120	46	237	14	3856	590	85	68	75	133	47	17	18	13	36	29	149
BacV5_Otu_000028	509	59	276	8	33	78	8	18	3	2730	731	1	3	5	939	3	3	1	353	0	0	0	0	1	0	0	0	0	0	0	1	95	0	0	0	0	3	4
BacV5_Otu_000030	5	3	53	67	7	27	21	17	7	36	20	54	144	263	93	233	74	44	25	138	54	18	10	50	5	72	65	46	52	89	51	62	27	18	21	2	67	43
BacV5_Otu_000031	66	3	13	5	0	4	2	343	88	96	16	3	56	65	1	6	2	13	2	0	1	3	6	7	1	21	9	3	10	5	13	192	6	0	0	5	0	10
BacV5_Otu_000033	2	7	15	11	13	2	4	29	18	26	18	844	46	131	182	194	736	8	35	32	83	23	698	108	11	70	96	227	56	32	40	24	4	115	23	46	128	53
BacV5_Otu_000034	12	3	44	29	6	6	8	14	12	59	27	11	43	67	32	177	19	5	8	47	14	33	29	231	11	120	187	0	130	34	31	58	18	43	66	17	3	87
BacV5_Otu_000036	178	18	596	13	78	8	21	999	303	156	412	9	5	0	4	4	0	1	0	0	0	8	0	5	0	14	1	7	3	3	3	45	14	0	0	16	0	0
BacV5_Otu_000037	427	348	161	51	243	27	10	1497	890	1058	15	2	4	0	4	6	2	52	1	1	1	0	0	0	0	6	4	3	8	6	11	10	13	0	0	9	1	1
BacV5_Otu_000039	2	31	0	10	2	6	1	16	5	4	12	27	9	190	9	14	2	18	6	5	1	9	1	0	0	6	28	1	9	0	0	0	1	0	0	19	0	4
BacV5_Otu_000040	6	0	15	11	2	3	1	10	4	34	3	122	9	33	25	102	47	2	7	25	9	71	29	73	5	63	115	40	131	59	105	20	6	21	14	41	33	54
BacV5_Otu_000041	3	0	8	3	4	4	0	14	25	23	7	92	8	18	46	60	64	11	2	17	10	132	16	89	11	113	198	73	247	94	206	51	17	32	34	14	34	53
BacV5_Otu_000042	250	570	12	355	779	590	996	347	3	433	2174	0	2	0	2	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	724	520	0	0	0	0	0
BacV5_Otu_000043	2	0	8	5	7	1	0	4	5	17	3	113	180	219	124	221	68	59	29	56	59	18	18	29	10	23	29	1	28	28	21	6	4	12	14	6	6	50
BacV5_Otu_000044	1	0	2	1	0	0	2	1	3	0	1	1286	3258	1277	539	952	501	252	274	762	1287	0	0	13	0	0	6	0	7	5	0	0	26	22	0	0	60	4
BacV5_Otu_000045	1	3	37	1	0	2	1	0	3	23	2	199	54	306	19	50	501	9	6	8	311	0	54	74	6	1191	22	58	101	8	36	27	17	132	107	124	58	51
BacV5_Otu_000046	0	0	14	0	0	7	0	0	0	8	2	62	26	532	9	39	181	220	26	0	469	400	427	717	1186	341	886	71	630	197	133	0	1	737	684	263	835	532
BacV5_Otu_000048	15	0	3	2	0	0	1	0	4	6	29	3	23	46	150	47	25	2	21	155	9	2	3	3	0	3	34	0	7	12	0	102	8	0	0	1	0	5
BacV5_Otu_000050	12	0	5	7	14	0	1	6	13	10	39	89	7	54	93	5	29	4	4	0	2	38	0	3	0	3	3	1	7	2	19	3	0	1	0	3	0	5
BacV5_Otu_000051	1	1	5	0	0	1	1	0	3	0	2	3308	2273	1396	565	554	669	316	85	355	266	6	0	0	0	3	11	0	0	0	2	9	1	0	0	0	37	0
BacV5_Otu_000052	2	2	4	123	13	23	81	16	6	1551	49	19	407	38	16	49	42	5	10	39	9	55	37	41	41	33	82	122	90	42	48	128	38	68	119	58	51	96
BacV5_Otu_000053	6	8	104	56	103	10	9	18	12	84	7	196	189	283	3	1	279	200	0	4	0	3	0	1	0	0	1	0	0	0	0	16	208	0	0	0	0	0
BacV5_Otu_000055	180	23	133	76	31	61	42	62	57	388	129	672	273	194	33	28	175	349	24	0	8	68	142	90	0	5	365	20	15	15	35	121	90	172	97	65	24	93
BacV5_Otu_000056	13	13	55	34	6	10	5	5	10	38	44	39	44	90	30	115	21	8	5	34	33	105	74	131	21	242	51	21	164	22	9	52	28	227	151	19	29	251
BacV5_Otu_000057	12	16	49	26	15	4	7	40	72	58	0	130	21	45	44	101	158	6	13	37	14	8	5	18	9	23	22	43	39	13	30	23	9	11	11	9	14	33
BacV5_Otu_000058	4	8	25	58	92	25	397	17	25	165	238	8	920	39	32	287	11	13	1	19	9	10	2	19	0	45	35	11	16	29	13	29	17	5	11	11	10	12
BacV5_Otu_000059	6	1	16	8	4	3	1	17	19	21	5	13	16	28	16	29	25	3	1	15	4	75	12	39	11	88	121	50	176	47	96	69	16	38	40	6	18	49
BacV5_Otu_000060	414	13	27	0	24	2	1	34	168	1	548	0	0	0	0	6	0	1	1	0	0	3	0	0	0	0	0	2	0	5	2	8	0	0	0	0	0	0
BacV5_Otu_000061	1	1	1	9	10	83	175	111	56	722	67	19	131	53	59	23	1054	97	307	0	4	1	13	264	5	7	16	9	6	10	18	33	62	20	36	508	370	435
BacV5_Otu_000062	2	3	7	2	1	0	0	8	7	1	2	20	157	200	42	41	19	4	11	28	21	5	0	2	0	4	5	3	20	0	10	6	14	7	5	0	0	3
BacV5_Otu_000063	7	1	8	8	5	4	4	6	18	11	2	105	36	76	44	56	58	9	9	16	19	13	8	14	3	29	36	5	37	12	16	11	3	8	1	7	19	14
BacV5_Otu_000064	15	8	16	6	10	6	4	35	43	28	28	267	17	26	42	66	53	8	8	16	3	0	1	4	1	1	1	3	4	0	3	10	19	0	0	18	1	1
BacV5_Otu_000065	10	4	32	11	12	6	7	26	27	14	10	21	30	29	45	66	50	4	4	27	10	63	27	38	7	53	114	36	143	42	174	66	17	19	94	4	18	40
BacV5_Otu_000066	15	3	5	37	97	9	46	11	1	257	21	1	14	22	10	44	10	2	0	12	10	0	0	11	0	13	4	6	3	1	1	15	10	2	0	0	0	4
BacV5_Otu_000067	26	3	0	0	1	10	4	5	130	254	10	0	0	168	331	2	1	0	1	0	0	0	2	0	0	0	2	0	1	0	1	177	4	0	1	0	2	0
BacV5_Otu_000068	3	9	11	28	6	4	10	29	13	61	153	1	18	14	2	18	3	20	3	5	8	11	57	515	9	3	0	2	20	10	14	12	10	104	5	31	8	48
BacV5_Otu_000069	0	0	0	1	0	0	2	0	0	6	0	3	24	12	5	15	2	0	2	8	4	10	148	197	3	18	126	49	32	14	91	0	1	7	0	9	6	61
BacV5_Otu_000071	8	5	20	16	9	8	0	26	35	27	23	244	55	123	71	202	307	16	34	49	63	16	9	15	2	23	38	18	51	23	68	8	6	12	11	6	10	17
BacV5_Otu_000072	1	0	3	0	0	1	0	3	5	5	4	2	11	26	21	59	6	1	2	88	5	100	77	97	86	66	157	7	105	38	29	32	16	132	102	23	55	73
BacV5_Otu_000073	5	1	21	4	7	4	2	7	6	32	9	21	33	92	44	147	51	10	31	78	16	19	1	20	1	17	40	2	21	16	23	46	12	1	2	3	2	9
BacV5_Otu_000074	5	1	17	13	3	2	7	13	9	29	8	34	59	56	30	88	69	5	8	32	16	60	34	68	12	114	170	91	181	47	97	44	16	22	45	20	25	63
BacV5_Otu_000075	17	28	22	37	36	27	14	19	68	725	411	18	19	1	0	3	11	3	2	0	3	0	0	10	0	3	33	0	28	1	0	18	12	60	0	6	7	1
BacV5_Otu_000076	7	0	0	0	1	1	0	7	4	1	0	0	17	0	0	7	4	0	2	1	0	1	10	10	0	10	32	0	1	20	79	1	0	0	5	28	0	3
BacV5_Otu_000077	3	2	1	11	5	4	9	11	32	16	13	27	60	27	0	4	6	0	1	1	1	8	5	5	4	5	2	0	5	4	12	33	30	2	1	20	3	27
BacV5_Otu_000080	11	4	36	4	55	0	10	1	4	4	115	29	5	21	5	12	21	5	0	4	0	20	99	46	15	14	36	92	41	25	72	16	6	58	74	49	58	27
BacV5_Otu_000081	10	2	12	22	4	2	17	16	124	25	30	31	80	5	8	17	37	0	0	6	2	9	3	13	1	16	11	7	21	5	41	17	23	14	7	13	15	40
BacV5_Otu_000083	7	9	16	5	8	1	1	4	5	10	4	19	46	93	28	116	21	7	3	33	18	6	16	16	18	23	34	0	16	35	2	19	5	0	5	1	7	35
BacV5_Otu_000084	0	0	0	0	0	0	0	0	0	0	6	2	0	34	1	9	0	3	0	9	0	5	9	2	0	4	13	9	7	20	37	10	10	17	52	38	12	2
BacV5_Otu_000085	9	2	10	15	6	2	5	6	10	31	18	0	11	31	7	27	6	0	0	8	2	1	0	0	0	0	0	0	0	0	0	44	21	1	0	0	0	17
BacV5_Otu_000086	23	7	502	159	168	43	31	39	64	156	12	1	3	0	0	0	0	0	0	0	0	0	0	3	0	0	1	1	1	0	0	26	70	0	0	0	0	0
BacV5_Otu_000088	1	0	2	0	1	1	0	0	0	3	2	1	7	3	2	14	1	0	0	1	2	85	101	97	36	12	76	1	93	8	28	2	5	282	213	74	145	106
BacV5_Otu_000089	2	4	23	4	4	1	0	4	4	5	3	11	36	219	41	110	14	7	28	34	24	5	1	10	1	4	17	0	6	10	1	17	5	0	0	4	2	7
BacV5_Otu_000090	5	1	5	8	1	1	9	7	10	11	5	115	848	80	9	25	46	6	14	5	11	41	12	19	10	29	95	30	89	26	73	6	3	17	16	12	20	49
BacV5_Otu_000092	1	4	7	5	5	4	0	13	4	17	13	39	7	5	13	24	102	0	0	11	6	32	1	19	4	25	50	18	52	9	39	9	0	20	14	10	16	59
BacV5_Otu_000093	20	102	37	8	7	0	3	22	92	5	8	15	271	5	0	6	11	2	9	0	1	64	1000	114	1	11	70	271	15	6	102	15	0	84	1	104	117	258
BacV5_Otu_000094	1	0	79	10	0	2	0	0	7	5	0	6	10	4	5	6	22	5	5	5	9	74	106	362	157	256	262	40	344	51	122	7	2	204	215	77	107	405
BacV5_Otu_000095	1	0	8	2	0	1	2	3	2	13	3	2	78	41	12	108	3	7	10	14	6	125	3	15	1	13	47	5	41	8	18	38	18	9	165	1	38	14
BacV5_Otu_000096	3	1	13	7	7	3	6	8	10	18	3	9	10	30	28	70	34	2	1	15	9	13	15	21	1	14	26	8	30	3	34	28	6	13	10	1	9	36
BacV5_Otu_000097	3	1	7	7	9	1	3	5	3	6	3	2	11	10	17	18	3	2	1	12	3	12	0	25	0	32	35	7	37	9	22	44	6	0	3	1	4	22
BacV5_Otu_000098	2	0	12	6	0	0	1	5	3	19	0	10	10	20	6	70	12	1	2	30	8	2	3	3	0	3	1	0	9	0	1	14	13	1	0	0	0	1
BacV5_Otu_000099	0	0	60	0	1	2	2	1	0	0	1	148	169	114	29	184	120	1606	53	4	8	0	35	0	0	37	0	5	5	0	0	9	186	0	246	4	20	0
BacV5_Otu_000100	2	2	12	9	3	3	3	3	1	1	0	19	6	11	74	12	21	3	3	5	15	36	3	38	138	22	88	92	20	26	96	57	0	3	23	3	2	67
BacV5_Otu_000101	7	2	3	2	5	0	2	3	2	2	3	18	27	10	22	17	12	2	20	3	3	1856	10	11	2	19	34	12	13	6	7	14	6	4	28	7	7	12
BacV5_Otu_000102	2	1	13	6	5	2	3	10	4	13	0	8	21	13	11	40	10	1	2	27	1	33	5	24	1	29	53	9	82	13	44	25	7	10	11	3	11	25
BacV5_Otu_000103	1	1	7	2	0	0	0	0	0	3	0	12	38	153	22	80	2	4	29	52	16	2	1	3	3	4	6	1	6	4	3	2	1	0	0	5	0	2
BacV5_Otu_000104	2	0	5	4	2	1	0	1	1	33	0	14	6	8	6	16	9	1	0	1	1	7	2	11	0	23	22	0	51	7	41	30	2	5	6	1	20	39
BacV5_Otu_000105	0	4	15	11	4	7	6	25	0	10	2	44	65	9	1	6	45	9	13	0	4	81	40	188	58	15	50	14	57	26	13	2	22	101	162	63	94	147
BacV5_Otu_000106	2	2	15	3	1	0	1	1	4	0	0	4	31	285	7	23	4	1	0	3	0	0	1	13	1	17	8	0	6	10	0	11	1	3	0	80	0	20
BacV5_Otu_000107	18	3	42	21	19	3	7	12	5	35	87	0	4	2	7	10	0	0	0	3	1	0	0	5	0	6	40	0	25	11	22	1	0	10	5	0	0	15
BacV5_Otu_000112	0	0	1	2	1	0	22	0	0	32	2	0	286	10	1	5	0	3	1	0	15	517	186	147	31	54	79	9	18	43	35	0	0	140	82	250	313	239
BacV5_Otu_000113	4	0	6	4	5	1	2	8	8	6	6	5	19	22	24	34	12	3	3	9	3	21	7	16	6	21	64	4	70	17	37	42	13	5	58	0	11	19
BacV5_Otu_000114	0	4	0	289	1	65	69	30	1	84	4	0	3	4	5	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	2	14	3	0	0	0	0	0
BacV5_Otu_000115	2	1	10	3	1	0	0	5	2	3	5	20	6	12	13	25	40	3	0	5	6	13	5	33	1	43	19	9	65	19	31	13	7	10	2	2	22	29
BacV5_Otu_000116	1	1	6	3	2	1	1	0	3	29	0	24	41	36	20	42	59	4	5	6	0	42	64	75	103	17	54	10	165	22	20	7	4	104	100	18	28	70
BacV5_Otu_000117	1	0	3	3	0	0	2	1	20	6	0	7	5	1	0	10	2	3	0	2	0	14	1078	74	4	18	73	77	28	79	97	3	0	168	15	145	37	137
BacV5_Otu_000118	0	0	1	0	0	0	0	1	0	0	0	0	0	2	2	1	0	3	1	0	1	16	354	219	7	4	68	9	116	8	105	0	0	25	126	246	132	70
BacV5_Otu_000119	1	0	8	6	4	0	0	3	11	9	3	2	15	9	14	26	10	3	1	8	6	8	3	23	1	19	51	1	26	6	40	25	3	5	10	0	5	12
BacV5_Otu_000122	0	2	4	2	1	3	1	10	4	3	2	18	75	37	42	63	150	11	10	24	14	23	8	19	5	58	30	11	35	16	12	13	4	9	6	0	3	39
BacV5_Otu_000123	1	0	8	9	5	0	4	5	11	11	6	4	11	5	10	18	8	1	0	7	1	13	4	11	0	18	25	8	30	17	12	52	9	0	19	0	6	14
BacV5_Otu_000125	0	0	1	0	0	0	0	0	0	0	0	0	0	17	1	2	1	1	0	4	4	28	12	20	24	2	15	0	182	3	0	0	0	25	1266	545	193	22
