Node1	Node2	Pvalue	Cor
BacV5_Otu_000004	BacV5_Otu_000002	0	-0.600578931705
BacV5_Otu_000006	BacV5_Otu_000002	0	-0.657709276552
BacV5_Otu_000007	BacV5_Otu_000002	0	0.654472977285
BacV5_Otu_000009	BacV5_Otu_000002	0	-0.602336996093
BacV5_Otu_000010	BacV5_Otu_000002	0	0.758544718527
BacV5_Otu_000012	BacV5_Otu_000002	0	-0.625075285794
BacV5_Otu_000025	BacV5_Otu_000002	0	0.498304980906
BacV5_Otu_000027	BacV5_Otu_000002	0	-0.697729514415
BacV5_Otu_000031	BacV5_Otu_000002	0	0.60633910011
BacV5_Otu_000040	BacV5_Otu_000002	0	-0.617069541591
BacV5_Otu_000041	BacV5_Otu_000002	0	-0.590513217477
BacV5_Otu_000042	BacV5_Otu_000002	0	0.503590495144
BacV5_Otu_000067	BacV5_Otu_000002	0	0.549393312733
BacV5_Otu_000074	BacV5_Otu_000002	0	-0.456083531868
BacV5_Otu_000075	BacV5_Otu_000002	0	0.431133870857
BacV5_Otu_000080	BacV5_Otu_000002	0	-0.554602293092
BacV5_Otu_000084	BacV5_Otu_000002	0	-0.486867532004
BacV5_Otu_000085	BacV5_Otu_000002	0	0.543224972298
BacV5_Otu_000127	BacV5_Otu_000002	0.001	0.466532287368
BacV5_Otu_000129	BacV5_Otu_000002	0	0.533158089493
BacV5_Otu_000153	BacV5_Otu_000002	0	0.56225211704
BacV5_Otu_000159	BacV5_Otu_000002	0	0.525375627638
BacV5_Otu_000179	BacV5_Otu_000002	0	0.475403795694
BacV5_Otu_000196	BacV5_Otu_000002	0	0.633237998849
BacV5_Otu_000225	BacV5_Otu_000002	0	0.631544726661
BacV5_Otu_000278	BacV5_Otu_000002	0.001	0.457054675636
BacV5_Otu_000289	BacV5_Otu_000002	0	0.579201814593
BacV5_Otu_000293	BacV5_Otu_000002	0.001	0.425449693912
BacV5_Otu_000302	BacV5_Otu_000002	0	0.422952808053
BacV5_Otu_000347	BacV5_Otu_000002	0	0.598410102863
BacV5_Otu_000408	BacV5_Otu_000002	0	0.574412650348
BacV5_Otu_000689	BacV5_Otu_000002	0.001	0.413631827949
Ftrad_Otu_00002	BacV5_Otu_000002	0	-0.544625769446
Ftrad_Otu_00003	BacV5_Otu_000002	0	-0.63040415622
Ftrad_Otu_00006	BacV5_Otu_000002	0	-0.620240927174
Ftrad_Otu_00007	BacV5_Otu_000002	0	0.62179688687
Ftrad_Otu_00008	BacV5_Otu_000002	0	-0.696612404448
Ftrad_Otu_00010	BacV5_Otu_000002	0	0.6139009288
