Node1,Node2,binarycorrelation,Correlation
nov_BacV5_Otu_000003,dec_BacV5_Otu_000003,linkeredge,no_info
nov_BacV5_Otu_000002,dec_BacV5_Otu_000002,linkeredge,no_info
nov_BacV5_Otu_000004,dec_BacV5_Otu_000004,linkeredge,no_info
nov_BacV5_Otu_000005,dec_BacV5_Otu_000005,linkeredge,no_info
nov_BacV5_Otu_000007,dec_BacV5_Otu_000007,linkeredge,no_info
nov_BacV5_Otu_000008,dec_BacV5_Otu_000008,linkeredge,no_info
nov_BacV5_Otu_000010,dec_BacV5_Otu_000010,linkeredge,no_info
nov_BacV5_Otu_000011,dec_BacV5_Otu_000011,linkeredge,no_info
nov_BacV5_Otu_000012,dec_BacV5_Otu_000012,linkeredge,no_info
nov_BacV5_Otu_000014,dec_BacV5_Otu_000014,linkeredge,no_info
nov_BacV5_Otu_000015,dec_BacV5_Otu_000015,linkeredge,no_info
nov_BacV5_Otu_000016,dec_BacV5_Otu_000016,linkeredge,no_info
nov_BacV5_Otu_000025,dec_BacV5_Otu_000025,linkeredge,no_info
nov_BacV5_Otu_000028,dec_BacV5_Otu_000028,linkeredge,no_info
nov_BacV5_Otu_000031,dec_BacV5_Otu_000031,linkeredge,no_info
nov_BacV5_Otu_000036,dec_BacV5_Otu_000036,linkeredge,no_info
nov_BacV5_Otu_000037,dec_BacV5_Otu_000037,linkeredge,no_info
nov_BacV5_Otu_000040,dec_BacV5_Otu_000040,linkeredge,no_info
nov_BacV5_Otu_000042,dec_BacV5_Otu_000042,linkeredge,no_info
nov_BacV5_Otu_000046,dec_BacV5_Otu_000046,linkeredge,no_info
nov_BacV5_Otu_000053,dec_BacV5_Otu_000053,linkeredge,no_info
nov_BacV5_Otu_000058,dec_BacV5_Otu_000058,linkeredge,no_info
nov_BacV5_Otu_000060,dec_BacV5_Otu_000060,linkeredge,no_info
nov_BacV5_Otu_000066,dec_BacV5_Otu_000066,linkeredge,no_info
nov_BacV5_Otu_000069,dec_BacV5_Otu_000069,linkeredge,no_info
nov_BacV5_Otu_000072,dec_BacV5_Otu_000072,linkeredge,no_info
nov_BacV5_Otu_000074,dec_BacV5_Otu_000074,linkeredge,no_info
nov_BacV5_Otu_000075,dec_BacV5_Otu_000075,linkeredge,no_info
nov_BacV5_Otu_000077,dec_BacV5_Otu_000077,linkeredge,no_info
nov_BacV5_Otu_000081,dec_BacV5_Otu_000081,linkeredge,no_info
nov_BacV5_Otu_000085,dec_BacV5_Otu_000085,linkeredge,no_info
nov_BacV5_Otu_000086,dec_BacV5_Otu_000086,linkeredge,no_info
nov_BacV5_Otu_000088,dec_BacV5_Otu_000088,linkeredge,no_info
nov_BacV5_Otu_000094,dec_BacV5_Otu_000094,linkeredge,no_info
nov_BacV5_Otu_000107,dec_BacV5_Otu_000107,linkeredge,no_info
nov_BacV5_Otu_000112,dec_BacV5_Otu_000112,linkeredge,no_info
nov_BacV5_Otu_000114,dec_BacV5_Otu_000114,linkeredge,no_info
nov_BacV5_Otu_000116,dec_BacV5_Otu_000116,linkeredge,no_info
nov_BacV5_Otu_000118,dec_BacV5_Otu_000118,linkeredge,no_info
nov_BacV5_Otu_000126,dec_BacV5_Otu_000126,linkeredge,no_info
nov_BacV5_Otu_000127,dec_BacV5_Otu_000127,linkeredge,no_info
nov_BacV5_Otu_000137,dec_BacV5_Otu_000137,linkeredge,no_info
nov_BacV5_Otu_000139,dec_BacV5_Otu_000139,linkeredge,no_info
nov_BacV5_Otu_000146,dec_BacV5_Otu_000146,linkeredge,no_info
nov_BacV5_Otu_000154,dec_BacV5_Otu_000154,linkeredge,no_info
nov_BacV5_Otu_000159,dec_BacV5_Otu_000159,linkeredge,no_info
nov_BacV5_Otu_000173,dec_BacV5_Otu_000173,linkeredge,no_info
nov_BacV5_Otu_000182,dec_BacV5_Otu_000182,linkeredge,no_info
nov_BacV5_Otu_000185,dec_BacV5_Otu_000185,linkeredge,no_info
nov_BacV5_Otu_000186,dec_BacV5_Otu_000186,linkeredge,no_info
nov_BacV5_Otu_000196,dec_BacV5_Otu_000196,linkeredge,no_info
nov_BacV5_Otu_000212,dec_BacV5_Otu_000212,linkeredge,no_info
nov_BacV5_Otu_000221,dec_BacV5_Otu_000221,linkeredge,no_info
nov_BacV5_Otu_000276,dec_BacV5_Otu_000276,linkeredge,no_info
nov_BacV5_Otu_000368,dec_BacV5_Otu_000368,linkeredge,no_info
nov_Ftrad_Otu_00001,dec_Ftrad_Otu_00001,linkeredge,no_info
nov_Ftrad_Otu_00002,dec_Ftrad_Otu_00002,linkeredge,no_info
nov_Ftrad_Otu_00007,dec_Ftrad_Otu_00007,linkeredge,no_info
nov_Ftrad_Otu_00019,dec_Ftrad_Otu_00019,linkeredge,no_info
nov_Ftrad_Otu_00039,dec_Ftrad_Otu_00039,linkeredge,no_info
nov_Ftrad_Otu_00041,dec_Ftrad_Otu_00041,linkeredge,no_info
nov_Ftrad_Otu_00043,dec_Ftrad_Otu_00043,linkeredge,no_info
nov_Ftrad_Otu_00078,dec_Ftrad_Otu_00078,linkeredge,no_info
nov_Ftrad_Otu_00090,dec_Ftrad_Otu_00090,linkeredge,no_info
nov_Ftrad_Otu_00142,dec_Ftrad_Otu_00142,linkeredge,no_info
