"Replicate"	"Flowcell"	"Run"	"Locus"	"X.SampleID"	"Ecotype"	"Year"	"mon"	"month_2"	"Day"	"Experiment"	"Month"	"Combi"	"label"	"Group"	"numOtrad_Otus"	"c__Agaricomycetes_unclassified"	"c__Oomycetes_unclassified"	"c__Tremellomycetes_unclassified"	"k__Fungi_unclassified"	"k__Viridiplantae_unclassified"	"o__Agaricostilbales"	"o__Albuginales"	"o__Archaeosporales"	"o__Chaetopeltidales"	"o__Chlamydomonadales"	"o__Chromulinales"	"o__Chytridiales"	"o__Cystobasidiomycetes_ord_Incertae_sedis"	"o__Cystofilobasidiales"	"o__Diptera"	"o__Entylomatales"	"o__Filobasidiales"	"o__Helotiales"	"o__Hymenochaetales"	"o__Incertae_sedis"	"o__Leucosporidiales"	"o__Microbotryales"	"o__Microthamniales"	"o__Mortierellales"	"o__Neolectales"	"o__Nephroselmidales"	"o__Peronosporales"	"o__Pleosporales"	"o__Pythiales"	"o__Rhizophydiales"	"o__Saprolegniales"	"o__Spizellomycetales"	"o__Sporidiobolales"	"o__Tremellales"	"o__Trichosporonales"	"p__Basidiomycota_unclassified"	"p__Chlorophyta_unclassified"	"p__Ciliophora_unclassified"	"p__Ochrophyta_unclassified"	"p__Oomycota_unclassified"
"S1"	1	"A"	"Otrad"	"A.Otrad.33"	"W"	2015	2	4	17	1	"Feb"	"Feb1W"	0.03	"A.Otrad.33"	182	0	0	0	0	0	0	0.000505050505050505	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000101010101010101	0.999191919191919	0	0.000202020202020202	0	0	0	0	0	0	0	0	0	0	0
"S10"	1	"A"	"Otrad"	"A.Otrad.42"	"S"	2015	2	4	17	1	"Feb"	"Feb1S"	0.03	"A.Otrad.42"	182	0	0	0	0	0	0	0.00699842706362414	0	0	0	0	0	0	0	0	0	0	0	0	0	2.27961793603392e-05	0	0	0	0	0	0.991884560147719	0	0.00109421660929628	0	0	0	0	0	0	0	0	0	0	0
"S103"	3	"C"	"Otrad"	"C.Otrad.41"	"K"	2015	11	1	18	2	"Nov"	"Nov2K"	0.03	"C.Otrad.41"	182	0	0	0	0.0150375939849624	0.0050125313283208	0	0	0	0.0025062656641604	0.102756892230576	0	0	0	0.0025062656641604	0.0025062656641604	0	0	0	0.180451127819549	0.0526315789473684	0	0	0	0	0	0.0025062656641604	0.167919799498747	0.0150375939849624	0.0451127819548872	0.0050125313283208	0	0	0	0.0100250626566416	0	0.0275689223057644	0.363408521303258	0	0	0
"S106"	3	"C"	"Otrad"	"C.Otrad.44"	"S"	2015	11	1	18	2	"Nov"	"Nov2S"	0.03	"C.Otrad.44"	182	0	0	0	0	0	0	0.00472813238770686	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.846335697399527	0	0.148936170212766	0	0	0	0	0	0	0	0	0	0	0
"S107"	3	"C"	"Otrad"	"C.Otrad.45"	"S"	2015	11	1	18	2	"Nov"	"Nov2S"	0.03	"C.Otrad.45"	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.777070063694267	0	0.222929936305732	0	0	0	0	0	0	0	0	0	0	0
"S109"	3	"C"	"Otrad"	"C.Otrad.47"	"W"	2015	12	2	17	2	"Dec"	"Dec2W"	0.03	"C.Otrad.47"	182	0	0	0	0	0	0	0.108003108003108	0	0	0.000777000777000777	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.00155400155400155	0.88966588966589	0	0	0	0	0	0	0	0	0	0	0	0	0
"S110"	3	"C"	"Otrad"	"C.Otrad.48"	"C"	2015	12	2	17	2	"Dec"	"Dec2C"	0.03	"C.Otrad.48"	182	0	0	0	0	0	0	0.734375	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.203125	0	0.0598958333333333	0	0.00260416666666667	0	0	0	0	0	0	0	0	0
"S113"	4	"D"	"Otrad"	"D.Otrad.1"	"S"	2015	2	4	17	1	"Feb"	"Feb1S"	0.03	"D.Otrad.1"	182	0	0	0	0	0	0	0.176480749299451	0	0	0	0	0	0	1.91931211853672e-05	0	1.91931211853672e-05	0	0	1.91931211853672e-05	0	0	0	0	0	0	1.91931211853672e-05	0.821273655521861	0	0.00213043645157576	0	0	0	0	1.91931211853672e-05	0	0	1.91931211853672e-05	0	0	0
"S114"	4	"D"	"Otrad"	"D.Otrad.2"	"W"	2016	2	4	19	2	"Feb"	"Feb2W"	0.03	"D.Otrad.2"	182	0	0	0	0	0	0	0.120389282710561	0	0	7.20893908446474e-05	0	0	0	0.000264327766430374	0	7.20893908446474e-05	0	0	4.80595938964316e-05	0	2.40297969482158e-05	0.000408506548119668	0	0	0	4.80595938964316e-05	0.877688333533582	0	0.000937162080980416	2.40297969482158e-05	0	0	0	0	0	0	0	0	0	2.40297969482158e-05
"S115"	4	"D"	"Otrad"	"D.Otrad.3"	"W"	2016	2	4	19	2	"Feb"	"Feb2W"	0.03	"D.Otrad.3"	182	0	0.000111172873818788	0	0	0	0	0.0971650917176209	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.000111172873818788	0.880155642023346	0	0.0224569205113952	0	0	0	0	0	0	0	0	0	0	0
