ID	S54	S56	S109	S110	S131	S132	S133	S134	S135	S136	S137	S138	S139	S140	S141	S142	S143	S144	S145	S195	S196	S197	S198	S199	S201	S203	S204	S205	S206	S207	S208	S209	S210	S243	S244	S245	S246	S247	S248	S249	S250	S253	S254	S255	S256
BacV5_Otu_000002	0.080237777	0.122653372	0.008730551	0.001904803	0.00261624	0.002659859	0.027177059	0.00569469	0.002505724	0.029343662	0.013226151	0.014274483	0.057870957	0.042901787	0.050384733	0.00991025	0.009902558	0.004090132	0.00833856	0.031213741	0.012653862	0.13037172	0.056080947	0.015125109	0.004624056	0.004456641	0.015283431	0.019572601	0.020625052	0.005217545	0.004524107	0.018818598	0.005670036	0.082502885	0.034391276	0.11341869	0.111212886	0.112121642	0.079266942	0.068412388	0.12932116	0.110515579	0.056458431	0.096971203	0.041287268
BacV5_Otu_000003	0.015433667	0.054304027	0.106518184	0.002332235	0.148091692	0.125420196	0.066712771	0.082941317	0.121220729	0.109811635	0.075784156	0.115435926	0.07481004	0.141586988	0.057700073	0.106041486	0.135665257	0.102430544	0.157866889	0.022202326	0.006968042	0.007993111	0.01436239	0.003423041	0.005869851	0.050855034	0.027209946	0.042341766	0.022005217	0.013047211	0.006283022	0.029350856	0.170667387	0.018355497	0.050304387	0.005036364	0.023573408	0.021387538	0.004405656	0.015471011	0.015281732	0.014925871	0.003743467	0.006318006	0.01473706
BacV5_Otu_000004	0.018435715	0.003933032	0.002450797	0.008834053	0.021501584	0.045950138	0.039779921	0.071442751	0.025192394	0.013673648	0.013226151	0.027764795	0.012436032	0.01448219	0.018944797	0.027355624	0.021936941	0.026776071	0.0185642	0.062146411	0.0349596	0.035065565	0.07788483	0.116474348	0.12256229	0.120556856	0.083305276	0.095868159	0.133873216	0.075626516	0.12582036	0.057226353	0.046951932	0.011711284	0.024820985	0.005474568	0.008297633	0.005426011	0.010443667	0.013706828	0.010632541	0.007667298	0.021439344	0.00953268	0.009934026
BacV5_Otu_000005	0.006608508	0.030887491	0.097718863	0.007616492	0.015972297	0.0161488	0.006753853	0.012630842	0.025953944	0.013673648	0.027751054	0.005418919	0.045193734	0.005069349	0.042973838	0.06779966	0.033646821	0.021106696	0.010329148	0.03891486	0.024901904	0.012973314	0.005018446	0.002342215	0.002786375	0.007845461	0.00085739	0.007557428	0.006928838	0.010325251	0.003610432	0.025488719	0.004650072	0.038985682	0.012996624	0.002908259	0.030027738	0.002282798	0.002847469	0.007639794	0.006855339	0.020624852	0.022857921	0.0133176	0.100078614
BacV5_Otu_000006	0.000104035	0.000101293	0	0	0	0.000148198	5.11747E-05	5.40739E-05	8.97395E-05	7.80333E-05	0	4.39725E-05	3.45625E-05	0	0	6.80321E-05	3.62895E-05	0.000106726	0	0.007608468	0.062565636	0.003279841	0.013568795	0.010370648	0.00921427	0.009502443	0.018302334	0.012157158	0.023987118	0.009077966	0.00856525	0.010315423	0.010121728	0.066397023	0.152786866	0.089754772	0.058139358	0.045586486	0.063291035	0.074884384	0.046106966	0.058252331	0.083194133	0.052096604	0.043640495
BacV5_Otu_000007	0.004554131	0.046182763	0.026362954	0.003706661	0.004568128	0.003983704	0.044239981	0.008461245	0.028902894	0.04790608	0.011169828	0.01098549	0.00144926	0.003750964	0.031660697	0.028259706	0.035824412	0.018339951	0.013412691	0.002662539	0.001558144	0.011892741	0.013189523	0.002395	0.001637647	0.001237868	0.01117303	0.00203121	0.000131761	0.016225047	0.001333654	0.031962405	0.004389698	0.021675052	0.009486326	0.053274242	0.06394668	0.025151308	0.025410423	0.034418274	0.008640114	0.012159126	0.033966067	0.045589174	0.005213682
BacV5_Otu_000008	0.000208045	0.002525269	0.002307015	0.191745739	0.004827719	0.001627404	0.00199136	0.002480457	0.002148647	0.001246854	0.003055827	0.000746928	0.000207333	0.001064168	0.000689852	0.001268179	0.001883044	0.001132624	0.001228022	0.006924279	0.020793488	0.006169828	0.002136686	0.00267202	0.005674963	0.002640267	0.004747893	0.001896091	0.006799123	0.00385825	0.003326487	0.003100012	0.00590968	0.008785758	0.020067266	0.010926514	0.006722216	0.00727396	0.00843097	0.008662954	0.005443969	0.007218357	0.009244731	0.006468755	0.005049993
BacV5_Otu_000009	0	0	0.002738219	0.005076751	0	0	0	0	0.000717398	0.004039255	0.002109766	8.79406E-05	6.91222E-05	7.60986E-05	3.28749E-05	3.40174E-05	0.000108859	9.33866E-05	0.000992134	0.000403786	0.001558144	0.000109001	0.00014898	0.000384619	0.000151894	0.00022533	0.000455699	0.00013571	0.000207035	0.000441281	0.002378659	0.000205644	6.07108E-05	0.006278004	0.018725055	0.008964371	0.005230716	0.00469008	0.006070973	0.007127309	0.004137082	0.007835532	0.00813376	0.005623883	0.004695121
BacV5_Otu_000010	0.035737456	0.015033814	0.022673786	0.057030424	0.000917478	0.002512515	0.007307768	0.004251228	0.0067679	0.003884592	0.002425349	0.015591622	0.004401787	0.018548407	0.020641017	0.003928353	0.001846909	0.002222481	0.006198945	0.002394786	0.004607942	0.002131458	0.002655335	0.001721501	0.00177384	0.001546785	0.00131219	0.004545743	0.001259507	0.00210431	0.002726436	0.003253157	0.002643163	0.003865657	0.000701191	0.004690101	0.006900852	0.022645756	0.007027756	0.010847355	0.03717791	0.017866897	0.013767551	0.012783157	0.013828829
BacV5_Otu_000011	0.004348157	0.000910789	0.003886008	0.011723767	0.004827719	0.010832308	0.014593587	0.029526781	0.004730826	0.00396193	0.014557558	0.007628192	0.003408409	0.002049995	0.003796991	0.00650531	0.006412228	0.009567071	0.004563886	0.020600038	0.008205067	0.004813498	0.005827805	0.014355561	0.029964236	0.009888164	0.003712055	0.021815796	0.005648526	0.011568963	0.013833998	0.006836612	0.005530183	0.002249949	0.006408653	0.002653112	0.002262348	0.002831081	0.010973243	0.002043043	0.002470552	0.002447858	0.003551574	0.004383775	0.002422541
