ID	S1	S2	S3	S4	S5	S7	S8	S9	S10	S113	S122	S123	S124	S125	S126	S127	S128	S129	S114	S115	S116	S117	S118	S119	S120	S121	S163	S172	S173	S175	S176	S177	S178	S164	S165	S166	S167	S168	S169	S170	S171
BacV5_Otu_000002	0.092719624	0.003243901	0.011309441	0.04732505	0.014252611	0.116959524	0.015195166	0.03019327	0.056167178	0.047739927	0.050044942	0.05582007	0.022663985	0.089663662	0.00908783	0.014517148	0.016390416	0.097928886	0.105644551	0.137264713	0.061542393	0.037519979	0.066402936	0.066717655	0.043167778	0.059693001	0.045371903	0.013199122	0.067545764	0.001407061	0.010411668	0.00330479	0.076036711	0.033556747	0.066163868	0.044310844	0.027497249	0.100253763	0.011721629	0.004121584	0.039871512
BacV5_Otu_000003	0.157809267	0.192571633	0.092441192	0.082298779	0.084990666	0.067912761	0.141608451	0.136211938	0.167376613	0.028284904	0.0224255	0.064476862	0.091559295	0.014381345	0.220573026	0.025356347	0.051124612	0.100111403	0.025311329	0.027701431	0.029586559	0.070082503	0.035536967	0.036356032	0.079909023	0.041749992	0.049690152	0.032602127	0.044102757	0.085619873	0.070236857	0.009376325	0.06689547	0.044935838	0.093612217	0.049620173	0.023100046	0.056579695	0.095032919	0.049057881	0.062244406
BacV5_Otu_000004	0.001839009	0.005086737	0.016982565	0.009639484	0.022140539	0.004419803	0.000837356	0.009637998	0.019706482	0.062144402	0.003692388	0.034361961	0.06546708	0.007644593	0.011065737	0.008044413	0.028554319	0.010456326	0.010490715	0.005388108	0.024964749	0.009230009	0.013669375	0.031022278	0.005342004	0.003222393	0.02703942	0.091060904	0.030557845	0.09329577	0.054970756	0.060095759	0.060900829	0.03618709	0.033641174	0.07594049	0.056967866	0.060792597	0.083625544	0.084711811	0.037358384
BacV5_Otu_000005	0.029759578	0.005852284	0.051803256	0.01227958	0.004130804	0.014049327	0.058818846	0.007248477	0.010663586	0.035804074	0.021659278	0.01285228	0.005868934	0.061383437	0.006079634	0.004314979	0.027612503	0.006014817	0.033698961	0.015156151	0.036576688	0.023835883	0.017979798	0.021517309	0.014547404	0.052756177	0.137042694	0.074509528	0.125358105	0.012818279	0.037178823	0.032056031	0.009357859	0.061451885	0.060873222	0.064760721	0.083684457	0.010976312	0.031340195	0.006411202	0.00783528
BacV5_Otu_000006	5.26513E-05	0.000774558	0.000211156	0	0	0.000105758	0	0.000202989	0.000130048	0	4.03039E-05	9.12096E-05	0.000246129	0	0	0	0.00025111	6.37496E-05	0	0	4.03376E-05	0	6.34053E-05	8.66682E-05	0	0	0.00061273	0.00114932	0.000266918	0.003240213	0.002145198	0.001797148	0.002149977	0.000512744	0.0043014	0.000219046	0.00029778	0.000571781	0.001674122	0.00075919	0.000815855
BacV5_Otu_000007	0.00730977	0.001856623	0.042423495	0.030996886	0.027485988	0.04171949	0.023650901	0.036958704	0.004657358	0.012282639	0.021697622	0.018352258	0.007565872	0.023809453	0.003736312	0.01299754	0.02477474	0.023091684	0.020549883	0.045570496	0.029661918	0.029403385	0.017766811	0.017955801	0.019354294	0.032316032	0.000481504	0.005404886	0.010588018	0.001623128	0.016665116	0.000284255	0.004644905	0.014904686	0.001689794	0.004251589	0.009480556	0.004768942	0.000488952	0.031184868	0.048023264
BacV5_Otu_000008	0.001366864	0.000155022	0.000158376	0.04651495	0.002182956	0.000105758	4.19062E-05	0.001216512	0.001039293	0.000787765	0.000845597	0.001093253	0.001351986	0.000534626	0.000148097	0.15649523	0.004622191	0.00057341	0.000675194	0.001865529	0.008152252	0.001794608	0.002024392	0.001298211	0.000301297	0.000285293	0.003706909	0.002590932	0.001713045	0.01355446	0.009044803	0.006584621	0.005591596	0.002330949	0.011096237	0.00265758	0.001556707	0.001278658	0.004450062	0.001554914	0.002369154
BacV5_Otu_000009	0.003461368	0	0	0.00036086	7.54573E-05	0.003056569	4.19062E-05	0	0.002076105	0.000997594	0.046691579	0.000729141	0.000246129	0.002533632	0.003344527	0.000737499	0.004249246	0.000637076	0.000675194	9.3467E-05	0.011072022	0.024013167	0.032105414	0.002377097	0.119313982	0.101301707	0	0	3.81412E-05	0.000108397	0.000107512	0.000189524	0	0	0	0	0	0	0	0.000113963	0.000111343
BacV5_Otu_000010	0.018048789	0.002010984	0.023183637	0.033176327	0.048300708	0.048393741	0.089479347	0.064940807	0.035092151	0.049807105	0.062752073	0.014002027	0.047857404	0.043244862	0.002363513	0.010212728	0.008949716	0.017003913	0.036725416	0.072493139	0.008587516	0.037107413	0.012407918	0.016331022	0.031108712	0.031550028	0.0081998	0.002922934	0.005307436	0.00205494	0.005555626	0.002268849	0.003339826	0.00385916	0.001366725	0.003763139	0.003577333	0.001577375	0.001848139	0.00253808	0.008272526
BacV5_Otu_000011	0.002363013	0.010266038	0.003156606	0.005381661	0.004130804	0.000739764	4.19062E-05	0.001418933	0.002076105	0.010490464	0.109909604	0.008491053	0.014526253	0.004655813	0.002412617	0.056582611	0.009810071	0.002542715	0.002310595	0.006494591	0.008864275	0.020203386	0.060209585	0.011883996	0.006531242	0.007482059	0.002053612	0.002756965	0.001827008	0.003240213	0.006721803	0.004056652	0.011462117	0.00093957	0.002657562	0.002239997	0.001923207	0.002851404	0.001604495	0.008017972	0.001445241
