ID	S22	S23	S24	S25	S26	S27	S28	S15	S16	S61	S18	S21	S63	S72	S73	S75	S76	S64	S65	S66	S67	S68	S69	S70	S71	S227	S228	S229	S230	S231	S232	S234	S235	S236	S237	S238	S239	S240	S241	S242
BacV5_Otu_000002	0.097027724	0.235242211	0.079825919	0.085258775	0.232317007	0.097414362	0.186692005	0.096697969	0.136464001	0.177667647	0.04215559	0.159749753	0.033858267	0.120153674	0.113188247	0.011296592	0.136366524	0.033911856	0.033812828	0.014577608	0.052606984	0.019360959	0.062432317	0.098489329	0.103170647	0.038449237	0.002980074	0.045551379	0.005386176	0.015324588	0.00598938	0.008031644	0.068901152	0.006542397	0.004685751	0.027899681	0.003996756	0.00460062	0.062129244	0.020639907
BacV5_Otu_000003	0.004567248	0.013118056	0.041793276	0.026899269	0.023657928	0.011356053	0.011658207	0.007357051	0.046905834	0.042928201	0.026358001	0.013973705	0.110747717	0.085529197	0.098327577	0.069572154	0.019663817	0.090931558	0.052811698	0.115280008	0.049259039	0.069561047	0.067667611	0.055243893	0.049978277	0.01907769	0.009806351	0.026901393	0.022973225	0.014586888	0.004890394	0.007438634	0.012702903	0.051695787	0.024794838	0.005215529	0.02747	0.005514925	0.027286256	0.018121461
BacV5_Otu_000004	0.025490191	0.00744006	0.012610632	0.038318543	0.007835927	0.020597745	0.009136746	0.033819722	0.016875583	0.009925251	0.091360801	0.005476143	0.007593611	0.01075707	0.007324544	0.024226739	0.004617469	0.010296257	0.02989649	0.009176949	0.017753013	0.026785497	0.011198934	0.006216727	0.007098558	0.056954617	0.054934821	0.023514331	0.040964984	0.034027305	0.072561713	0.068839893	0.069212344	0.041565876	0.091649758	0.105613054	0.084188009	0.055091612	0.032096694	0.07528492
BacV5_Otu_000005	0.055098018	0.010948058	0.041793276	0.023552469	0.026456828	0.034987196	0.067492272	0.02708216	0.023476864	0.011466085	0.001873449	0.029199517	0.009048129	0.031088858	0.012738007	0.00623448	0.006044059	0.001964743	0.012462677	0.029184271	0.004790819	0.013490355	0.033062708	0.034604117	0.017992535	0.058623117	0.020443452	0.005679291	0.034167002	0.038741947	0.001719697	0.006590071	0.017401517	0.002772102	0.001033582	0.004279641	0.006030926	0.064760906	0.063147065	0.02273877
BacV5_Otu_000006	5.88595E-05	0	0	0	0.000131764	0	3.53761E-05	0	0	0	0	0.000105964	0.000123537	9.90014E-05	8.20662E-05	0	0.000103146	0.000149533	0	0.000143213	3.19018E-05	0	7.112E-05	3.36623E-05	0	0.045331764	0.159842668	0.105889951	0.105980326	0.096528072	0.134744042	0.10868429	0.044024155	0.137988907	0.072374671	0.037473055	0.118173396	0.056768918	0.073101578	0.10806764
BacV5_Otu_000007	0.024823584	0.015277264	0.03767206	0.016278352	0.006474806	0.019151541	0.015566781	0.021890784	0.07309464	0.008600172	0.014383857	0.011813287	0.078253596	0.020853233	0.011221029	0.00423312	0.006958684	0.038703645	0.020752588	0.028748787	0.038298708	0.020862172	0.006774962	0.03001035	0.044714037	0.002915628	0.000697182	0.056952079	0.000477947	0.005796819	0.000538137	0.002493728	0.009502356	0.001850033	0.000952072	0.000429867	0.000651981	0.027931152	0.000447669	0.000497922
BacV5_Otu_000008	0.000470652	0.000337893	0.001502751	0.001146034	6.5887E-05	0.000504349	0.000176852	0.002976933	0.00016079	0.000788909	0.000493797	0	0.00375216	0.001457987	0.001270287	0.001112668	0.004719523	0.001443336	0.003332367	0.001965056	0.002290957	0.005959592	0.003083006	0.002483991	0.004201189	0.006816569	0.021440793	0.012998212	0.029575169	0.011039013	0.019411276	0.015168591	0.007235896	0.021353576	0.015829278	0.004917966	0.014510734	0.009379387	0.013016022	0.018462647
BacV5_Otu_000009	5.88595E-05	0	0	0	0	0.000100917	0.000141487	0	0	0	0	0.000105964	0	4.95035E-05	4.10351E-05	0	0.000103146	9.96946E-05	0.003515299	0.000143213	0.003558509	0.000416959	0.000213325	3.36623E-05	6.59571E-05	0.003971023	0.015518287	0.011252887	0.008757984	0.012472242	0.016690792	0.010732279	0.003844009	0.013537152	0.007049995	0.00449252	0.012857203	0.006484269	0.006832426	0.010755111
BacV5_Otu_000010	0.03012801	0.005642012	0.026992558	0.030609542	0.010931135	0.012338176	0.015669164	0.016729328	0.010957188	0.007381954	0.008512973	0.027113707	0.004241851	0.00855406	0.013375153	0.01737211	0.03411093	0.02799289	0.015447004	0.012564572	0.034897059	0.006022891	0.011476107	0.038780504	0.02436894	0.00256326	0.000498101	0.014479458	0.002463751	0.00136134	0.000681528	0.000344815	0.002334678	0.002208848	0.002931132	0.006191806	0.001703118	0.002881094	0.005618233	0.001350176
BacV5_Otu_000011	0.008221434	0.001282599	0.005449455	0.012645756	0.002234571	0.006908807	0.002926452	0.009342076	0.005830616	0.00325905	0.04367739	0.001375523	0.00270973	0.003181478	0.003392783	0.007132092	0.006755601	0.003722972	0.010513094	0.002428227	0.006868336	0.013708054	0.002022371	0.001545773	0.002072852	0.004936219	0.002534365	0.00521979	0.003176423	0.003151801	0.003539444	0.006929696	0.008549499	0.004355535	0.04722553	0.004747837	0.013733386	0.008303068	0.002456486	0.008597381
