ID	S41	S42	S44	S45	S46	S47	S48	S49	S50	S51	S52	S149	S150	S151	S152	S153	S154	S155	S156	S157	S158	S159	S160	S161	S162	S179	S180	S181	S182	S183	S184	S185	S186	S187	S188	S189	S190	S191	S192	S193	S194	S257
BacV5_Otu_000002	0.068603674	0.037960828	0.068643965	0.048777749	0.011771939	0.001322779	0.056462379	0.019397555	0.008286	0.008638786	0.015308493	0.000516355	0.000677165	0.062272929	0.008298655	0.008371625	0.000117342	0.004974926	0.05002669	0.066156862	0.057563296	0.009421074	0.034593272	0.004520279	0.079598413	0.014353059	0.078682083	0.010518913	0.020521667	0.001080285	0.023781681	0.035351003	0.034462278	0.015406895	0.042892655	0.012205801	0.014819177	0.006036391	0.001615863	0.019586315	0.019788165	0.128056029
BacV5_Otu_000003	0.040567682	0.024446762	0.086124804	0.069810302	0.011487193	0.001349194	0.041590683	0.094390859	0.021640862	0.024664284	0.051443915	0.008754052	0.00581052	0.076893253	0.072177658	0.048291968	0.000750442	0.029975136	0.016940058	0.036390345	0.088692412	0.145310924	0.101316311	0.026536779	0.029861949	0.06632283	0.036093263	0.07502831	0.022203817	0.068323826	0.136047447	0.033889737	0.049209379	0.050614204	0.067209063	0.070966026	0.068412649	0.018713807	0.00089372	0.017070302	0.080148555	0.059562981
BacV5_Otu_000004	0.045655322	0.058652599	0.024614345	0.041083574	0.058470609	0.082487244	0.033599496	0.053443641	0.072507503	0.070235665	0.051867411	0.00055605	0	0.001404424	0.003311029	0.001446645	2.34709E-05	0.003677468	0.007597528	0.003549627	0.007082585	0.008114363	0.00248652	0.052082742	0.0016799	0.004248844	0.024675873	0.009728888	0.00433262	0.010566527	0.009295553	0.004080938	0.034708115	0.012587122	0.006876448	0.006620159	0.007786996	0.06359528	0.001987086	0.025761056	0.024861676	0.000961552
BacV5_Otu_000005	0.00469924	0.008192681	0.022457035	0.072005612	0.010374897	0.004743267	0.087185539	0.022282835	0.041976583	0.047935831	0.045542794	0.025037703	0.002347736	0.018811511	0.015373657	0.025785202	0.000305023	0.005798568	0.056593795	0.034309495	0.044355663	0.055029425	0.014709957	0.039751034	0.050262139	0.097099736	0.065329036	0.105459971	0.042527108	0.02788849	0.08372915	0.124749872	0.023619913	0.051892596	0.06040669	0.004243062	0.081254798	0.005607992	0.003236307	0.016999217	0.038581793	0.022509286
BacV5_Otu_000006	0	0.001296331	3.03649E-05	0.000106206	0.000350827	7.94805E-05	0.000155577	6.44019E-05	0.000305949	0.000174471	0	0	0	0	0	0	0	0	0	0	0.000285532	0.000190438	0	0.000100963	4.10506E-05	0.001326322	0.001483626	0.006465821	0.004644905	0.001359921	0.000139321	0.000970009	0.00082207	0.013846392	0.008506073	0.02492291	0.009354605	0.009337616	0.001308037	0.017283488	0.008823724	0.000192481
BacV5_Otu_000007	0.027101939	0.022168192	0.01076682	0.004438444	0.0040175	0.000754478	0.019623015	0.007913888	0.003505467	0.003352491	0.040792426	0.000853641	0.000249605	0.010378344	0.032669117	0.009318187	9.38761E-05	0.008552283	0.034185975	0.025156772	0.037336084	0.032823682	0.013937878	0.006240655	0.069781868	0.015544791	0.006791344	0.009421267	0.026677737	0.006481237	0.004672646	0.024949448	0.021621252	0.030482186	0.034274235	0.010665154	0.052191802	0.001564008	0.00026618	0.005947321	0.004594992	0.005623623
BacV5_Otu_000008	0.000765502	0.00086465	0.000576571	0.000530771	0.001896932	0.001586852	0.001243062	0.001671354	0.011278395	0.010200033	0.002852519	0.014230824	0.000231781	0.008543165	0.000346079	0.002288301	0.000351931	0.016538203	0.000538567	0.002960034	0.000285532	0.001900635	9.97346E-05	0.000328046	0.000369315	0.002780614	0.002899827	0.033283965	0.010351227	0.002516498	0.002382204	0.002009463	0.001546135	0.003320444	0.004361843	0.005195463	0.002686883	0.002541007	0.279424063	0.002579829	0.002447141	0.000153991
BacV5_Otu_000009	0.000765502	0.048881304	0.000394579	0.011667585	0.00224623	0.000608979	0.003872814	0.000386268	0.001578421	0.001244683	0.000794248	0.249996687	0.291801612	0.1255947	0.009993663	0.191725928	0.295847183	0.176349301	0.013993131	0.012009988	0.010302188	0.028920682	0.000996317	0.005643036	0.009220346	0.000398322	0.000711101	0.002776485	0.002642391	0.000400419	3.98107E-05	0.000107886	0.000145184	0.001471117	0.000236899	0.000549827	0.000867083	0.000980519	6.38982E-05	0.001033771	0.000540997	0.004596157
BacV5_Otu_000010	0.0045729	0.008051102	0.020375886	0.009178784	0.004857052	0.005790328	0.02450361	0.015002263	0.007735151	0.007586662	0.010291262	0.001962849	0.000231781	0.018542014	0.042448935	0.001085435	9.38761E-05	0.006855246	0.006448639	0.046860981	0.02159035	0.004736083	0.012680314	0.010154583	0.073020937	0.061639041	0.002088159	0.006819769	0.070072775	0.156549319	0.009120155	0.01717165	0.001473783	0.003215975	0.014047386	0.009590167	0.00567298	0.002766156	0.000191666	0.003314117	0.008257545	0.016323384
BacV5_Otu_000011	0.009722946	0.025354854	0.006001179	0.013284558	0.01983764	0.018669941	0.009846276	0.012506311	0.032093586	0.031139956	0.021026488	0.001606627	0.000267428	0.004106834	0.000346079	0.004265775	0.000117342	0.040465719	0.00206089	0.000949408	0.000713479	0.001141379	0.003773907	0.010696774	0.00489857	0.001496556	0.001754728	0.003757438	0.002328662	0.00147971	0.00143089	0.0062844	0.002076351	0.001506083	0.001655583	0.001167551	0.001959878	0.006501564	0.000202312	0.001917907	0.005415526	0.000269449
