ID	S78	S79	S80	S81	S84	S86	S87	S88	S89	S90	S91	S93	S94	S95	S96	S97	S98	S99	S103	S106	S107	S211	S220	S221	S223	S224	S225	S226	S212	S213	S214	S251	S252	S215	S216	S217	S218	S219
BacV5_Otu_000002	0.019372305	0.054566007	0.021372882	0.073588194	0.141424886	0.048411739	0.026257105	0.094611238	0.202269421	0.025657928	0.101455198	0.000904027	0.000979916	0.000286105	0.002041955	0.000977204	0.000501619	0.025261583	0.000756391	0.000431383	0	0.000229591	0.000283719	0.001062161	0.000195174	0.001514125	0.000475534	0.001006802	0.00116277	0.002240665	0.001093364	0.071694449	0.136483364	0.000866164	0.000362649	0.001229252	0.000145225	0.002057854
BacV5_Otu_000003	0.063314843	0.01131307	0.073966268	0.003900254	0.003433176	0.056174905	0.001422252	0.015283109	0.01504121	0.061954526	0.037461099	0.01102027	0.011843886	0.00509556	0.053662719	0.004146988	0.039779674	0.011451473	0.044455939	0.000970009	0.009266339	0.003681743	0.001919363	0.000517051	0.000974994	0.002368469	0.001425042	0.000796269	0.000898778	0.000485449	0.000740967	0.001489477	0.008317029	5.7798E-05	0.000136029	0.000527248	0.000290401	0.00044179
BacV5_Otu_000004	0.001541836	0.003734997	0.00626832	0.005796199	0.002063161	0.001412915	0.003647852	0.001754864	0.000789666	0.002416109	0.001852587	0.034267573	0.014677758	0.043370284	0.025914348	0.067298629	0.015529148	0.017879981	0.017072161	0.057141408	0.072266025	0.023054217	0.050437149	0.031187829	0.031132953	0.09946899	0.0423768	0.01234058	0.037351718	0.0843316	0.027337339	0.010183156	0.006802567	0.027519046	0.022705874	0.018858404	0.01733351	0.043908886
BacV5_Otu_000005	0.027516361	0.047805342	0.009099237	0.021149603	0.015350883	0.007975362	0.013030814	0.010325318	0.005795628	0.015345652	0.003425943	0.001174869	0.004645586	0.003265972	0.005580688	0.004039307	0.000358358	0.003053164	0.001511467	0.00161548	0.005008136	0.001970528	0.000189166	0.000574464	0.000130126	0.001235604	0.000184992	0.000187489	0.000317428	0.001998988	0.000776219	0.041246784	0.032265548	0	0.00058915	0.000210976	0.000508074	0.000147313
BacV5_Otu_000006	0	0	4.23723E-05	0	0	0	0.000101744	0	2.87403E-05	1.83545E-05	0	0	0	0	9.51878E-05	0.000398385	0.000179216	0	0	0.000107886	0	0.021308483	0.051222594	0.020161577	0.073900076	0.022838831	0.062864531	0.177939174	0.097713714	0.079252074	0.13480215	0.062431207	0.032732468	0.123135916	0.130156531	0.126728776	0.081715694	0.087243926
BacV5_Otu_000007	0.061861282	0.096326116	0.050657874	0.051504335	0.049412886	0.086490313	0.03937137	0.066090894	0.041717862	0.063178227	0.042965675	0.000873923	0.025932334	0.0040142	0.000570814	0.000796406	0.00157457	0.037032788	0.001259921	0	0.000943435	0.00057375	0.000409756	0.001090832	0.000715209	0.000678024	0.000132145	0.002780578	0.000476055	0.000970355	0.001128588	0.016028465	0.072105299	2.89E-05	0.000181362	0.000175821	0.003111679	0.000324023
BacV5_Otu_000008	0.000469834	0.000624734	0.004804005	0.000333304	0.000459328	0.001060117	0.002435303	0.000169045	0.000287317	7.34133E-05	0.01688449	0.038456718	0.026654988	0.029786264	0.04128882	0.044523802	0.020960478	0.025876209	0.041828344	0.004080938	0.014930464	0.073262005	0.05662593	0.035208486	0.056541663	0.063394124	0.036608487	0.06955431	0.018291514	0.030986078	0.038694015	0.014479208	0.0035394	0.026786013	0.026135491	0.046642903	0.032488044	0.013576434
BacV5_Otu_000009	6.71503E-05	0	0	8.33499E-05	0	0	0	3.38143E-05	0	0	1.95421E-05	0.000753487	0.000511537	5.20331E-05	4.75965E-05	0.00018113	0.000179216	0	0	0	0	0.002153379	0.004236441	0.003349883	0.011621257	0.002844582	0.006219872	0.020801789	0.00996678	0.006986444	0.015948109	0.007258417	0.002665065	0.01171875	0.012582001	0.012241295	0.008984484	0.007247176
BacV5_Otu_000010	0.026000938	0.006515315	0.008559457	0.021705018	0.003661092	0.033603896	0.006564278	0.033034074	0.025275225	0.028176684	0.029372636	0.001836216	0.002954323	0.00604596	0.00303571	0.00668767	0.003107858	0.008520914	0.002641626	0.006319849	0.004151462	0.001146744	0.000346742	0.001692487	0.000520269	0.001096276	0.002030588	0.025358494	0.00116277	0.006388571	0.001797302	0.022090555	0.018501751	0.000866164	0.000883426	0	0.000761889	0.002761165
BacV5_Otu_000011	0.000939161	0.000520674	0.000677461	0.000333304	0.001090112	0.000707032	0.000813286	0.000169045	0.000186778	0.000568628	0.00037115	0.007031688	0.009179367	0.037013831	0.007503074	0.011513214	0.00321463	0.004926378	0.004643563	0.009920458	0.012643093	0.079732061	0.023776425	0.0733216	0.007867168	0.037179431	0.060732317	0.006422045	0.031558595	0.033129075	0.012530603	0.003197481	0.001287544	0.025861172	0.009287436	0.026635028	0.046251057	0.028842006
