SUID	cooc_method	interaction	interactionType	Node1	Node2	name	pval	qval	selected	shared.interaction	shared.name	weight
222878	correl_spearman	NA	mutualExclusion	BacV5-Otu-000010	Ftrad-Otu-00189	BacV5-Otu-000010->Ftrad-Otu-00189=correl_spearman	0.000755856567766777	0.000755856567766777	false	NA	BacV5-Otu-000010->Ftrad-Otu-00189=correl_spearman	0.00075586
222881	correl_spearman	NA	mutualExclusion	BacV5-Otu-000017	Ftrad-Otu-00003	BacV5-Otu-000017->Ftrad-Otu-00003=correl_spearman	8.35992831627053e-08	8.35992831627053e-08	false	NA	BacV5-Otu-000017->Ftrad-Otu-00003=correl_spearman	8e-08
222883	correl_spearman	NA	copresence	BacV5-Otu-000191	BacV5-Otu-000017	BacV5-Otu-000191->BacV5-Otu-000017=correl_spearman	5.20307960050204e-08	5.20307960050204e-08	false	NA	BacV5-Otu-000191->BacV5-Otu-000017=correl_spearman	0.697766442051857
222889	correl_spearman	NA	copresence	Ftrad-Otu-00084	Ftrad-Otu-00055	Ftrad-Otu-00084->Ftrad-Otu-00055=correl_spearman	0.000130268831027402	0.000130268831027402	false	NA	Ftrad-Otu-00084->Ftrad-Otu-00055=correl_spearman	0.531604852075362
222892	correl_spearman	NA	copresence	BacV5-Otu-000101	BacV5-Otu-000048	BacV5-Otu-000101->BacV5-Otu-000048=correl_spearman	1.56582215409262e-05	1.56582215409262e-05	false	NA	BacV5-Otu-000101->BacV5-Otu-000048=correl_spearman	0.588545245008131
222895	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00016	BacV5-Otu-000040	Ftrad-Otu-00016->BacV5-Otu-000040=correl_spearman	0.000148192513244605	0.000148192513244605	false	NA	Ftrad-Otu-00016->BacV5-Otu-000040=correl_spearman	-0.527726149072521
222898	correl_spearman	NA	copresence	Ftrad-Otu-00106	Ftrad-Otu-00125	Ftrad-Otu-00106->Ftrad-Otu-00125=correl_spearman	9.72812240318532e-07	9.72812240318532e-07	false	NA	Ftrad-Otu-00106->Ftrad-Otu-00125=correl_spearman	9.7e-07
222901	correl_spearman	NA	copresence	BacV5-Otu-000045	BacV5-Otu-000013	BacV5-Otu-000045->BacV5-Otu-000013=correl_spearman	0.000175657843457189	0.000175657843457189	false	NA	BacV5-Otu-000045->BacV5-Otu-000013=correl_spearman	0.522527282719117
222907	correl_spearman	NA	copresence	Ftrad-Otu-00113	BacV5-Otu-000041	Ftrad-Otu-00113->BacV5-Otu-000041=correl_spearman	4.94201109793035e-05	4.94201109793035e-05	false	NA	Ftrad-Otu-00113->BacV5-Otu-000041=correl_spearman	0.559150453222014
222910	correl_spearman	NA	mutualExclusion	Ftrad-Otu-00122	Ftrad-Otu-00004	Ftrad-Otu-00122->Ftrad-Otu-00004=correl_spearman	0.000203243636921924	0.000203243636921924	false	NA	Ftrad-Otu-00122->Ftrad-Otu-00004=correl_spearman	-0.51798967260953
