"SUID","AverageShortestPathLength","BetweennessCentrality","Class","ClosenessCentrality","ClusteringCoefficient","Core","Degree","Eccentricity","Family","Genus","IsSingleNode","Kingdom","Locus","name","NeighborhoodConnectivity","NumberOfDirectedEdges","NumberOfUndirectedEdges","Ocurrence.y1","Ocurrence.y2","Ocurrence.y3","Order","PartnerOfMultiEdgedNodePairs","Phylum","Radiality","Relative.abundance.y1","Relative.abundance.y2","Relative.abundance.y3","selected","SelfLoops","shared name","size","Species","Stress","Taxonomy","TopologicalCoefficient","TotalOcurrence","TotalRelativeabundance"
"10735","1.91197183","0.01312715","c--Betaproteobacteria","0.52302026","0.54647256","yes","95","4","f--Oxalobacteraceae","f--Oxalobacteraceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000004","61.6","95","0","1.0","0.985714286","1.0","o--Burkholderiales","0","p--Proteobacteria","0.86971831","0.043224127","0.038823534","0.113545544","false","0","BacV5-Otu-000004","207303","f--Oxalobacteraceae-unclassified","34744","""k--Bacteria(100);p--Proteobacteria(100);c--Betaproteobacteria(100);o--Burkholderiales(100);f--Oxalobacteraceae(100);f--Oxalobacteraceae-unclassified(72);f--Oxalobacteraceae-unclassified(72);""","0.28","0.995145631","0.066307139"
"26609","2.1056338","0.00691211","c--Actinobacteria","0.47491639","0.62682927","no","41","4","f--Mycobacteriaceae","g--Mycobacterium","false","k--Bacteria","BacV5","BacV5-Otu-000183","61.53658537","41","0","0.921875","0.814285714","0.888888889","o--Actinomycetales","0","p--Actinobacteria","0.84205231","6.59702E-4","3.29335E-4","5.74408E-4","false","0","BacV5-Otu-000183","1479","g--Mycobacterium-unclassified","16158","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Mycobacteriaceae(100);g--Mycobacterium(100);g--Mycobacterium-unclassified(69);""","0.28098897","0.873786408","5.1763E-4"
"10738","2.26056338","0.00660542","c--Bacilli","0.4423676","0.42758621","no","30","5","f--Bacillaceae","g--Bacillus","false","k--Bacteria","BacV5","BacV5-Otu-000006","34.1","30","0","0.65625","0.528571429","0.986111111","o--Bacillales","0","p--Firmicutes","0.81991952","0.038864447","0.005438825","0.086554751","false","0","BacV5-Otu-000006","128467","g--Bacillus-unclassified","19236","""k--Bacteria(100);p--Firmicutes(100);c--Bacilli(100);o--Bacillales(100);f--Bacillaceae(100);g--Bacillus(99);g--Bacillus-unclassified(88);""","0.17947368","0.72815534","0.044174682"
"23028","2.83450704","6.813E-5","c--Tremellomycetes","0.35279503","0.7","no","5","5","f--Bulleraceae","g--Bullera","false","k--Fungi","Ftrad","Ftrad-Otu-00219","47.4","5","0","0.328125","0.528571429","0.652777778","o--Tremellales","0","p--Basidiomycota","0.73792757","5.65E-5","2.60934E-4","2.68413E-4","false","0","Ftrad-Otu-00219","818","s--Bullera-crocea","238","""k--Fungi(100);p--Basidiomycota(100);c--Tremellomycetes(100);o--Tremellales(100);f--Bulleraceae(74);g--Bullera(74);s--Bullera-crocea(74);""","0.474","0.509708738","2.00044E-4"
"10741","3.5","2.488E-5","c--Microbotryomycetes","0.28571429","0.66666667","no","3","6","f--Ustilentylomataceae","g--Ustilentyloma","false","k--Fungi","Ftrad","Ftrad-Otu-00007","6.0","3","0","0.984375","0.971428571","0.847222222","o--Microbotryales","0","p--Basidiomycota","0.64285714","0.045695523","0.072874875","0.009702613","false","0","Ftrad-Otu-00007","188088","g--Ustilentyloma-unclassified","4","""k--Fungi(100);p--Basidiomycota(100);c--Microbotryomycetes(100);o--Microbotryales(100);f--Ustilentylomataceae(100);g--Ustilentyloma(100);g--Ustilentyloma-unclassified(70);""","0.54545455","0.932038835","0.042351179"
"26613","2.03521127","0.02447407","c--Alphaproteobacteria","0.49134948","0.27627119","no","60","4","f--Sphingomonadaceae","g--Sphingomonas","false","k--Bacteria","BacV5","BacV5-Otu-000437","42.73333333","60","0","0.078125","0.4","0.041666667","o--Sphingomonadales","0","p--Proteobacteria","0.85211268","1.12257E-4","4.94245E-4","5.21E-6","false","0","BacV5-Otu-000437","492","s--asaccharolytica","61090","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(98);o--Sphingomonadales(92);f--Sphingomonadaceae(90);g--Sphingomonas(86);s--asaccharolytica(65);""","0.19328808","0.174757282","2.04645E-4"
"28662","2.9084507","9.63E-5","c--Actinobacteria","0.34382567","0.0","no","3","5","f--Kineosporiaceae","f--Kineosporiaceae-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000308","34.66666667","3","0","0.203125","0.114285714","0.541666667","o--Actinomycetales","0","p--Actinobacteria","0.72736419","1.54482E-4","2.85E-5","5.24234E-4","false","0","BacV5-Otu-000308","721","f--Kineosporiaceae-unclassified","310","""k--Bacteria(100);p--Actinobacteria(100);c--Actinobacteria(100);o--Actinomycetales(100);f--Kineosporiaceae(100);f--Kineosporiaceae-unclassified(94);f--Kineosporiaceae-unclassified(94);""","0.43162393","0.291262136","2.4092E-4"
"10743","2.01408451","0.00846058","c--Alphaproteobacteria","0.4965035","0.6164557","no","80","4","o--Rhizobiales-unclassified","o--Rhizobiales-unclassified","false","k--Bacteria","BacV5","BacV5-Otu-000115","65.15","80","0","0.875","0.785714286","0.986111111","o--Rhizobiales","0","p--Proteobacteria","0.85513078","5.96143E-4","5.75264E-4","0.001572625","false","0","BacV5-Otu-000115","2779","o--Rhizobiales-unclassified","18922","""k--Bacteria(100);p--Proteobacteria(100);c--Alphaproteobacteria(100);o--Rhizobiales(100);o--Rhizobiales-unclassified(86);o--Rhizobiales-unclassified(86);o--Rhizobiales-unclassified(86);""","0.3147343","0.883495146","9.30343E-4"
"11255","2.88380282","1.9865E-4","c--Leotiomycetes","0.34676435","0.33333333","no","3","5","f--Helotiales-fam-Incertae-sedis","g--Cadophora","false","k--Fungi","Ftrad","Ftrad-Otu-00132","32.0","3","0","0.40625","0.3","0.777777778","o--Helotiales","0","p--Ascomycota","0.73088531","0.001002801","0.001042686","5.61416E-4","false","0","Ftrad-Otu-00132","1888","g--Cadophora-unclassified","262","""k--Fungi(100);p--Ascomycota(100);c--Leotiomycetes(100);o--Helotiales(100);f--Helotiales-fam-Incertae-sedis(100);g--Cadophora(70);g--Cadophora-unclassified(70);""","0.41125541","0.5","8.62083E-4"
"26617","2.21830986","0.01280093","c--Chloroflexi","0.45079365","0.61879433","no","48","5","f--Oscillochloridaceae","g--Oscillochloris","false","k--Bacteria","BacV5","BacV5-Otu-000658","58.66666667","48","0","0.34375","0.171428571","0.041666667","o--Chloroflexales","0","p--Chloroflexi","0.82595573","2.33186E-4","2.88E-5","6.26E-6","false","0","BacV5-Otu-000658","280","g--Oscillochloris-unclassified","30712","""k--Bacteria(100);p--Chloroflexi(100);c--Chloroflexi(100);o--Chloroflexales(100);f--Oscillochloridaceae(100);g--Oscillochloris(100);g--Oscillochloris-unclassified(100);""","0.31205674","0.17961165","8.44E-5"
