"Genus_Otu"	"BetweennessCentrality"	"ClosenessCentrality"	"Core"	"Degree"	"Genus"	"name"	"TotalRelativeabundance"	"TotalOcurrence"	"Month"	"Hub"	"Method"
"BacV5-Otu-000002 _ g--Methylobacterium"	0.01237077	0.51046699	"yes"	80	"g--Methylobacterium"	"BacV5-Otu-000002"	0.099482087	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000003 _ g--Sphingomonas"	0.00914679	0.52570481	"yes"	104	"g--Sphingomonas"	"BacV5-Otu-000003"	0.103233575	1	"Nov"	"No"	"Spearman"
"BacV5-Otu-000004 _ f--Oxalobacteraceae-unclassified"	0.00726673	0.50477707	"yes"	71	"f--Oxalobacteraceae-unclassified"	"BacV5-Otu-000004"	0.066307139	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000005 _ g--Rathayibacter"	0.01240566	0.55711775	"yes"	127	"g--Rathayibacter"	"BacV5-Otu-000005"	0.053915291	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000007 _ g--Sphingomonas"	0.01728265	0.5753176	"yes"	128	"g--Sphingomonas"	"BacV5-Otu-000007"	0.039307984	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000008 _ g--Pseudomonas"	0.00107135	0.44964539	"yes"	49	"g--Pseudomonas"	"BacV5-Otu-000008"	0.026232262	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000010 _ g--Variovorax"	0.00751056	0.53637902	"yes"	113	"g--Variovorax"	"BacV5-Otu-000010"	0.030679377	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000011 _ f--Oxalobacteraceae-unclassified"	0.00817462	0.54373928	"yes"	119	"f--Oxalobacteraceae-unclassified"	"BacV5-Otu-000011"	0.020365568	1	"Nov"	"No"	"Spearman"
"BacV5-Otu-000012 _ g--Bacillus"	0.01149174	0.56205674	"yes"	133	"g--Bacillus"	"BacV5-Otu-000012"	0.012348518	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000013 _ g--Marmoricola"	0.00140484	0.37603796	"yes"	13	"g--Marmoricola"	"BacV5-Otu-000013"	0.01363068	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000015 _ g--Aeromicrobium"	0.000541	0.46142649	"yes"	65	"g--Aeromicrobium"	"BacV5-Otu-000015"	0.013264801	0.995145631	"Nov"	"No"	"Spearman"
"BacV5-Otu-000033 _ g--Arthrobacter"	0.00287501	0.46075581	"yes"	38	"g--Arthrobacter"	"BacV5-Otu-000033"	0.004529802	0.990291262	"Nov"	"No"	"Spearman"
"Ftrad-Otu-00001 _ g--Udeniomyces"	0.00632999	0.41492147	"yes"	18	"g--Udeniomyces"	"Ftrad-Otu-00001"	0.231509524	0.995145631	"Nov"	"No"	"Spearman"
"Ftrad-Otu-00002 _ g--Sporidiobolus"	0.000858	0.45156695	"yes"	48	"g--Sporidiobolus"	"Ftrad-Otu-00002"	0.068536618	0.990291262	"Nov"	"No"	"Spearman"
"Ftrad-Otu-00004 _ g--Cladosporium"	0.00615893	0.42664872	"yes"	21	"g--Cladosporium"	"Ftrad-Otu-00004"	0.042426218	1	"Nov"	"No"	"Spearman"
"Otrad-Otu-00001 _ g--Hyaloperonospora(100)"	0.02364903	0.46893491	"yes"	58	"g--Hyaloperonospora(100)"	"Otrad-Otu-00001"	0.562284007	1	"Nov"	"No"	"Spearman"
"BacV5-Otu-000002 _ g--Methylobacterium"	0.00773413	0.45557656	"yes"	55	"g--Methylobacterium"	"BacV5-Otu-000002"	0.099482087	0.995145631	"Dec"	"No"	"Spearman"
"BacV5-Otu-000003 _ g--Sphingomonas"	0.0021312	0.45557656	"yes"	67	"g--Sphingomonas"	"BacV5-Otu-000003"	0.103233575	1	"Dec"	"No"	"Spearman"
"BacV5-Otu-000004 _ f--Oxalobacteraceae-unclassified"	0.01376915	0.51005291	"yes"	117	"f--Oxalobacteraceae-unclassified"	"BacV5-Otu-000004"	0.066307139	0.995145631	"Dec"	"yes"	"Spearman"
"BacV5-Otu-000005 _ g--Rathayibacter"	1.68e-05	0.34902245	"yes"	3	"g--Rathayibacter"	"BacV5-Otu-000005"	0.053915291	0.995145631	"Dec"	"No"	"Spearman"
"BacV5-Otu-000007 _ g--Sphingomonas"	8e-05	0.40301003	"yes"	25	"g--Sphingomonas"	"BacV5-Otu-000007"	0.039307984	0.995145631	"Dec"	"No"	"Spearman"
"BacV5-Otu-000008 _ g--Pseudomonas"	0.0039969	0.45992366	"yes"	76	"g--Pseudomonas"	"BacV5-Otu-000008"	0.026232262	0.995145631	"Dec"	"No"	"Spearman"
"BacV5-Otu-000010 _ g--Variovorax"	0.01249963	0.45600757	"yes"	68	"g--Variovorax"	"BacV5-Otu-000010"	0.030679377	0.995145631	"Dec"	"No"	"Spearman"
"BacV5-Otu-000011 _ f--Oxalobacteraceae-unclassified"	0.00593414	0.44670992	"yes"	52	"f--Oxalobacteraceae-unclassified"	"BacV5-Otu-000011"	0.020365568	1	"Dec"	"No"	"Spearman"
